"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,48092063860051;0,70732858776987;0;2,40857848157109;0,56833937913908;0,2440033262309;0,70096133118189;0,58395016972416;0,61285661442275;0,57996957131181;1,81422509327266;0,71196329286237;0,60313484129392;0,61075054826576;0,59668185387222;0;0,40415543798995;0,60786363351483;0,27517070448839;0,59484178888004;0,22700792456248;0
"flags";0,51;0,71519246031746;0;4,55;0,6360101010101;0,32142857142857;0,56558441558442;0,56898733295891;0,56450788142518;0,58095238095238;3,3;0,67956592956593;0,67153284671533;0,64788732394366;0,6969696969697;0;0,3;0,64;0,36166666666667;0,6525;0,1;0,14285714285714
"GnegativeGO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GnegativePseAAC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GpositiveGO";0,94315326275648;0,96695362228104;0;0,10389239875921;0,94926814460666;0,02842336862176;0,94872194662087;0,87637605061172;0,86275313839404;0,9193490088343;0,09616238367626;0,9690173050192;0,9446347213084;0,93017901753254;0,9599390990068;0;0,05392441446825;0,94411480121802;0,03205412789209;0,96053636984547;0,92480861720595;0,025
"GpositivePseAAC";0,52847334870087;0,70343220258592;0;0,93334258231595;0,54487143914169;0,24282474600871;0,63153001393241;0,41129317645405;0,41111534249911;0,4369012605042;0,92949642846979;0,70724081070032;0,54446655022854;0,51920487895173;0,57356213893395;0,15;0,47035558780842;0,53039642562395;0,30854066469355;0,57606505592077;0,47959959019892;0,225
"scene";0,57215402265295;0,712252820974;0;1,37326336200166;0,5987652415656;0,15021883952707;0,76257512278242;0,61714786451258;0,63456827649695;0,63237742311276;1,32078687470365;0,7574187865834;0,59660476553895;0,57458656059081;0,62086404842536;0;0,40249162668215;0,59208116076245;0,25061671518942;0,63191877909116;0,49371696089364;0
"VirusGO";0,90047619047619;0,95808333333333;0;0,39404761904762;0,92633333333333;0,03805555555556;0,90868993823836;0,83653025537701;0,8346127946128;0,87546296296296;0,18071428571429;0,95390834024929;0,91278887313551;0,88100673691277;0,94946723646724;0,06666666666667;0,05833333333333;0,91761904761905;0,02897685185185;0,96007936507937;0,82047619047619;0,06666666666667
"VirusPseAAC";0,3019246031746;0,53097619047619;0;2,41309523809524;0,33631746031746;0,2581746031746;0,60578074401483;0,27439677886289;0,29736111111111;0,33148148148148;2,26261904761905;0,61590457264428;0,35770814489318;0,36059409941494;0,35740883190883;0,26666666666667;0,63642857142857;0,36172619047619;0,42424338624339;0,34615079365079;0,19880952380952;0,38333333333333
"Yelp";0,65311420680628;0,88395282071516;0;1,37103868414754;0,7163785312541;0,16376576468659;0,77818087768414;0,70058732572104;0,7350410882379;0,67727516534647;0,64711602962691;0,81362400094854;0,74851137669604;0,7532105419404;0,74393988663301;0;0,1995483893969;0,75954882807459;0,12512572620889;0,72841047795441;0,44639067465734;0
