"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,47387112;0,71033449;0;2,30887952;0,55454246;0,23367294;0,69370169;0,55526885;0,63221644;0,54064938;1,70821742;0,71259757;0,60122742;0,6413227;0,56855573;0,03333334;0,39773124;0,61832254;0,2666109;0,56152293;0,23996248;0,03333334
"flags";0,580601939;0,799450232;0,242857142;3,834845825;0,694265801;0,266569455;0,609928047;0,612224396;0,659451118;0,635705781;2,210738973;0,731446612;0,727608513;0,719757129;0,739338701;0,071428564;0,20676502;0,705204228;0,229912784;0,708396226;0,148500801;0,071428564
"GnegativeGO";0,938881836;0,962333449;0;0,275189637;0,945604655;0,015368828;0;0,804868723;0,826339263;0,792432535;0,229805694;0,95849922;0,940178298;0,957978364;0,923092522;0,1375;0,042378273;0,958336013;0,027892828;0,939596121;0,91871337;0,1375
"GnegativePseAAC";0,52594441;0,67274418;0;1,66420214;0,52978642;0,12139467;0;0,17061496;0,18378107;0,19438343;1,64115;0,711318;0,52531151;0,53747047;0,51372716;0,675;0,46252953;0,53747047;0,22859374;0,52594441;0,51441833;0,6875
"GpositiveGO";0,940287501;0,96180342;0;0,144465551;0,941575838;0,029856248;0,945141852;0,885883327;0,885066776;0,909249712;0,136735537;0,959138614;0,940509084;0,944152507;0,936934744;0;0,055847493;0,944152507;0,044610689;0,940287501;0,936422492;0,25
"GpositivePseAAC";0,57330957;0,72069271;0;0,93808163;0,5742774;0,21382599;0,64152749;0,4103846;0,41986665;0,42049683;0,93227469;0,72169005;0,57405143;0,57621303;0,57193077;0,25;0,42378697;0,57621303;0,30946988;0,57330957;0,5704061;0,25
"scene";0,58878382;0,70077265;0;1,56150327;0,59807636;0,14018002;0,75076801;0,60061444;0,66020059;0,58989823;1,50616997;0,74319198;0,5944777;0,61645904;0,57405413;0;0,38368988;0,61652109;0,28699765;0,5889948;0,56097684;0
"VirusGO";0,8611508026;0,921773814;0;0,6014285723;0,8842777764;0,0492857108;0;0,7870115288;0,8318350111;0,782870377;0,393333329;0,9245236249;0,8804497287;0,882184932;0,879586895;0,08333334;0,091904764;0,8959523816;0,064192458;0,894246035;0,7916666692;0,100000007
"VirusPseAAC";0,1959523786;0,4275297744;0,0500000034;2,8223809538;0,2103968306;0,2917460321;0;0,1196722571;0,118392857;0,1791666621;2,7452381038;0,5613782858;0,2153038879;0,2356410236;0,1990612505;0,5833333296;0,7685714264;0,2338095236;0,5220277852;0,2030952286;0,1542857136;0,7000000069
"Yelp";0,58765764;0,85203367;0;1,43163712;0,65299692;0,19451089;0,73465834;0,63724508;0,70915338;0,59310571;0,72486228;0,77788695;0,69125372;0,72021966;0,6646328;0;0,26678061;0,71203173;0,14240092;0,65228603;0,38320625;0
