"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,486693621363584;0,703403653642929;0;2,36838882900952;0,568718785733358;0,234091713326152;0,712118178334448;0,593111514863628;0,657427034875614;0,579766900912412;1,76672995023082;0,723193544230274;0,611064495589141;0,632236766648434;0,594019804684942;0;0,403903011831617;0,616587454733797;0,27442893536304;0,585576999702375;0,241174788858454;0
"flags";0,594038707880813;0,804060517982667;0,2;3,81765284423179;0,707593811012073;0,265334928229665;0,599083887634308;0,59966695331357;0,633487714064892;0,622858294833085;2,1422913343966;0,734682812564301;0,73268410686054;0,717666226460933;0,750832775226432;0,1;0,21232057416268;0,703213507252981;0,224715886939571;0,73847548796233;0,128955342902711;0,114285714285714
"GnegativeGO";0,948716896796646;0,96975906826042;0;0,179838844223507;0,956966802647041;0,0128505377056005;0;0,903449876341721;0,906193749141073;0,90575428382593;0,134454904161777;0,970784696964453;0,950847052491398;0,951358290206325;0,950556492790786;0,05;0,0423679941558405;0,961324670759846;0,0170979083959156;0,960811221337013;0,923776703054982;0,05
"GnegativePseAAC";0,568862294156569;0,710330500432963;0;1,45277719870709;0,585337699310326;0,115508897340081;0;0,319224022327568;0,353232870815903;0,322528991164662;1,42545545326657;0,749697130283815;0,574343712329012;0,555275334038965;0,595457633218616;0,2375;0,417442204291278;0,581087743786733;0,198649275301619;0,606852212252488;0,520798372446926;0,3125
"GpositiveGO";0,940249082216341;0,964203413586044;0;0,12139005094055;0,944101757781003;0,0298754588918296;0,931990234705338;0,870639286559739;0,877917652242763;0,884787043022337;0,113660035857594;0,962619618806147;0,940921027965162;0,93566791021286;0,946477560545263;0;0,0558489143117334;0,943152551296281;0,0370791120028079;0,948903639830388;0,928691055522354;0,25
"GpositivePseAAC";0,534599376760864;0,695199659447717;0;0,992689034975384;0,545793847292182;0,236056980847491;0,633255152964919;0,392757833989294;0,393141584046677;0,416937082525318;0,986882096815505;0,708499491944137;0,546105960743465;0,530021005903686;0,563901932325905;0,2;0,470135035146134;0,537502845840804;0,327512106681086;0,56527931927488;0,501015965166909;0,25
"scene";0,562676117891118;0,70101086667197;0;1,40768096288266;0,589533457727561;0,152404722372829;0,762827855317363;0,608130975115654;0,628001647371965;0,62624287594779;1,35103682842267;0,755425697250944;0,588808113965848;0,569503729384494;0,61045861959354;0;0,414808657513085;0,585541594127831;0,258831994215683;0,621552371080571;0,484078192886767;0
"VirusGO";0,893928571428572;0,953480158730159;0;0,418333333333333;0,92097619047619;0,0380555555555556;0;0,836093747440497;0,836001683501684;0,858796296296296;0,21;0,939160603368487;0,910775555581485;0,883959976105137;0,941467236467237;0,0666666666666667;0,0633333333333333;0,915833333333333;0,0341646825396825;0,952142857142857;0,81047619047619;0,1
"VirusPseAAC";0,303718253968254;0,506259920634921;0,0166666666666667;2,64023809523809;0,33418253968254;0,264761904761905;0;0,22889409724549;0,229087856587857;0,318287037037037;2,50928571428571;0,612022791110569;0,340284500052067;0,341108774348606;0,342678062678063;0,283333333333333;0,631428571428571;0,356547619047619;0,46685119047619;0,341190476190476;0,218333333333333;0,45
"Yelp";0,651542604947963;0,896971732937407;0;1,2705136259077;0,715007314622799;0,164357969812459;0,775682399236731;0,697600309223042;0,730586967921443;0,674895173677107;0,539649552288933;0,809375719836589;0,747164158035358;0,753253023201002;0,741288156833092;0;0,195329167128394;0,760246082782944;0,103748763316926;0,725803607554724;0,445626371068325;0
