"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,491541736239078;0,708994226746056;0;2,33758354001924;0,575503544334296;0,23580205165981;0,709880020068502;0,594020090887082;0,649453211247234;0,58597935260474;1,73436083954286;0,721448603553278;0,61305363363155;0,627453767765326;0,601081054246192;0;0,393840073098688;0,616899617861273;0,268689454391996;0,598586348864135;0,241222896297353;0
"flags";0,595434811776917;0,802456982629132;0,214285714285714;3,81447102604997;0,708456281874543;0,265334928229665;0,597952935253355;0,59869634497454;0,632954183268204;0,621786866261656;2,13456406166932;0,734682812564301;0,73268410686054;0,717666226460933;0,750832775226432;0,1;0,21232057416268;0,703365022404496;0,224670432394116;0,74062916761601;0,133500797448166;0,114285714285714
"GnegativeGO";0,948597849177598;0,969760781175802;0;0,178389717810351;0,957087563181471;0,0129398234198862;0;0,903369586981771;0,905354072278372;0,906448728270375;0,133005777748622;0,971026430781031;0,950564435350085;0,950097990186062;0,9512461479632;0,05;0,0423679941558405;0,961205623140798;0,0168908903368934;0,961530645797445;0,923057278594551;0,05
"GnegativePseAAC";0,577751183045458;0,714298848883454;0;1,44470841563831;0,59233681747611;0,112086278292462;0;0,320374510288615;0,366169599087024;0,32236750461598;1,41736021517133;0,751718326043005;0,582512349859899;0,56933139580442;0,597460853023307;0,25;0,40881786566694;0,590347003045993;0,197588239776298;0,60939189479217;0,53518990683846;0,325
"GpositiveGO";0,939268690059478;0,965510603128528;0;0,111586129371923;0,943448163009762;0,030365654970261;0,927823568038671;0,854903468323921;0,85115177922689;0,876453709689004;0,103856114288967;0,963581157267686;0,940169974658695;0,932291003894777;0,94840063746834;0,25;0,0558489143117334;0,941191766982555;0,0341379355322197;0,949884031987251;0,926730271208629;0,05
"GpositivePseAAC";0,537483992145479;0,698084274832333;0;0,986919804206153;0,547716924215259;0,235095442385953;0,633612295822062;0,393461297192757;0,39410454700964;0,416937082525318;0,981112866046274;0,708822072589298;0,547134855538972;0,532005132887813;0,563901932325905;0,2;0,464365804376903;0,540387461225419;0,325589029758009;0,56527931927488;0,506785195936139;0,25
"scene";0,563220335578193;0,702299982318229;0;1,3840074934949;0,589615090380623;0,152404722372829;0,762477663304294;0,608042425300459;0,629286776704916;0,624842233783655;1,326138869239;0,755166942644966;0,58837565675665;0,569630859559026;0,609294309090708;0;0,414808657513085;0,586732070318308;0,25443403503201;0,619715636386693;0,485710845947991;0
"VirusGO";0,898690476190476;0,956813492063492;0;0,399285714285714;0,925579365079365;0,036468253968254;0;0,847733959080708;0,841001683501684;0,87962962962963;0,195714285714286;0,944929834137718;0,915475985902571;0,883123655913978;0,953005698005698;0,0666666666666667;0,0633333333333333;0,915833333333333;0,0316646825396825;0,961666666666667;0,815238095238095;0,0833333333333334
"VirusPseAAC";0,300543650793651;0,501974206349206;0,0166666666666667;2,64023809523809;0,327833333333333;0,263968253968254;0;0,219264467615861;0,226811198061198;0,314583333333333;2,51404761904762;0,611943583189777;0,331247841910549;0,335630194956983;0,330678062678063;0,333333333333333;0,640952380952381;0,351785714285714;0,469827380952381;0,331666666666667;0,223095238095238;0,483333333333333
"Yelp";0,651542604947963;0,896971732937407;0;1,2705136259077;0,715007314622799;0,164357969812459;0,775682399236731;0,697600309223042;0,730586967921443;0,674895173677107;0,539649552288933;0,809375719836589;0,747164158035358;0,753253023201002;0,741288156833092;0;0,195329167128394;0,760246082782944;0,103748763316926;0,725803607554724;0,445626371068325;0
