"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,479067118099145;0,706045488191605;0;2,31223568762965;0,560290574128732;0,237243071411606;0,7013058192971;0,5666499648497;0,648838588616215;0,566389913215248;1,72925620185278;0,716108399046169;0,604706054107369;0,628391646616678;0,585886249051387;0,0166666666666667;0,412596058620646;0,611186570875993;0,267207031290928;0,577196802037786;0,239789088223691;0,0166666666666667
"flags";0,584182818156503;0,812093789292254;0,271428571428572;3,75641679957469;0,703186734244549;0,264533682691577;0,600089547474001;0,577114644229821;0,663462633857371;0,589642857142857;2,06101275917065;0,735654630495939;0,723580394564366;0,736232642591434;0,715046374127531;0,1;0,206765018607124;0,726176470215944;0,212750354421407;0,704513056631478;0,15282562466773;0,114285714285714
"GnegativeGO";0,94750510432586;0,969708475300138;0;0,24064446922705;0,954472975486548;0,0133029376903745;0;0,836226411680478;0,854558186761532;0,825239356679906;0,19526052916532;0,964200621122997;0,948531814913482;0,961311730434678;0,936153650879341;0,1125;0,0344587025415129;0,964789898577592;0,0240542550279745;0,95112392355619;0,926601490843799;0,1125
"GnegativePseAAC";0,557131856149663;0,700522727169738;0;1,59700768260771;0,566533372423979;0,11558999153261;0;0,235777664131389;0,252923643414584;0,251305466214003;1,57251669788789;0,735439736053863;0,558653166651711;0,557538724827593;0,560449840777123;0,4875;0,424422391165082;0,568770722699112;0,218458702859683;0,573817442499901;0,529294124983701;0,5125
"GpositiveGO";0,942172159139418;0,964523926406557;0;0,125236204786704;0,94602483470408;0,0289139204302911;0,933031901372005;0,872576125996579;0,879160342301243;0,88687037635567;0,117506189703748;0,963563015032562;0,942825789869923;0,937590987135937;0,948364352998093;0;0,0539258373886564;0,945075628219357;0,0382009068746028;0,950826716753465;0,930614132445431;0,25
"GpositivePseAAC";0,538427388371895;0,702393055674132;0;0,956186857907168;0,547704829391844;0,234152046159538;0,633584211671736;0,391815978615596;0,393202458596776;0,414992638080873;0,950379919747289;0,709771516227421;0,547033957466676;0,533416815139422;0,561978855402829;0,2;0,462479011924073;0,541330857451834;0,315344714325014;0,563356242351803;0,510595065312046;0,25
"scene";0,577459048027718;0,721990655057465;0;1,23561010304633;0,605118135439724;0,148030215148285;0,772248916450234;0,619305744823792;0,630903525884899;0,642325990438649;1,17774647699612;0,764378898149205;0,60218774367182;0,580557557201854;0,625878609305449;0;0,397676622454176;0,60098737232152;0,226843648343748;0,637768172053474;0,49673240033326;0
"VirusGO";0,908452380952381;0,961277777777778;0;0,345238095238095;0,932087301587301;0,0332142857142857;0;0,877733959080708;0,852112794612795;0,921296296296296;0,141666666666667;0,954327384914301;0,92444244973726;0,882255460890611;0,972876068376068;0,0500000000000001;0,0633333333333333;0,915833333333333;0,024672619047619;0,973095238095238;0,834761904761905;0,0666666666666668
"VirusPseAAC";0,319781746031746;0,515664682539682;0;2,62666666666667;0,350968253968254;0,256031746031746;0;0,238950984802378;0,235906639656639;0,322916666666666;2,49119047619048;0,619398207237857;0,362676914629745;0,366895778134909;0,36112678062678;0,233333333333334;0,617619047619048;0,373452380952381;0,457896825396825;0,355674603174603;0,232380952380952;0,416666666666667
"Yelp";0,633449673171839;0,88168203208168;0;1,30980949011686;0,696861443426455;0,174201940449333;0,767102769146442;0,685563105884981;0,723443050984116;0,658865451077009;0,591422546601058;0,800731764490607;0,730187388394014;0,741280427023836;0,719536769885067;0;0,223679344812445;0,744697518013797;0,114615453973586;0,7045981347957;0,429283158580653;0
