"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,477387577233874;0,699918975965006;0;2,40169646242643;0,559810370562213;0,239871854580016;0,702711337067505;0,569518887653804;0,623476266546188;0,570343814276348;1,80916246404466;0,715649441035744;0,603398064103336;0,621598454159891;0,589473911389049;0;0,411340683690425;0,604382416207545;0,282062482101776;0,583605843255516;0,234553252733326;0,0166666666666667
"flags";0,5830163476874;0,779405556188451;0,242857142857143;4,09547049441786;0,700839726151927;0,267232854864434;0,593777625269222;0,580136005274822;0,631299799824236;0,601995464852608;2,58367623604466;0,731996932365066;0,72763746358226;0,723985410201419;0,735438337056807;0,114285714285714;0,259221158958001;0,704817928660034;0,272614832535885;0,717644369762791;0,145701754385965;0,128571428571429
"GnegativeGO";0,951090250393404;0,968675288398605;0;0,205686372887506;0,960172693861122;0,0124060088302205;0;0,930739350630033;0,932927067887065;0,933184839381486;0,160302432825776;0,974693615299153;0,952818662203217;0,947186154061367;0,95876667341476;0,25;0,0423781258680999;0,961912273625881;0,0195221573019001;0,967586986135509;0,92377149141882;0,25
"GnegativePseAAC";0,537259961028138;0,668231784934382;0;1,72498526811783;0,554082509608659;0,122078913869917;0;0,281161496514589;0,342563202723009;0,286268410620545;1,69904946154525;0,743309287711391;0,548915033419287;0,532697529090464;0,567261623591335;0,3125;0,456726906215656;0,548317927218509;0,235482883438027;0,577574426780764;0,488030434821343;0,3625
"GpositiveGO";0,941229474373204;0,966269078991055;0;0,106075158655625;0,945408947323487;0,0293852628133982;0,928464593679697;0,856801652192468;0,851202718784409;0,879567262802557;0,0983451435726686;0,964201972848939;0,942126648313482;0,932461895197744;0,952210506844247;0,25;0,0558851987819801;0,942191012834742;0,03246120170371;0,952806354762515;0,928691055522354;0,05
"GpositivePseAAC";0,555811918381286;0,729180065833784;0;0,800235493326504;0,568319625866796;0,225469208002504;0,635208366115357;0,408379365235342;0,408299252945635;0,433988903253609;0,794428555166624;0,711030168441081;0,567682515090748;0,548874990766712;0,588793078915165;0,2;0,441320897009021;0,558715387461225;0,264008236337593;0,590431571757876;0,518288795924756;0,25
"scene";0,572895625269664;0,70846835542908;0;1,37696467990676;0,592286523064027;0,148693324197033;0,757360230547496;0,600683164194459;0,636393179309359;0,611305896065111;1,32365934400971;0,748556279956861;0,58793436933989;0,58356629753191;0,592645438074811;0;0,399933603883167;0,596912686642451;0,253703803783058;0,607193888862;0,515278915250002;0
"VirusGO";0,874166666666667;0,930115079365079;0;0,489523809523809;0,900174603174603;0,0443650793650794;0;0,759545268399757;0,754680134680135;0,790277777777778;0,276190476190476;0,937713630786613;0,895448606696347;0,872146789291951;0,921917378917379;0,15;0,101190476190476;0,897619047619048;0,0452083333333334;0,928214285714286;0,791666666666667;0,166666666666667
"VirusPseAAC";0,373888888888889;0,588613095238095;0;2,18833333333333;0,401865079365079;0,224126984126984;0;0,236343440218749;0,225283836533836;0,303472222222222;2,04333333333333;0,61817551431415;0,414650775820658;0,441127329192547;0,392344729344729;0,516666666666667;0,560952380952381;0,434285714285714;0,380625;0,397936507936508;0,28952380952381;0,533333333333333
"Yelp";0,639739736368235;0,859335393975665;0;1,45452604890734;0,702811031106262;0,170479670269671;0,773604801378513;0,682272122748056;0,708595441753052;0,671000995894671;0,75202957651503;0,810417548343138;0,738511867480053;0,742293627068738;0,734844955599805;0;0,242120527980561;0,743882666234711;0,148365569511856;0,716620357775562;0,433764947144586;0
