"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,476721416028665;0,700490649092937;0;2,4838512340102;0,562345929216211;0,237393885523709;0,702912603933984;0,572132090310828;0,625984740717749;0,567280490956316;1,86014266328244;0,718028169651125;0,606609866925654;0,628890966300936;0,588580607445286;0;0,385066246363527;0,616416334092558;0,290017542928821;0,582533018901882;0,222972021247806;0,0166666666666667
"flags";0,598327656261867;0,783814198269242;0,257142857142857;3,97905635300372;0,71514030406654;0,257172096908939;0,607023935448305;0,597532631544131;0,638116013550556;0,624126984126984;2,47015683147262;0,742247221976171;0,738452579140975;0,730794272886559;0,749457302129877;0,114285714285714;0,296940457203615;0,719844276094276;0,25453442317916;0,733102142983722;0,157955874534822;0,114285714285714
"GnegativeGO";0,948058568342894;0,967090954365374;0;0,232033368239552;0,956171121056549;0,0131936973217778;0;0,905078998460535;0,909502985100182;0,905144833147882;0,185935142463537;0,971542023188856;0,949665491361846;0,947594546254342;0,951888759282645;0,05;0,0423465320954989;0,959317955969571;0,0222086194603925;0,961206566661564;0,923887589016932;0,05
"GnegativePseAAC";0,539437076478635;0,667748571505125;0;1,80568413759367;0,55150354420955;0,119582125586258;0;0,242658454500574;0,277038832240126;0,267968691200399;1,7818963269101;0,734207291750261;0,547007066560157;0,541867681481044;0,553520159126475;0,5125;0,455339444756252;0,550255234515529;0,245712842328058;0,565390459668739;0,504453867503768;0,5125
"GpositiveGO";0,942172159139418;0,964523926406557;0;0,125236204786704;0,94602483470408;0,0289139204302911;0,933031901372005;0,872576125996579;0,879160342301243;0,88687037635567;0,117506189703748;0,963563015032562;0,942825789869923;0,937590987135937;0,948364352998093;0;0,0539258373886564;0,945075628219357;0,0382009068746028;0,950826716753465;0,930614132445431;0,25
"GpositivePseAAC";0,557697287913714;0,731750452962995;0;0,792505478243547;0,56698729806388;0,224026900310197;0,63494086971957;0,401895609334833;0,40628022716434;0,423115887380593;0,786698540083668;0,713263255812114;0,565937836380944;0,552073123709524;0,581100771222858;0,2;0,437474743162868;0,560600756993654;0,261431564643274;0,582663849284271;0,529827257463217;0,25
"scene";0,582637845745736;0,710469530109528;0;1,36686204957244;0,598981413908244;0,143488769656009;0,757312407787815;0,605225919098352;0,646955117190418;0,609234899913012;1,31149556882787;0,748861844067275;0,59583201370027;0,600875383697079;0,591087741527521;0;0,392181455360323;0,608871510648567;0,250577108633634;0,605365738866867;0,533817530659626;0
"VirusGO";0,870198412698413;0,929321428571429;0;0,527619047619048;0,897634920634921;0,045952380952381;0;0,76620218847773;0,774494949494949;0,793055555555556;0,314285714285714;0,932872427435509;0,891317552565293;0,871322613467775;0,914225071225071;0,116666666666667;0,0964285714285714;0,897619047619048;0,0501289682539683;0,924246031746032;0,782142857142857;0,133333333333333
"VirusPseAAC";0,35515873015873;0,56305753968254;0;2,37857142857143;0,382539682539683;0,229523809523809;0;0,198081802910234;0,191236103221397;0,249537037037037;2,22857142857143;0,611365714987747;0,396020932579014;0,424520045172219;0,372034188034188;0,55;0,57;0,422857142857143;0,412680555555556;0,372063492063492;0,27547619047619;0,583333333333333
"Yelp";0,626406432788914;0,856366718187512;0;1,44247125733832;0,689591632008095;0,176300279081011;0,763646387670256;0,672389952364568;0,713559672637678;0,650758201243532;0,744795778804447;0,802790388174184;0,727399335557964;0,737170391388801;0,718018272053193;0;0,253928701464928;0,734789655322815;0,147178972746214;0,699167949692539;0,422457994148002;0
