"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,4558753;0,68916532;0;2,53189248;0,54446715;0,25702744;0,68839484;0,56328762;0,59273953;0,55794807;1,93769168;0,69516117;0,57749274;0,59073363;0,56666412;0;0,40638356;0,59302727;0,30237042;0,56306584;0,195601;0
"flags";0,571618218;0,798401961;0,200000008;3,792570446;0,689417481;0,269639246;0,597086514;0,584199695;0,653823356;0,588954242;2,127400319;0,729743055;0,717949668;0,729075779;0,708355264;0,099999978;0,245927703;0,712082508;0,223374266;0,689077472;0,148118034;0,114285688
"GnegativeGO";0,9496650929;0,9707954884;0;0,1604871068;0,9591293446;0,0127618759;0;0,9269657248;0,9251605873;0,9343562367;0,1151031679;0,9748382912;0,9516313766;0,9440988626;0,9594891365;0,25;0,0430771404;0,9598760809;0,0144678361;0,9679650657;0,9216286351;0,25
"GnegativePseAAC";0,55017055;0,69675752;0;1,4557026;0,57229116;0,12232097;0;0,30618104;0,33057194;0,31498606;1,43410549;0,74973264;0,56051033;0,52905521;0,59618956;0,225;0,43674868;0,55857244;0,19899052;0,60987745;0,48637572;0,3125
"GpositiveGO";0,9460371656;0,9688948395;0;0,1038561149;0,9518192041;0,0269814167;0,9458257055;0,8847393156;0,8759917261;0,910321231;0,0961260999;0,9718761385;0,9473020757;0,9334098355;0,961789606;0;0,0500419779;0,9469987046;0,0320420316;0,962421738;0,9286910552;0,25
"GpositivePseAAC";0,54391026;0,70531336;0;0,94630753;0,56862376;0,23894373;0,63691637;0,41460147;0,39275429;0,46254561;0,94053829;0,71380467;0,56481183;0,52237495;0,615613;0,175;0,45671405;0,54679487;0,31287175;0,61740977;0,47201328;0,25
"scene";0,57606025;0,7171575;0;1,36122298;0,61157076;0,1493882;0,77737944;0,62990707;0,62146479;0,6676089;1,30376816;0,77219094;0,61130157;0,57238639;0,65605309;0;0,39434107;0,59425988;0,24961897;0,66558781;0,47304048;0
"VirusGO";0,8981349232;0,9496587346;0;0,4028571431;0,9203412698;0,0371825406;0;0,8785784692;0,8516961298;0,9303240713;0,1992857148;0,9498323381;0,9151940304;0,8720963082;0,964876069;0,0333333367;0,0776190488;0,9031349232;0,036041667;0,961190475;0,8299999994;0,0500000037
"VirusPseAAC";0,31696428;0,51839946;0;2,48190477;0,35822448;0,25920636;0;0,27405603;0,28382576;0,36921298;2,34619047;0,63645356;0,38491139;0,36975704;0,40700142;0,15000001;0,62761905;0,36700397;0,43797025;0,39369048;0,19857142;0,34999999
"Yelp";0,658684315;0,900725793;0;1,26416309;0,721606818;0,161922088;0,779673203;0,701574763;0,729989281;0,682295172;0,527120223;0,815340142;0,752087861;0,754601697;0,749646739;0;0,186567488;0,764256351;0,101163367;0,734233839;0,453743901;0
