"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss";"micro-AUC";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error";"precision";"ranking-loss";"recall";"subset-accuracy";"wlp"
"emotions";0,517858806092398;0,723393741995558;0;2,50214169025598;0,600896269221621;0,224516040174304;0,719215671024586;0,609466248448534;0,656673549309763;0,603579457011475;1,87046087330915;0,734141205233025;0,634286702915507;0,644666866797647;0,62644683391243;0;0,35523793205008;0,644652867278501;0,283362530665619;0,62237338121525;0,268558724442127;0
"flags";0,606154306220096;0,810706755419694;0,285714285714286;3,82485645933014;0,722951042459814;0,260341004025214;0,617166300086468;0,653402944361553;0,69270749926765;0,675714285714286;2,18499734183945;0,740312263500366;0,742563993974809;0,714370374607618;0,774810470416814;0,0285714285714286;0,206765018607124;0,697434520645047;0,22426936026936;0,768663559150401;0,153381180223286;0,0285714285714286
"GnegativeGO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GnegativePseAAC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GpositiveGO";0,946999416602635;0,967915160742575;0;0,10581547568229;0,951191221529734;0,0265002916986824;0,955098580607801;0,899447498683169;0,883141348502644;0,929602276808159;0,0980854605993341;0,969642256249749;0,947970454317753;0,938312955388427;0,957979737613478;0;0,0520013375451777;0,947960955064174;0,0326951535331113;0,958613292922394;0,934424001821338;0,025
"GpositivePseAAC";0,575950510828424;0,74514760427635;0;0,795578274851305;0,588821774476602;0,215881036739805;0,66116167289252;0,469915871700975;0,488277408914193;0,485410382101559;0,789809044082074;0,722833740423854;0,588107272939309;0,56814925147413;0,609955462591423;0,1;0,412511027633114;0,57883512621304;0,261978203230978;0,611679686388343;0,53733671988389;0,175
"scene";0,595235665965419;0,729064498535426;0;1,31569351567971;0,622984780498435;0,140289519767454;0,779647052542223;0,639492871438601;0,649879987765745;0,65982890968027;1,25785784803749;0,775077862565733;0,623704148704676;0,600040888932564;0,64949110285098;0;0,372428896868362;0,615003896230209;0,238642236603226;0,657832100861318;0,512872225828719;0
"VirusGO";0,917539682539683;0,949253968253968;0;0,393809523809524;0,938039682539683;0,0307142857142857;0;0,891067292414042;0,863223905723906;0,937962962962963;0,175714285714286;0,95895733540935;0,930952864429453;0,887581453446442;0,981042735042735;0,0500000000000001;0,0821428571428571;0,920039682539682;0,0332678571428571;0,97797619047619;0,854523809523809;0,0500000000000001
"VirusPseAAC";0,337857142857143;0,554579365079365;0;2,28833333333333;0,381420634920635;0,24468253968254;0;0,355991019071514;0,371782106782107;0,406018518518518;2,10452380952381;0,634590010773117;0,407710319893312;0,403070489163582;0,417742165242165;0,15;0,594285714285714;0,410357142857143;0,390366402116402;0,39781746031746;0,207857142857143;0,266666666666667
"Yelp";0,658684324081128;0,900725785366296;0;1,26416307429285;0,721606819899015;0,161922093171546;0,779673205975907;0,701574765645538;0,729989277213965;0,682295173945507;0,52712022386395;0,815340133061423;0,752087871903922;0,754601693654582;0,749646740862779;0;0,186567479407703;0,764256349135257;0,101163365124621;0,734233841393046;0,453743899300712;0
