"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss";"micro-AUC";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error";"precision";"ranking-loss";"recall";"subset-accuracy";"wlp"
"emotions";0,517858806092398;0,723393741995558;0;2,50214169025598;0,600896269221621;0,224516040174304;0,719215671024586;0,609466248448534;0,656673549309763;0,603579457011475;1,87046087330915;0,734141205233025;0,634286702915507;0,644666866797647;0,62644683391243;0;0,35523793205008;0,644652867278501;0,283362530665619;0,62237338121525;0,268558724442127;0
"flags";0,606824371534898;0,797017437533227;0,285714285714286;4,21649388623073;0,723588513102468;0,249891395154553;0,620111337075623;0,642709175135055;0,715495584198592;0,647301587301587;2,63029505582137;0,749646700741771;0,746138729640938;0,736795670494203;0,756806038074695;0,0428571428571429;0,206765018607124;0,725439058504848;0,262962032606769;0,744817004632794;0,142036150983519;0,0428571428571429
"GnegativeGO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GnegativePseAAC";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GpositiveGO";0,949921027917698;0,972521746966808;0;0,0810374512649762;0,955703064970546;0,0250394860411508;0,939575704790808;0,884265271000941;0,858227240315509;0,935321231056525;0,07330743618202;0,970914599844585;0,951058027872617;0,937079869815719;0,965635760835539;0;0,0481943140100743;0,950882566379237;0,0244358120606733;0,966305600614702;0,932574916759156;0,025
"GpositivePseAAC";0,575950510828424;0,74514760427635;0;0,795578274851305;0,588821774476602;0,215881036739805;0,66116167289252;0,469915871700975;0,488277408914193;0,485410382101559;0,789809044082074;0,722833740423854;0,588107272939309;0,56814925147413;0,609955462591423;0,1;0,412511027633114;0,57883512621304;0,261978203230978;0,611679686388343;0,53733671988389;0,175
"scene";0,595235665965419;0,729064498535426;0;1,31569351567971;0,622984780498435;0,140289519767454;0,779647052542223;0,639492871438601;0,649879987765745;0,65982890968027;1,25785784803749;0,775077862565733;0,623704148704676;0,600040888932564;0,64949110285098;0;0,372428896868362;0,615003896230209;0,238642236603226;0,657832100861318;0,512872225828719;0
"VirusGO";0,917539682539683;0,949253968253968;0;0,393809523809524;0,938039682539683;0,0307142857142857;0;0,891067292414042;0,863223905723906;0,937962962962963;0,175714285714286;0,95895733540935;0,930952864429453;0,887581453446442;0,981042735042735;0,0500000000000001;0,0821428571428571;0,920039682539682;0,0332678571428571;0,97797619047619;0,854523809523809;0,0500000000000001
"VirusPseAAC";0,397103174603175;0,663936507936508;0;1,3902380952381;0,43031746031746;0,220436507936508;0;0,282262158226352;0,278921304730128;0,316898148148148;1,23047619047619;0,604956235966295;0,438508506690878;0,457860978666028;0,424739316239316;0,416666666666666;0,530238095238095;0,466547619047619;0,233321428571429;0,426587301587302;0,304761904761905;0,483333333333333
"Yelp";0,658684324081128;0,900725785366296;0;1,26416307429285;0,721606819899015;0,161922093171546;0,779673205975907;0,701574765645538;0,729989277213965;0,682295173945507;0,52712022386395;0,815340133061423;0,752087871903922;0,754601693654582;0,749646740862779;0;0,186567479407703;0,764256349135257;0,101163365124621;0,734233841393046;0,453743899300712;0
