"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,47254922152651;0,704294758939066;0;2,38517847462404;0,555965906568644;0,242928277866368;0,700084255313919;0,574356581892736;0,631545944800949;0,563399863356649;1,78440201953159;0,71253303954517;0,596856865429805;0,616828141086623;0,581112181375943;0;0,399613608661718;0,60149049101231;0,273911140144128;0,57610117634448;0,225083327559939;0
"flags";0,592016505911243;0,781708352003747;0,2;4,02665071770335;0,706412379058711;0,256099718994456;0,609585616880785;0,603975374494592;0,63241973823022;0,623174603174603;2,43561669324827;0,743621495779155;0,73849758169098;0,732008200909755;0,746852625504678;0,114285714285714;0,279130781499203;0,711547549429128;0,253699317738791;0,720323574086732;0,151967038809144;0,128571428571429
"GnegativeGO";0,947253378654726;0,967407504377161;0;0,216089640951879;0,955871184848811;0,0133954168984974;0;0,917193191863735;0,909840367962435;0,930994668441315;0,170705700890149;0,972093644087601;0,949127433029763;0,943874338035972;0,954675657698129;0,25;0,043849475637322;0,957094852992985;0,020759525008931;0,963264466441032;0,921638911768255;0,25
"GnegativePseAAC";0,557905387949013;0,676709371654507;0;1,83261413159239;0,568907269996229;0,115110267409173;0;0,285420654056157;0,322949306007384;0,305708007270507;1,80816592521322;0,731491760165403;0,562461126257437;0,55949056498586;0,565976079614652;0,3875;0,421612946724687;0,569651587747026;0,251379040203934;0,579045786673599;0,525258597579889;0,425
"GpositiveGO";0,944132943453143;0,96324525456046;0;0,123310282022824;0,947985619017806;0,0279335282734284;0,941632328722432;0,880061464666128;0,876593990524365;0,901293453278747;0,115580266939867;0,967433677837099;0,944930496214409;0,937951223151001;0,952246791314494;0;0,0577719912348103;0,946074874071544;0,038363356953812;0,953749039528729;0,932574916759156;0,25
"GpositivePseAAC";0,558437562252768;0,723106152233511;0;0,894821281197529;0,571290683665822;0,22656058795071;0,640636712272415;0,443049245134343;0,464393030003578;0,449968128276952;0,890975127351376;0,712032750989268;0,568653227693836;0,546703653016799;0,592936623125302;0,1;0,430078402914141;0,560360639175844;0,295539974577156;0,595073849568855;0,519878198013603;0,225
"scene";0,570274057906621;0,714725442099384;0;1,25607280816168;0,596488434533578;0,150184861572829;0,763861997965986;0,61130991422643;0,631431645366791;0,630170118139074;1,20193452273015;0,759145374492847;0,596990058281003;0,574903632696488;0,621257527234814;0;0,412758295523472;0,588601454815827;0,231778956031665;0,630527623051437;0,492519699291742;0
"VirusGO";0,899722222222222;0,942468253968254;0;0,431428571428572;0,919174603174603;0,0355952380952381;0;0,832310678657428;0,826001683501683;0,860879629629629;0,223095238095238;0,954431720544307;0,9173231364587;0,887613700475769;0,950239316239316;0,1;0,0921428571428571;0,907936507936508;0,04;0,948214285714286;0,834761904761905;0,1
"VirusPseAAC";0,339722222222222;0,571400793650794;0;2,21190476190476;0,38468253968254;0,247698412698413;0;0,282726915699411;0,279244354716491;0,346064814814815;2,06642857142857;0,616825657510374;0,402948067739337;0,395907437613875;0,417675213675214;0,316666666666667;0,582857142857143;0,404285714285714;0,381128968253968;0,41265873015873;0,213809523809524;0,416666666666667
"Yelp";0,637032010967717;0,855433652169286;0;1,44344067451814;0,699778191917279;0,171645304606882;0,773519384106952;0,683756554156435;0,71801756483858;0,665746873934623;0,741667618115347;0,811107891849896;0,735886268737191;0,74207867713597;0,729876362342423;0;0,253950272311437;0,742681552568032;0,147496262113021;0,711803660557588;0,433278329878826;0
