"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,449936598096395;0,688843175363257;0;2,49090334419697;0,533771115483417;0,25272930070967;0,687395455012142;0,559953933328169;0,626212542514336;0,538668063341696;1,89997340968757;0,697172551977333;0,575389765481492;0,603464784022533;0,551378921516536;0;0,412609733473474;0,590502702105549;0,294550845822728;0,546458047466246;0,206068338493222;0
"flags";0,589059682033366;0,790433916968347;0,228571428571429;3,96856990962254;0,705398956306851;0,263986861092124;0,603888010915322;0,591982085230648;0,631355551790094;0,616309523809524;2,39811004784689;0,735741475324448;0,729217422647931;0,724515740392008;0,737049278975585;0,1;0,262331206804891;0,710267328675223;0,252052587276272;0,721858345358345;0,150956937799043;0,142857142857143
"GnegativeGO";0,949552015935377;0,970408685465387;0;0,214728780298963;0,957204138614134;0,0127612337688107;0;0,918895393997718;0,917849713917868;0,923757842766989;0,168630554522947;0,970571110190395;0,951327813545236;0,950202244370765;0,952592585451753;0,0375;0,0380514473932505;0,960483285104439;0,0204197224552582;0,961528639297276;0,926644123404417;0,0375
"GnegativePseAAC";0,560704291683168;0,670941918270276;0;1,9232410586222;0,570746084658784;0,113947626093654;0;0,268277707280684;0,296995819644298;0,290318135455331;1,89950713795731;0,738089742933624;0,564962139804982;0,564650524206719;0,565976079614652;0,425;0,423776358852128;0,572331443862134;0,26371692499814;0,57941834576918;0,530962605801883;0,4875
"GpositiveGO";0,94411480121802;0,962909623210678;0;0,127156435868977;0,94797352419439;0,0279425993909901;0,941319828722432;0,879812990917654;0,876188328934492;0,901293453278747;0,119426420786021;0,967113165016586;0,944914057589259;0,937918970288559;0,952246791314494;0;0,0578082757050571;0,946056731836421;0,0396454082358633;0,953749039528729;0,93253863228891;0,25
"GpositivePseAAC";0,549946996215032;0,715873447830995;0;0,915575998178661;0,563114583036892;0,23033417285637;0,641641103612285;0,439050030925901;0,457031918892467;0,446046559649501;0,911729844332508;0,712976147215683;0,561573581676137;0,540036986350132;0,585389453313982;0,1;0,443285950083952;0,551870073138109;0,302458213570866;0,587526679757534;0,510444235749452;0,225
"scene";0,57012931348854;0,709760845700054;0;1,35732324705278;0,592701314003387;0,150359567042327;0,767008460199508;0,602729635289726;0,630546014387596;0,618685496915166;1,30525502626909;0,761805357456409;0,591335235806758;0,5758263058012;0,608150672820386;0;0,403645283382658;0,588377498639292;0,252149553414059;0,61950089898763;0,503206999639098;0
"VirusGO";0,885873015873016;0,928738095238095;0;0,5;0,907904761904762;0,0404761904761905;0;0,780501498845152;0,775029461279461;0,806944444444444;0,291666666666667;0,945853337706023;0,90517741238496;0,882531107462142;0,930239316239316;0,15;0,106904761904762;0,902142857142857;0,0496964285714286;0,933571428571428;0,815238095238095;0,15
"VirusPseAAC";0,255;0,494434523809524;0;2,50547619047619;0,284126984126984;0,274365079365079;0;0,170413066405517;0,172436392798235;0,252083333333333;2,40380952380952;0,589089498421734;0,290948894305563;0,29919359223707;0,288921652421652;0,466666666666667;0,699285714285714;0,301785714285714;0,447390873015873;0,294801587301587;0,175;0,583333333333333
"Yelp";0,618814351496851;0,843010030780768;0;1,49655582011046;0,681089150244444;0,180378709001783;0,764847182502835;0,664447103136412;0,698425029086744;0,652083905340719;0,795633882042179;0,802790217046761;0,721209789533341;0,73067507329146;0,712085013829081;0;0,271749875259296;0,725092706330347;0,159341107763511;0,690854329536367;0,417847876661003;0
