"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,465220517845324;0,697554289906353;0;2,40621364148724;0,551095586002709;0,244995571277083;0,692883954957862;0,571210404547146;0,618945461902635;0,560539885094839;1,79648327078953;0,706613616660104;0,594895029624594;0,612582901259355;0,579221609760601;0;0,409739953041899;0,601260129813568;0,280809243162466;0,566425651261388;0,213550878264429;0
"flags";0,561582346016556;0,790083112558332;0,228571428571429;3,86088516746412;0,68339275499443;0,276610845295056;0,593994872424494;0,589012842780131;0,632559126337322;0,604192343604108;2,26315257841574;0,722891891462164;0,715750870377673;0,713557622028755;0,719529980798638;0,0857142857142858;0,250473152578416;0,694305061897167;0,234143363459153;0,694002689805321;0,123955342902711;0,1
"GnegativeGO";0,952410124585235;0,972586377098929;0;0,152604198302958;0,961754472814859;0,0119569926632149;0;0,930499657279668;0,927680177266183;0,938133709955356;0,107220258241229;0,976357398120818;0,954667676019543;0,947360782660743;0,962219544407276;0,25;0,0409290723449609;0,962263969979032;0,0134267402983099;0,97047027626126;0,924496127515414;0,25
"GnegativePseAAC";0,567366499910507;0,707808060614759;0;1,43115909703848;0,584898786003281;0,115182209855216;0;0,310505412912109;0,346936827022489;0,31121312292044;1,40664679603835;0,752442804931803;0,575439107678343;0,556445627528954;0,596893241944865;0,2625;0,417270341781286;0,578432137775089;0,194737473783216;0,609800805758635;0,516006060399907;0,3125
"GpositiveGO";0,940267935911665;0,96503926074542;0;0,117393067531802;0,946049972964513;0,0298660320441674;0,936172424247822;0,867935758921429;0,867569931615437;0,890873644329527;0,109663052448846;0,967095022781463;0,941463319825255;0,931075095414718;0,952210506844247;0;0,0558112069210848;0,943171404991605;0,0359070406101483;0,954710577990267;0,922921824753123;0,25
"GpositivePseAAC";0,548042061527078;0,701763887703122;0;0,979152081732548;0,564383590881926;0,230316030621247;0,637257110882081;0,407288340197132;0,396626830469143;0,439188483085542;0,973382850963317;0,714787366811792;0,564258248925605;0,539200847280067;0,592457810410086;0,175;0,458634280998321;0,550926676911694;0,32381992468008;0,594182034207006;0,499017473462534;0,25
"scene";0,577071932215458;0,706791238963841;0;1,4661590580158;0,602000408130045;0,147978706165051;0,766177788394528;0,617215363407469;0,632804017398481;0,634413701656644;1,41240105142625;0,759774472128756;0,600460210178502;0,582527591341125;0,620524341289883;0;0,395783286130853;0,59780277671865;0,269745023514717;0,630972769264731;0,50396037950878;0
"VirusGO";0,905992063492064;0,956444444444444;0;0,379761904761905;0,928365079365079;0,0348412698412698;0;0,878975789146068;0,863223905723906;0,919444444444445;0,176190476190476;0,951749002076017;0,920757668789513;0,879184628049617;0,968709401709402;0,0333333333333334;0,0680952380952381;0,911825396825397;0,030297619047619;0,968214285714286;0,839523809523809;0,0500000000000001
"VirusPseAAC";0,309246031746032;0,510929232804233;0;2,58095238095238;0,343557823129252;0,255714285714286;0;0,25499383116273;0,272246272246272;0,339583333333333;0,2445;0,625796328270752;0,367108248967603;0,367822781887999;0,369816239316239;0,183333333333333;0,631666666666667;0,36015873015873;0,453103174603175;0,359880952380952;0,208571428571428;0,4
"Yelp";0,647099299508258;0,891003886012746;0;1,30109017779237;0,710044098195839;0,166432397594364;0,771670873903066;0,692207042413426;0,73040804217069;0,667275039993187;0,56910391404858;0,808301326268749;0,74358035970171;0,750785860229872;0,736596112854973;0;0,201306145300127;0,755358407115975;0,11039926586281;0,719691128448765;0,442711232107652;0
