"";"Accuracy";"Average-precision";"clp";"coverage";"F1";"hamming-loss";"Macro-AUC";"Macro-F1";"Macro-Precision";"Macro-Recall";"margin-loss ";"micro-AUC ";"Micro-F1";"Micro-Precision";"Micro-Recall";"mlp";"one-error ";"precision ";"ranking-loss ";"recall ";"subset-accuracy ";"wlp "
"emotions";0,463422142628811;0,684105389276771;0;2,4594849998745;0,553170542037139;0,260244382414589;0,696524819211952;0,58241267634513;0,583356537934817;0,594438648941358;1,9003261862583;0,703158289295227;0,590556185365475;0,57971606000841;0,602980555170922;0;0,453211995688815;0,576067675905687;0,28928911662977;0,599712541517495;0,193724059638433;0
"flags";0,529498645603909;0,781511371231108;0,0142857142857143;3,9641759702286;0,647750396216106;0,297765246449457;0,612953996437245;0,612341741914035;0,635644336191107;0,614935959232178;2,34080010632642;0,701742067909408;0,690838992874311;0,69635711681129;0,686652347445258;0,0285714285714286;0,245956937799043;0,668469076732235;0,245363769271664;0,652862908533961;0,116116427432217;0,0428571428571429
"GnegativeGO";0,947271366290959;0,970260433092229;0;0,165550222436033;0,956853809758677;0,0134806400067383;0;0,917774275373348;0,914325259326937;0,933569489453636;0,120885706834735;0,971437372602764;0,948709416435706;0,945018179329889;0,952583202388182;0,25;0,0437751764140865;0,959638439197983;0,015068651259337;0,963650779477735;0,918761286816545;0,25
"GnegativePseAAC";0,541375171392774;0,693228235720875;0;1,4654564291829;0,565490674532309;0,124595001303921;0;0,31484228569119;0,320910228281669;0,332326058934291;1,43667973017736;0,750307690692788;0,554419050944714;0,52106811347502;0,593487029199965;0,1875;0,443874974994675;0,553953318263997;0,198729897155272;0,603115315245271;0,473024931625115;0,3
"GpositiveGO";0,936402216909986;0,963106519821281;0;0,125049090753863;0,94090825009249;0,031798891545007;0,928231157744322;0,860531082073277;0,858977597811433;0,875933168139051;0,117319075670907;0,963891167715642;0,937495794668345;0,928747000728133;0,946477560545263;0,25;0,0577719912348103;0,938325293833063;0,0387858457364562;0,94799723953442;0,922884117362475;0,05
"GpositivePseAAC";0,533034164318848;0,696411454034928;0;0,98406827172088;0,554848838422645;0,244555195082387;0,653212414548871;0,433069978356497;0,410469542656589;0,481341036414566;0,980222117874726;0,714271193859851;0,550446543417307;0,512461445810855;0,594971399299923;0,1;0,469801360311904;0,534957241241925;0,325779167496703;0,597510600756994;0,468545633057287;0,2
"scene";0,561047500558187;0,705538908604677;0;1,47024156456643;0,590909443083772;0,154362293085296;0,76119812522915;0,605171889987387;0,599912167140671;0,632366422560769;1,413617779848;0,755669265473145;0,589656275505449;0,562353968692609;0,620082717176193;0;0,397020302823183;0,58199595793667;0,270101860270296;0,628910815068238;0,47327749604322;0
"VirusGO";0,902936507936508;0,949063492063492;0;0,417857142857143;0,926539682539683;0,0355952380952381;0;0,863371316362803;0,851531986531987;0,90162037037037;0,214285714285714;0,961700602060577;0,917095876963943;0,884940521802591;0,953017094017094;0,0333333333333334;0,0776190476190476;0,9175;0,0353373015873016;0,959484126984127;0,830238095238095;0,0666666666666668
"VirusPseAAC";0,325714285714286;0,52658664021164;0;2,43190476190476;0,384007936507937;0,257539682539683;0;0,336655421605112;0,323856745106745;0,402777777777778;2,3052380952381;0,642114923007427;0,409736201425943;0,384431549218567;0,441294871794872;0,0500000000000001;0,632380952380952;0,382896825396825;0,426962962962963;0,444087301587302;0,159047619047619;0,283333333333333
"Yelp";0,655775035936953;0,906772788436299;0;1,23960324851612;0,719014410754284;0,166650197064102;0,780109141489314;0,700363867549818;0,714676010825275;0,690226644971378;0,50604382768492;0,809966190679591;0,745884654293067;0,745406888670021;0,746537448195826;0;0,178687308381341;0,759741577543878;0,0968395699884607;0,733910478896654;0,453719364216229;0
