"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,71033449;0,68916532;0,703403653642929;0,708994226746056;0,706045488191605;0,703403653642929;0,699918975965006;0,700490649092937;0,70732858776987;0,70261685922621;0,723393741995558;0,723393741995558;0,700485493391685;0,704294758939066;0,688843175363257;0,697554289906353;0,698139176233026;0,696800496717606;0,684105389276771
"flags";0,799450232;0,798401961;0,804060517982667;0,802456982629132;0,812093789292254;0,773886550340498;0,779405556188451;0,783814198269242;0,71519246031746;0,78933293165574;0,810706755419694;0,797017437533227;0,782063112009822;0,781708352003747;0,790433916968347;0,790083112558332;0,786701463992473;0,788533060028016;0,781511371231108
"GnegativeGO";0,962333449;0,9707954884;0,96975906826042;0,969760781175802;0,969708475300138;0,968675288398605;0,968675288398605;0,967090954365374;NA;NA;NA;NA;0,967154849358319;0,967407504377161;0,970408685465387;0,972586377098929;0,971152630479203;0,971675248858664;0,970260433092229
"GnegativePseAAC";0,67274418;0,69675752;0,710330500432963;0,714298848883454;0,700522727169738;0,665972534583902;0,668231784934382;0,667748571505125;NA;NA;NA;NA;0,676365421215399;0,676709371654507;0,670941918270276;0,707808060614759;0,706113858833327;0,69779008273094;0,693228235720875
"GpositiveGO";0,96180342;0,9688948395;0,964203413586044;0,965510603128528;0,964523926406557;0,966269078991055;0,966269078991055;0,964523926406557;0,96695362228104;0,96503054535796;0,967915160742575;0,972521746966808;0,963572051946081;0,96324525456046;0,962909623210678;0,96503926074542;0,96503926074542;0,966943483973173;0,963106519821281
"GpositivePseAAC";0,72069271;0,70531336;0,695199659447717;0,698084274832333;0,702393055674132;0,722449296603015;0,729180065833784;0,731750452962995;0,70343220258592;0,72919891952911;0,74514760427635;0,74514760427635;0,720061280438639;0,723106152233511;0,715873447830995;0,701763887703122;0,713142092831327;0,708328353111927;0,696411454034928
"scene";0,70077265;0,7171575;0,70101086667197;0,702299982318229;0,721990655057465;0,709936277325872;0,70846835542908;0,710469530109528;0,712252820974;0,71124800645732;0,729064498535426;0,729064498535426;0,714725442099384;0,714725442099384;0,709760845700054;0,706791238963841;0,709350266741619;0,716514073258949;0,705538908604677
"VirusGO";0,921773814;0,9496587346;0,953480158730159;0,956813492063492;0,961277777777778;0,929876984126984;0,930115079365079;0,929321428571429;0,95808333333333;0,95808333333333;0,949253968253968;0,949253968253968;0,939551587301587;0,942468253968254;0,928738095238095;0,956444444444444;0,956444444444444;0,943638888888889;0,949063492063492
"VirusPseAAC";0,4275297744;0,51839946;0,506259920634921;0,501974206349206;0,515664682539682;0,57821626984127;0,588613095238095;0,56305753968254;0,53097619047619;0,59451455026455;0,554579365079365;0,663936507936508;0,572394841269841;0,571400793650794;0,494434523809524;0,510929232804233;0,49116335978836;0,443137566137566;0,52658664021164
"Yelp";0,85203367;0,900725793;0,896971732937407;0,896971732937407;0,88168203208168;0,861507403598581;0,859335393975665;0,856366718187512;0,88395282071516;0,89275338481993;0,900725785366296;0,900725785366296;0,855433652169286;0,855433652169286;0,843010030780768;0,891003886012746;0,890830727648765;0,884144072878592;0,906772788436299
