"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";2,30887952;2,53189248;2,36838882900952;2,33758354001924;2,31223568762965;2,36838882900952;2,40169646242643;2,4838512340102;2,40857848157109;2,45298611294001;2,50214169025598;2,50214169025598;2,4734920003739;2,38517847462404;2,49090334419697;2,40621364148724;2,38199525299797;2,40511804365101;2,4594849998745
"flags";3,834845825;3,792570446;3,81765284423179;3,81447102604997;3,75641679957469;4,08991493886231;4,09547049441786;3,97905635300372;4,55;4,02745348219033;3,82485645933014;4,21649388623073;4,08074428495481;4,02665071770335;3,96856990962254;3,86088516746412;3,88223019670388;3,94033227006911;3,9641759702286
"GnegativeGO";0,275189637;0,1604871068;0,179838844223507;0,178389717810351;0,24064446922705;0,205686372887506;0,205686372887506;0,232033368239552;NA;NA;NA;NA;0,206737122966267;0,216089640951879;0,214728780298963;0,152604198302958;0,15547169154241;0,154677967858742;0,165550222436033
"GnegativePseAAC";1,66420214;1,4557026;1,45277719870709;1,44470841563831;1,59700768260771;1,77472249960923;1,72498526811783;1,80568413759367;NA;NA;NA;NA;1,81287005248891;1,83261413159239;1,9232410586222;1,43115909703848;1,45984871677126;1,52288563880405;1,4654564291829
"GpositiveGO";0,144465551;0,1038561149;0,12139005094055;0,111586129371923;0,125236204786704;0,106075158655625;0,106075158655625;0,125236204786704;0,10389239875921;0,10196932183614;0,10581547568229;0,0810374512649762;0,121349497709098;0,123310282022824;0,127156435868977;0,117393067531802;0,117393067531802;0,113584621076297;0,125049090753863
"GpositivePseAAC";0,93808163;0,94630753;0,992689034975384;0,986919804206153;0,956186857907168;0,827158570249581;0,800235493326504;0,792505478243547;0,93334258231595;0,80608013887703;0,795578274851305;0,795578274851305;0,904436665812914;0,894821281197529;0,915575998178661;0,979152081732548;0,934921312501779;0,956583141239079;0,98406827172088
"scene";1,56150327;1,36122298;1,40768096288266;1,3840074934949;1,23561010304633;1,37110693932098;1,37696467990676;1,36686204957244;1,37326336200166;1,37794957451334;1,31569351567971;1,31569351567971;1,25607280816168;1,25607280816168;1,35732324705278;1,4661590580158;1,45532572468247;1,40061018001549;1,47024156456643
"VirusGO";0,6014285723;0,4028571431;0,418333333333333;0,399285714285714;0,345238095238095;0,518095238095238;0,489523809523809;0,527619047619048;0,39404761904762;0,39404761904762;0,393809523809524;0,393809523809524;0,451428571428572;0,431428571428572;0,5;0,379761904761905;0,379761904761905;0,417619047619048;0,417857142857143
"VirusPseAAC";2,8223809538;2,48190477;2,64023809523809;2,64023809523809;2,62666666666667;2,21214285714286;2,18833333333333;2,37857142857143;2,41309523809524;2,03214285714286;2,28833333333333;1,3902380952381;2,09309523809524;2,21190476190476;2,50547619047619;2,58095238095238;2,62714285714286;2,78785714285714;2,43190476190476
"Yelp";1,43163712;1,26416309;1,2705136259077;1,2705136259077;1,30980949011686;1,44908798244208;1,45452604890734;1,44247125733832;1,37103868414754;1,31406769825679;1,26416307429285;1,26416307429285;1,44344067451814;1,44344067451814;1,49655582011046;1,30109017779237;1,30058867327883;1,32477779371676;1,23960324851612
