"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,55454246;0,54446715;0,568718785733358;0,575503544334296;0,560290574128732;0,568718785733358;0,559810370562213;0,562345929216211;0,56833937913908;0,55536937232946;0,600896269221621;0,600896269221621;0,567381407687032;0,555965906568644;0,533771115483417;0,551095586002709;0,54764101970883;0,549737118818183;0,553170542037139
"flags";0,694265801;0,689417481;0,707593811012073;0,708456281874543;0,703186734244549;0,701501755805185;0,700839726151927;0,71514030406654;0,6360101010101;0,71684622086815;0,722951042459814;0,723588513102468;0,696524250617951;0,706412379058711;0,705398956306851;0,68339275499443;0,682961078159244;0,680216291594282;0,647750396216106
"GnegativeGO";0,945604655;0,9591293446;0,956966802647041;0,957087563181471;0,954472975486548;0,960172693861122;0,960172693861122;0,956171121056549;NA;NA;NA;NA;0,955751280772073;0,955871184848811;0,957204138614134;0,961754472814859;0,958768776265715;0,959008923222786;0,956853809758677
"GnegativePseAAC";0,52978642;0,57229116;0,585337699310326;0,59233681747611;0,566533372423979;0,554027234679666;0,554082509608659;0,55150354420955;NA;NA;NA;NA;0,571915532079571;0,568907269996229;0,570746084658784;0,584898786003281;0,582476723653161;0,57300502657651;0,565490674532309
"GpositiveGO";0,941575838;0,9518192041;0,944101757781003;0,943448163009762;0,94602483470408;0,945408947323487;0,945408947323487;0,94602483470408;0,94926814460666;0,95055019588871;0,951191221529734;0,955703064970546;0,947985619017806;0,947985619017806;0,94797352419439;0,946049972964513;0,946049972964513;0,948576368137967;0,94090825009249
"GpositivePseAAC";0,5742774;0,56862376;0,545793847292182;0,547716924215259;0,547704829391844;0,559345266892437;0,568319625866796;0,56698729806388;0,54487143914169;0,56004866387774;0,588821774476602;0,588821774476602;0,568085555460694;0,571290683665822;0,563114583036892;0,564383590881926;0,575281026779362;0,566790460741626;0,554848838422645
"scene";0,59807636;0,61157076;0,589533457727561;0,589615090380623;0,605118135439724;0,594029898238364;0,592286523064027;0,598981413908244;0,5987652415656;0,60109310728852;0,622984780498435;0,622984780498435;0,596488434533578;0,596488434533578;0,592701314003387;0,602000408130045;0,605889297018934;0,611839630256225;0,590909443083772
"VirusGO";0,8842777764;0,9203412698;0,92097619047619;0,925579365079365;0,932087301587301;0,897634920634921;0,900174603174603;0,897634920634921;0,92633333333333;0,92633333333333;0,938039682539683;0,938039682539683;0,91934126984127;0,919174603174603;0,907904761904762;0,928365079365079;0,928365079365079;0,914968253968254;0,926539682539683
"VirusPseAAC";0,2103968306;0,35822448;0,33418253968254;0,327833333333333;0,350968253968254;0,384563492063492;0,401865079365079;0,382539682539683;0,33631746031746;0,39329365079365;0,381420634920635;0,43031746031746;0,382420634920635;0,38468253968254;0,284126984126984;0,343557823129252;0,314676870748299;0,25531179138322;0,384007936507937
"Yelp";0,65299692;0,721606818;0,715007314622799;0,715007314622799;0,696861443426455;0,702196598940106;0,702811031106262;0,689591632008095;0,7163785312541;0,71905361128241;0,721606819899015;0,721606819899015;0,699778191917279;0,699778191917279;0,681089150244444;0,710044098195839;0,709444549184034;0,699877994360656;0,719014410754284
