"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";1,70821742;1,93769168;1,76672995023082;1,73436083954286;1,72925620185278;1,76672995023082;1,80916246404466;1,86014266328244;1,81422509327266;1,87019069844206;1,87046087330915;1,87046087330915;1,86878232513431;1,78440201953159;1,89997340968757;1,79648327078953;1,7854982069346;1,81050190562153;1,9003261862583
"flags";2,210738973;2,127400319;2,1422913343966;2,13456406166932;2,06101275917065;2,68192185007974;2,58367623604466;2,47015683147262;3,3;2,49658160552897;2,18499734183945;2,63029505582137;2,48537745879851;2,43561669324827;2,39811004784689;2,26315257841574;2,31081339712919;2,29232589048378;2,34080010632642
"GnegativeGO";0,229805694;0,1151031679;0,134454904161777;0,133005777748622;0,19526052916532;0,160302432825776;0,160302432825776;0,185935142463537;NA;NA;NA;NA;0,162072607364969;0,170705700890149;0,168630554522947;0,107220258241229;0,11008775148068;0,110732876717876;0,120885706834735
"GnegativePseAAC";1,64115;1,43410549;1,42545545326657;1,41736021517133;1,57251669788789;1,7509245572134;1,69904946154525;1,7818963269101;NA;NA;NA;NA;1,78623621062623;1,80816592521322;1,89950713795731;1,40664679603835;1,43606097897771;1,49769064586224;1,43667973017736
"GpositiveGO";0,136735537;0,0961260999;0,113660035857594;0,103856114288967;0,117506189703748;0,0983451435726686;0,0983451435726686;0,117506189703748;0,09616238367626;0,09423930675318;0,0980854605993341;0,07330743618202;0,113619482626142;0,115580266939867;0,119426420786021;0,109663052448846;0,109663052448846;0,105854605993341;0,117319075670907
"GpositivePseAAC";0,93227469;0,94053829;0,986882096815505;0,981112866046274;0,950379919747289;0,821351632089701;0,794428555166624;0,786698540083668;0,92949642846979;0,80027320071715;0,789809044082074;0,789809044082074;0,900590511966761;0,890975127351376;0,911729844332508;0,973382850963317;0,929152081732548;0,952736987392925;0,980222117874726
"scene";1,50616997;1,30376816;1,35103682842267;1,326138869239;1,17774647699612;1,31696478334025;1,32365934400971;1,31149556882787;1,32078687470365;1,32546115351487;1,25785784803749;1,25785784803749;1,20193452273015;1,20193452273015;1,30525502626909;1,41240105142625;1,40073438475959;1,34724266610144;1,413617779848
"VirusGO";0,393333329;0,1992857148;0,21;0,195714285714286;0,141666666666667;0,304761904761905;0,276190476190476;0,314285714285714;0,18071428571429;0,18071428571429;0,175714285714286;0,175714285714286;0,248095238095238;0,223095238095238;0,291666666666667;0,176190476190476;0,176190476190476;0,218809523809524;0,214285714285714
"VirusPseAAC";2,7452381038;2,34619047;2,50928571428571;2,51404761904762;2,49119047619048;2,07190476190476;2,04333333333333;2,22857142857143;2,26261904761905;1,87690476190476;2,10452380952381;1,23047619047619;1,93309523809524;2,06642857142857;2,40380952380952;0,2445;2,50119047619048;2,68571428571429;2,3052380952381
"Yelp";0,72486228;0,527120223;0,539649552288933;0,539649552288933;0,591422546601058;0,741684748928824;0,75202957651503;0,744795778804447;0,64711602962691;0,58533818331397;0,52712022386395;0,52712022386395;0,741667618115347;0,741667618115347;0,795633882042179;0,56910391404858;0,568453960473836;0,595940021707837;0,50604382768492
