"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,03333334;0;0;0;0,0166666666666667;0;0;0;0;0,01666666666667;0;0;0;0;0;0;0;0;0
"flags";0,071428564;0,099999978;0,1;0,1;0,1;0,114285714285714;0,114285714285714;0,114285714285714;0;0,07142857142857;0,0285714285714286;0,0428571428571429;0,1;0,114285714285714;0,1;0,0857142857142858;0,0714285714285715;0,114285714285714;0,0285714285714286
"GnegativeGO";0,1375;0,25;0,05;0,05;0,1125;0,25;0,25;0,05;NA;NA;NA;NA;0,25;0,25;0,0375;0,25;0,25;0,25;0,25
"GnegativePseAAC";0,675;0,225;0,2375;0,25;0,4875;0,2875;0,3125;0,5125;NA;NA;NA;NA;0,2625;0,3875;0,425;0,2625;0,3;0,5;0,1875
"GpositiveGO";0;0;0;0,25;0;0,25;0,25;0;0;0;0;0;0;0;0;0;0;0,25;0,25
"GpositivePseAAC";0,25;0,175;0,2;0,2;0,2;0,2;0,2;0,2;0,15;0,175;0,1;0,1;0,75;0,1;0,1;0,175;0,175;0,2;0,1
"scene";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"VirusGO";0,08333334;0,0333333367;0,0666666666666667;0,0666666666666667;0,0500000000000001;0,133333333333333;0,15;0,116666666666667;0,06666666666667;0,06666666666667;0,0500000000000001;0,0500000000000001;0,0833333333333335;0,1;0,15;0,0333333333333334;0,0333333333333334;0,0333333333333334;0,0333333333333334
"VirusPseAAC";0,5833333296;0,15000001;0,283333333333333;0,333333333333333;0,233333333333334;0,55;0,516666666666667;0,55;0,26666666666667;0,25;0,15;0,416666666666666;0,3;0,316666666666667;0,466666666666667;0,183333333333333;0,283333333333333;0,333333333333333;0,0500000000000001
"Yelp";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
