"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,2666109;0,30237042;0,27442893536304;0,268689454391996;0,267207031290928;0,27442893536304;0,282062482101776;0,290017542928821;0,27517070448839;0,28321109880547;0,283362530665619;0,283362530665619;0,284951745690251;0,273911140144128;0,294550845822728;0,280809243162466;0,278645361690878;0,28119638671018;0,28928911662977
"flags";0,229912784;0,223374266;0,224715886939571;0,224670432394116;0,212750354421407;0,282804891015417;0,272614832535885;0,25453442317916;0,36166666666667;0,26215740740741;0,22426936026936;0,262962032606769;0,256252480949849;0,253699317738791;0,252052587276272;0,234143363459153;0,240361687045897;0,242965266702109;0,245363769271664
"GnegativeGO";0,027892828;0,0144678361;0,0170979083959156;0,0168908903368934;0,0240542550279745;0,0195221573019001;0,0195221573019001;0,0222086194603925;NA;NA;NA;NA;0,0199544547794003;0,020759525008931;0,0204197224552582;0,0134267402983099;0,0138363821896601;0,0139250083505348;0,015068651259337
"GnegativePseAAC";0,22859374;0,19899052;0,198649275301619;0,197588239776298;0,218458702859683;0,243433726411065;0,235482883438027;0,245712842328058;NA;NA;NA;NA;0,247044005843234;0,251379040203934;0,26371692499814;0,194737473783216;0,19869999764168;0,207904471135303;0,198729897155272
"GpositiveGO";0,044610689;0,0320420316;0,0370791120028079;0,0341379355322197;0,0382009068746028;0,03246120170371;0,03246120170371;0,0382009068746028;0,03205412789209;0,03141310225106;0,0326951535331113;0,0244358120606733;0,0377097621825701;0,038363356953812;0,0396454082358633;0,0359070406101483;0,0359070406101483;0,0346375584583132;0,0387858457364562
"GpositivePseAAC";0,30946988;0,31287175;0,327512106681086;0,325589029758009;0,315344714325014;0,272982595311952;0,264008236337593;0,261431564643274;0,30854066469355;0,26595016695599;0,261978203230978;0,261978203230978;0,298745102782284;0,295539974577156;0,302458213570866;0,32381992468008;0,30907633493649;0,316617457336103;0,325779167496703
"scene";0,28699765;0,24961897;0,258831994215683;0,25443403503201;0,226843648343748;0,252731000435777;0,253703803783058;0,250577108633634;0,25061671518942;0,25219314174863;0,238642236603226;0,238642236603226;0,231778956031665;0,231778956031665;0,252149553414059;0,269745023514717;0,26742210684805;0,257972284784686;0,270101860270296
"VirusGO";0,064192458;0,036041667;0,0341646825396825;0,0316646825396825;0,024672619047619;0,0485813492063492;0,0452083333333334;0,0501289682539683;0,02897685185185;0,02897685185185;0,0332678571428571;0,0332678571428571;0,0447777777777777;0,04;0,0496964285714286;0,030297619047619;0,030297619047619;0,0387539682539682;0,0353373015873016
"VirusPseAAC";0,5220277852;0,43797025;0,46685119047619;0,469827380952381;0,457896825396825;0,389831349206349;0,380625;0,412680555555556;0,42424338624339;0,354;0,390366402116402;0,233321428571429;0,358724206349206;0,381128968253968;0,447390873015873;0,453103174603175;0,465144841269841;0,505517857142857;0,426962962962963
"Yelp";0,14240092;0,101163367;0,103748763316926;0,103748763316926;0,114615453973586;0,145888092034379;0,148365569511856;0,147178972746214;0,12512572620889;0,11256654962933;0,101163365124621;0,101163365124621;0,147496262113021;0,147496262113021;0,159341107763511;0,11039926586281;0,110337365522358;0,116320389972517;0,0968395699884607
