"";"global";"local";"hpml-jma";"hpml-jmi";"hpml-js";"hpml-kma";"hpml-kmi";"hpml-ks";"exhaustive-ma";"exhaustive-mi";"oracle-ma";"oracle-mi";"r1-ma";"r1-mi";"r1-s";"r2-ma";"r2-mi";"r2-s";"r3"
"emotions";0,23996248;0,195601;0,241174788858454;0,241222896297353;0,239789088223691;0,241174788858454;0,234553252733326;0,222972021247806;0,22700792456248;0,23104258053108;0,268558724442127;0,268558724442127;0,222763010638603;0,225083327559939;0,206068338493222;0,213550878264429;0,213343243455607;0,224283704548655;0,193724059638433
"flags";0,148500801;0,148118034;0,128955342902711;0,133500797448166;0,15282562466773;0,140438596491228;0,145701754385965;0,157955874534822;0,1;0,16877458798511;0,153381180223286;0,142036150983519;0,10725677830941;0,151967038809144;0,150956937799043;0,123955342902711;0,129218500797448;0,0817198298777246;0,116116427432217
"GnegativeGO";0,91871337;0,9216286351;0,923776703054982;0,923057278594551;0,926601490843799;0,92377149141882;0,92377149141882;0,923887589016932;NA;NA;NA;NA;0,920200062847392;0,921638911768255;0,926644123404417;0,924496127515414;0,921628634275963;0,920935737732003;0,918761286816545
"GnegativePseAAC";0,51441833;0,48637572;0,520798372446926;0,53518990683846;0,529294124983701;0,488729450077223;0,488030434821343;0,504453867503768;NA;NA;NA;NA;0,501025898632664;0,525258597579889;0,530962605801883;0,516006060399907;0,524531240256022;0,535262067954552;0,473024931625115
"GpositiveGO";0,936422492;0,9286910552;0,928691055522354;0,926730271208629;0,930614132445431;0,928691055522354;0,928691055522354;0,930614132445431;0,92480861720595;0,92480861720595;0,934424001821338;0,932574916759156;0,932574916759156;0,932574916759156;0,93253863228891;0,922921824753123;0,922921824753123;0,922884117362475;0,922884117362475
"GpositivePseAAC";0,5704061;0,47201328;0,501015965166909;0,506785195936139;0,510595065312046;0,506750334386294;0,518288795924756;0,529827257463217;0,47959959019892;0,52424514072683;0,53733671988389;0,53733671988389;0,517955121090526;0,519878198013603;0,510444235749452;0,499017473462534;0,504786704231765;0,506455789863115;0,468545633057287
"scene";0,56097684;0,47304048;0,484078192886767;0,485710845947991;0,49673240033326;0,514023685124479;0,515278915250002;0,533817530659626;0,49371696089364;0,50154145414845;0,512872225828719;0,512872225828719;0,492519699291742;0,492519699291742;0,503206999639098;0,50396037950878;0,509377046175447;0,511383391210018;0,47327749604322
"VirusGO";0,7916666692;0,8299999994;0,81047619047619;0,815238095238095;0,834761904761905;0,782142857142857;0,791666666666667;0,782142857142857;0,82047619047619;0,82047619047619;0,854523809523809;0,854523809523809;0,839761904761905;0,834761904761905;0,815238095238095;0,839523809523809;0,839523809523809;0,81547619047619;0,830238095238095
"VirusPseAAC";0,1542857136;0,19857142;0,218333333333333;0,223095238095238;0,232380952380952;0,27047619047619;0,28952380952381;0,27547619047619;0,19880952380952;0,25190476190476;0,207857142857143;0,304761904761905;0,212857142857143;0,213809523809524;0,175;0,208571428571428;0,202857142857143;0,160238095238095;0,159047619047619
"Yelp";0,38320625;0,453743901;0,445626371068325;0,445626371068325;0,429283158580653;0,429384704833309;0,433764947144586;0,422457994148002;0,44639067465734;0,45079409753008;0,453743899300712;0,453743899300712;0,433278329878826;0,433278329878826;0,417847876661003;0,442711232107652;0,441968428022229;0,431593477025624;0,453719364216229
