Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,48092063860051;0,51000000000000;;;0,94315326275648;0,52847334870087;0,57215402265295;0,90047619047619;0,30192460317460;0,65311420680628
Average-precision;0,70732858776987;0,71519246031746;;;0,96695362228104;0,70343220258592;0,71225282097400;0,95808333333333;0,53097619047619;0,88395282071516
clp;0,00000000000000;0,00000000000000;;;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000
coverage;2,40857848157109;4,55000000000000;;;0,10389239875921;0,93334258231595;1,37326336200166;0,39404761904762;2,41309523809524;1,37103868414754
F1;0,56833937913908;0,63601010101010;;;0,94926814460666;0,54487143914169;0,59876524156560;0,92633333333333;0,33631746031746;0,71637853125410
hamming-loss;0,24400332623090;0,32142857142857;;;0,02842336862176;0,24282474600871;0,15021883952707;0,03805555555556;0,25817460317460;0,16376576468659
Macro-AUC;0,70096133118189;0,56558441558442;;;0,94872194662087;0,63153001393241;0,76257512278242;0,90868993823836;0,60578074401483;0,77818087768414
Macro-F1;0,58395016972416;0,56898733295891;;;0,87637605061172;0,41129317645405;0,61714786451258;0,83653025537701;0,27439677886289;0,70058732572104
Macro-Precision;0,61285661442275;0,56450788142518;;;0,86275313839404;0,41111534249911;0,63456827649695;0,83461279461280;0,29736111111111;0,73504108823790
Macro-Recall;0,57996957131181;0,58095238095238;;;0,91934900883430;0,43690126050420;0,63237742311276;0,87546296296296;0,33148148148148;0,67727516534647
margin-loss ;1,81422509327266;3,30000000000000;;;0,09616238367626;0,92949642846979;1,32078687470365;0,18071428571429;2,26261904761905;0,64711602962691
micro-AUC ;0,71196329286237;0,67956592956593;;;0,96901730501920;0,70724081070032;0,75741878658340;0,95390834024929;0,61590457264428;0,81362400094854
Micro-F1;0,60313484129392;0,67153284671533;;;0,94463472130840;0,54446655022854;0,59660476553895;0,91278887313551;0,35770814489318;0,74851137669604
Micro-Precision;0,61075054826576;0,64788732394366;;;0,93017901753254;0,51920487895173;0,57458656059081;0,88100673691277;0,36059409941494;0,75321054194040
Micro-Recall;0,59668185387222;0,69696969696970;;;0,95993909900680;0,57356213893395;0,62086404842536;0,94946723646724;0,35740883190883;0,74393988663301
mlp;0,00000000000000;0,00000000000000;;;0,00000000000000;0,15000000000000;0,00000000000000;0,06666666666667;0,26666666666667;0,00000000000000
one-error ;0,40415543798995;0,30000000000000;;;0,05392441446825;0,47035558780842;0,40249162668215;0,05833333333333;0,63642857142857;0,19954838939690
precision ;0,60786363351483;0,64000000000000;;;0,94411480121802;0,53039642562395;0,59208116076245;0,91761904761905;0,36172619047619;0,75954882807459
ranking-loss ;0,27517070448839;0,36166666666667;;;0,03205412789209;0,30854066469355;0,25061671518942;0,02897685185185;0,42424338624339;0,12512572620889
recall ;0,59484178888004;0,65250000000000;;;0,96053636984547;0,57606505592077;0,63191877909116;0,96007936507937;0,34615079365079;0,72841047795441
subset-accuracy ;0,22700792456248;0,10000000000000;;;0,92480861720595;0,47959959019892;0,49371696089364;0,82047619047619;0,19880952380952;0,44639067465734
wlp ;0,00000000000000;0,14285714285714;;;0,02500000000000;0,22500000000000;0,00000000000000;0,06666666666667;0,38333333333333;0,00000000000000
