Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,47393808322934;0,60342373610795;;;0,94411480121802;0,55109778309001;0,57569461759267;0,90047619047619;0,35611111111111;0,65619549875126
Average-precision;0,70261685922621;0,78933293165574;;;0,96503054535796;0,72919891952911;0,71124800645732;0,95808333333333;0,59451455026455;0,89275338481993
clp;0,00000000000000;0,22857142857143;;;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000;0,00000000000000
coverage;2,45298611294001;4,02745348219033;;;0,10196932183614;0,80608013887703;1,37794957451334;0,39404761904762;2,03214285714286;1,31406769825679
F1;0,55536937232946;0,71684622086815;;;0,95055019588871;0,56004866387774;0,60109310728852;0,92633333333333;0,39329365079365;0,71905361128241
hamming-loss;0,24016385041220;0,26214893293841;;;0,02794259939099;0,22780777768292;0,14884269531458;0,03805555555556;0,23404761904762;0,16286070925561
Macro-AUC;0,69818923504826;0,60744625822357;;;0,94966639106532;0,63765677932717;0,76353154025930;0,90868993823836;0,60178449355476;0,77834592970382
Macro-F1;0,57729192063845;0,62036715820475;;;0,87709033632601;0,41235318292169;0,61565781632698;0,83653025537701;0,30347047189859;0,70059563896163
Macro-Precision;0,61752980405462;0,65383187405744;;;0,86275313839404;0,42087952017020;0,63176771742142;0,83461279461280;0,30870310245310;0,73103565779857
Macro-Recall;0,56966255429297;0,64258503401361;;;0,92073789772319;0,43865941248294;0,63422928922892;0,87546296296296;0,33680555555556;0,68002594701450
margin-loss;1,87019069844206;2,49658160552897;;;0,09423930675318;0,80027320071715;1,32546115351487;0,18071428571429;1,87690476190476;0,58533818331397
micro-AUC;0,71105367385325;0,73742711332440;;;0,97028121406613;0,70599075628389;0,75738702302184;0,95390834024929;0,62646841212940;0,81415089464624
Micro-F1;0,60226998182232;0,73839887621103;;;0,94560391480096;0,55877031691719;0,59888510612640;0,91278887313551;0,41050654107797;0,75049698120352
Micro-Precision;0,62033848063835;0,71805374510419;;;0,93028002763355;0,54568452451581;0,57882699095058;0,88100673691277;0,42049795692853;0,75345166641871
Micro-Recall;0,58759079048070;0,76179799263755;;;0,96182589145963;0,57359700048379;0,62086984975411;0,94946723646724;0,40435612535613;0,74761287391797
mlp;0,01666666666667;0,07142857142857;;;0,00000000000000;0,17500000000000;0,00000000000000;0,06666666666667;0,25000000000000;0,00000000000000
one-error;0,40436273713124;0,22515948963317;;;0,05969364523749;0,43932240530465;0,40209878244244;0,05833333333333;0,56357142857143;0,19395594201560
precision;0,59871484138502;0,70421012126275;;;0,94507633967956;0,55400125216995;0,59572232239262;0,91761904761905;0,42238095238095;0,76141961769045
ranking-loss;0,28321109880547;0,26215740740741;;;0,03141310225106;0,26595016695599;0,25219314174863;0,02897685185185;0,35400000000000;0,11256654962933
recall;0,57449755312893;0,74698593706488;;;0,96245944676855;0,57504695637326;0,63193379049577;0,96007936507937;0,40071428571429;0,73167333167555
subset-accuracy;0,23104258053108;0,16877458798511;;;0,92480861720595;0,52424514072683;0,50154145414845;0,82047619047619;0,25190476190476;0,45079409753008
wlp;0,01666666666667;0,08571428571429;;;0,02500000000000;0,22500000000000;0,00000000000000;0,06666666666667;0,41666666666667;0,00000000000000
