Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,473871120000;0,580601939000;0,938881836000;0,525944410000;0,940287501000;0,573309570000;0,588783820000;0,861150802600;0,195952378600;0,587657640000
Average-precision;0,710334490000;0,799450232000;0,962333449000;0,672744180000;0,961803420000;0,720692710000;0,700772650000;0,921773814000;0,427529774400;0,852033670000
clp;0,000000000000;0,242857142000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,050000003400;0,000000000000
coverage;2,308879520000;3,834845825000;0,275189637000;1,664202140000;0,144465551000;0,938081630000;1,561503270000;0,601428572300;2,822380953800;1,431637120000
F1;0,554542460000;0,694265801000;0,945604655000;0,529786420000;0,941575838000;0,574277400000;0,598076360000;0,884277776400;0,210396830600;0,652996920000
hamming-loss;0,233672940000;0,266569455000;0,015368828000;0,121394670000;0,029856248000;0,213825990000;0,140180020000;0,049285710800;0,291746032100;0,194510890000
Macro-AUC;0,693701690000;0,609928047000;0,000000000000;0,000000000000;0,945141852000;0,641527490000;0,750768010000;0,000000000000;0,000000000000;0,734658340000
Macro-F1;0,555268850000;0,612224396000;0,804868723000;0,170614960000;0,885883327000;0,410384600000;0,600614440000;0,787011528800;0,119672257100;0,637245080000
Macro-Precision;0,632216440000;0,659451118000;0,826339263000;0,183781070000;0,885066776000;0,419866650000;0,660200590000;0,831835011100;0,118392857000;0,709153380000
Macro-Recall;0,540649380000;0,635705781000;0,792432535000;0,194383430000;0,909249712000;0,420496830000;0,589898230000;0,782870377000;0,179166662100;0,593105710000
margin-loss ;1,708217420000;2,210738973000;0,229805694000;1,641150000000;0,136735537000;0,932274690000;1,506169970000;0,393333329000;2,745238103800;0,724862280000
micro-AUC ;0,712597570000;0,731446612000;0,958499220000;0,711318000000;0,959138614000;0,721690050000;0,743191980000;0,924523624900;0,561378285800;0,777886950000
Micro-F1;0,601227420000;0,727608513000;0,940178298000;0,525311510000;0,940509084000;0,574051430000;0,594477700000;0,880449728700;0,215303887900;0,691253720000
Micro-Precision;0,641322700000;0,719757129000;0,957978364000;0,537470470000;0,944152507000;0,576213030000;0,616459040000;0,882184932000;0,235641023600;0,720219660000
Micro-Recall;0,568555730000;0,739338701000;0,923092522000;0,513727160000;0,936934744000;0,571930770000;0,574054130000;0,879586895000;0,199061250500;0,664632800000
mlp;0,033333340000;0,071428564000;0,137500000000;0,675000000000;0,000000000000;0,250000000000;0,000000000000;0,083333340000;0,583333329600;0,000000000000
one-error ;0,397731240000;0,206765020000;0,042378273000;0,462529530000;0,055847493000;0,423786970000;0,383689880000;0,091904764000;0,768571426400;0,266780610000
precision ;0,618322540000;0,705204228000;0,958336013000;0,537470470000;0,944152507000;0,576213030000;0,616521090000;0,895952381600;0,233809523600;0,712031730000
ranking-loss ;0,266610900000;0,229912784000;0,027892828000;0,228593740000;0,044610689000;0,309469880000;0,286997650000;0,064192458000;0,522027785200;0,142400920000
recall ;0,561522930000;0,708396226000;0,939596121000;0,525944410000;0,940287501000;0,573309570000;0,588994800000;0,894246035000;0,203095228600;0,652286030000
subset-accuracy ;0,239962480000;0,148500801000;0,918713370000;0,514418330000;0,936422492000;0,570406100000;0,560976840000;0,791666669200;0,154285713600;0,383206250000
wlp ;0,033333340000;0,071428564000;0,137500000000;0,687500000000;0,250000000000;0,250000000000;0,000000000000;0,100000007000;0,700000006900;0,000000000000
