Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,48669362136358400;0,59403870788081300;0,94871689679664600;0,56886229415656900;0,94024908221634100;0,53459937676086400;0,56267611789111800;0,89392857142857200;0,30371825396825400;0,65154260494796300
Average-precision;0,70340365364292900;0,80406051798266700;0,96975906826042000;0,71033050043296300;0,96420341358604400;0,69519965944771700;0,70101086667197000;0,95348015873015900;0,50625992063492100;0,89697173293740700
clp;0,00000000000000000;0,20000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,01666666666666670;0,00000000000000000
coverage;2,36838882900952000;3,81765284423179000;0,17983884422350700;1,45277719870709000;0,12139005094055000;0,99268903497538400;1,40768096288266000;0,41833333333333300;2,64023809523809000;1,27051362590770000
F1;0,56871878573335800;0,70759381101207300;0,95696680264704100;0,58533769931032600;0,94410175778100300;0,54579384729218200;0,58953345772756100;0,92097619047619000;0,33418253968254000;0,71500731462279900
hamming-loss;0,23409171332615200;0,26533492822966500;0,01285053770560050;0,11550889734008100;0,02987545889182960;0,23605698084749100;0,15240472237282900;0,03805555555555560;0,26476190476190500;0,16435796981245900
Macro-AUC;0,71211817833444800;0,59908388763430800;0,00000000000000000;0,00000000000000000;0,93199023470533800;0,63325515296491900;0,76282785531736300;0,00000000000000000;0,00000000000000000;0,77568239923673100
Macro-F1;0,59311151486362800;0,59966695331357000;0,90344987634172100;0,31922402232756800;0,87063928655973900;0,39275783398929400;0,60813097511565400;0,83609374744049700;0,22889409724549000;0,69760030922304200
Macro-Precision;0,65742703487561400;0,63348771406489200;0,90619374914107300;0,35323287081590300;0,87791765224276300;0,39314158404667700;0,62800164737196500;0,83600168350168400;0,22908785658785700;0,73058696792144300
Macro-Recall;0,57976690091241200;0,62285829483308500;0,90575428382593000;0,32252899116466200;0,88478704302233700;0,41693708252531800;0,62624287594779000;0,85879629629629600;0,31828703703703700;0,67489517367710700
margin-loss ;1,76672995023082000;2,14229133439660000;0,13445490416177700;1,42545545326657000;0,11366003585759400;0,98688209681550500;1,35103682842267000;0,21000000000000000;2,50928571428571000;0,53964955228893300
micro-AUC ;0,72319354423027400;0,73468281256430100;0,97078469696445300;0,74969713028381500;0,96261961880614700;0,70849949194413700;0,75542569725094400;0,93916060336848700;0,61202279111056900;0,80937571983658900
Micro-F1;0,61106449558914100;0,73268410686054000;0,95084705249139800;0,57434371232901200;0,94092102796516200;0,54610596074346500;0,58880811396584800;0,91077555558148500;0,34028450005206700;0,74716415803535800
Micro-Precision;0,63223676664843400;0,71766622646093300;0,95135829020632500;0,55527533403896500;0,93566791021286000;0,53002100590368600;0,56950372938449400;0,88395997610513700;0,34110877434860600;0,75325302320100200
Micro-Recall;0,59401980468494200;0,75083277522643200;0,95055649279078600;0,59545763321861600;0,94647756054526300;0,56390193232590500;0,61045861959354000;0,94146723646723700;0,34267806267806300;0,74128815683309200
mlp;0,00000000000000000;0,10000000000000000;0,05000000000000000;0,23750000000000000;0,00000000000000000;0,20000000000000000;0,00000000000000000;0,06666666666666670;0,28333333333333300;0,00000000000000000
one-error ;0,40390301183161700;0,21232057416268000;0,04236799415584050;0,41744220429127800;0,05584891431173340;0,47013503514613400;0,41480865751308500;0,06333333333333330;0,63142857142857100;0,19532916712839400
precision ;0,61658745473379700;0,70321350725298100;0,96132467075984600;0,58108774378673300;0,94315255129628100;0,53750284584080400;0,58554159412783100;0,91583333333333300;0,35654761904761900;0,76024608278294400
ranking-loss ;0,27442893536304000;0,22471588693957100;0,01709790839591560;0,19864927530161900;0,03707911200280790;0,32751210668108600;0,25883199421568300;0,03416468253968250;0,46685119047619000;0,10374876331692600
recall ;0,58557699970237500;0,73847548796233000;0,96081122133701300;0,60685221225248800;0,94890363983038800;0,56527931927488000;0,62155237108057100;0,95214285714285700;0,34119047619047600;0,72580360755472400
subset-accuracy ;0,24117478885845400;0,12895534290271100;0,92377670305498200;0,52079837244692600;0,92869105552235400;0,50101596516690900;0,48407819288676700;0,81047619047619000;0,21833333333333300;0,44562637106832500
wlp ;0,00000000000000000;0,11428571428571400;0,05000000000000000;0,31250000000000000;0,25000000000000000;0,25000000000000000;0,00000000000000000;0,10000000000000000;0,45000000000000000;0,00000000000000000
