Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,49154173623907800;0,59543481177691700;0,94859784917759800;0,57775118304545800;0,93926869005947800;0,53748399214547900;0,56322033557819300;0,89869047619047600;0,30054365079365100;0,65154260494796300
Average-precision;0,70899422674605600;0,80245698262913200;0,96976078117580200;0,71429884888345400;0,96551060312852800;0,69808427483233300;0,70229998231822900;0,95681349206349200;0,50197420634920600;0,89697173293740700
clp;0,00000000000000000;0,21428571428571400;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,01666666666666670;0,00000000000000000
coverage;2,33758354001924000;3,81447102604997000;0,17838971781035100;1,44470841563831000;0,11158612937192300;0,98691980420615300;1,38400749349490000;0,39928571428571400;2,64023809523809000;1,27051362590770000
F1;0,57550354433429600;0,70845628187454300;0,95708756318147100;0,59233681747611000;0,94344816300976200;0,54771692421525900;0,58961509038062300;0,92557936507936500;0,32783333333333300;0,71500731462279900
hamming-loss;0,23580205165981000;0,26533492822966500;0,01293982341988620;0,11208627829246200;0,03036565497026100;0,23509544238595300;0,15240472237282900;0,03646825396825400;0,26396825396825400;0,16435796981245900
Macro-AUC;0,70988002006850200;0,59795293525335500;0,00000000000000000;0,00000000000000000;0,92782356803867100;0,63361229582206200;0,76247766330429400;0,00000000000000000;0,00000000000000000;0,77568239923673100
Macro-F1;0,59402009088708200;0,59869634497454000;0,90336958698177100;0,32037451028861500;0,85490346832392100;0,39346129719275700;0,60804242530045900;0,84773395908070800;0,21926446761586100;0,69760030922304200
Macro-Precision;0,64945321124723400;0,63295418326820400;0,90535407227837200;0,36616959908702400;0,85115177922689000;0,39410454700964000;0,62928677670491600;0,84100168350168400;0,22681119806119800;0,73058696792144300
Macro-Recall;0,58597935260474000;0,62178686626165600;0,90644872827037500;0,32236750461598000;0,87645370968900400;0,41693708252531800;0,62484223378365500;0,87962962962963000;0,31458333333333300;0,67489517367710700
margin-loss ;1,73436083954286000;2,13456406166932000;0,13300577774862200;1,41736021517133000;0,10385611428896700;0,98111286604627400;1,32613886923900000;0,19571428571428600;2,51404761904762000;0,53964955228893300
micro-AUC ;0,72144860355327800;0,73468281256430100;0,97102643078103100;0,75171832604300500;0,96358115726768600;0,70882207258929800;0,75516694264496600;0,94492983413771800;0,61194358318977700;0,80937571983658900
Micro-F1;0,61305363363155000;0,73268410686054000;0,95056443535008500;0,58251234985989900;0,94016997465869500;0,54713485553897200;0,58837565675665000;0,91547598590257100;0,33124784191054900;0,74716415803535800
Micro-Precision;0,62745376776532600;0,71766622646093300;0,95009799018606200;0,56933139580442000;0,93229100389477700;0,53200513288781300;0,56963085955902600;0,88312365591397800;0,33563019495698300;0,75325302320100200
Micro-Recall;0,60108105424619200;0,75083277522643200;0,95124614796320000;0,59746085302330700;0,94840063746834000;0,56390193232590500;0,60929430909070800;0,95300569800569800;0,33067806267806300;0,74128815683309200
mlp;0,00000000000000000;0,10000000000000000;0,05000000000000000;0,25000000000000000;0,25000000000000000;0,20000000000000000;0,00000000000000000;0,06666666666666670;0,33333333333333300;0,00000000000000000
one-error ;0,39384007309868800;0,21232057416268000;0,04236799415584050;0,40881786566694000;0,05584891431173340;0,46436580437690300;0,41480865751308500;0,06333333333333330;0,64095238095238100;0,19532916712839400
precision ;0,61689961786127300;0,70336502240449600;0,96120562314079800;0,59034700304599300;0,94119176698255500;0,54038746122541900;0,58673207031830800;0,91583333333333300;0,35178571428571400;0,76024608278294400
ranking-loss ;0,26868945439199600;0,22467043239411600;0,01689089033689340;0,19758823977629800;0,03413793553221970;0,32558902975800900;0,25443403503201000;0,03166468253968250;0,46982738095238100;0,10374876331692600
recall ;0,59858634886413500;0,74062916761601000;0,96153064579744500;0,60939189479217000;0,94988403198725100;0,56527931927488000;0,61971563638669300;0,96166666666666700;0,33166666666666700;0,72580360755472400
subset-accuracy ;0,24122289629735300;0,13350079744816600;0,92305727859455100;0,53518990683846000;0,92673027120862900;0,50678519593613900;0,48571084594799100;0,81523809523809500;0,22309523809523800;0,44562637106832500
wlp ;0,00000000000000000;0,11428571428571400;0,05000000000000000;0,32500000000000000;0,05000000000000000;0,25000000000000000;0,00000000000000000;0,08333333333333340;0,48333333333333300;0,00000000000000000
