Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,47906711809914500;0,58418281815650300;0,94750510432586000;0,55713185614966300;0,94217215913941800;0,53842738837189500;0,57745904802771800;0,90845238095238100;0,31978174603174600;0,63344967317183900
Average-precision;0,70604548819160500;0,81209378929225400;0,96970847530013800;0,70052272716973800;0,96452392640655700;0,70239305567413200;0,72199065505746500;0,96127777777777800;0,51566468253968200;0,88168203208168000
clp;0,00000000000000000;0,27142857142857200;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,31223568762965000;3,75641679957469000;0,24064446922705000;1,59700768260771000;0,12523620478670400;0,95618685790716800;1,23561010304633000;0,34523809523809500;2,62666666666667000;1,30980949011686000
F1;0,56029057412873200;0,70318673424454900;0,95447297548654800;0,56653337242397900;0,94602483470408000;0,54770482939184400;0,60511813543972400;0,93208730158730100;0,35096825396825400;0,69686144342645500
hamming-loss;0,23724307141160600;0,26453368269157700;0,01330293769037450;0,11558999153261000;0,02891392043029110;0,23415204615953800;0,14803021514828500;0,03321428571428570;0,25603174603174600;0,17420194044933300
Macro-AUC;0,70130581929710000;0,60008954747400100;0,00000000000000000;0,00000000000000000;0,93303190137200500;0,63358421167173600;0,77224891645023400;0,00000000000000000;0,00000000000000000;0,76710276914644200
Macro-F1;0,56664996484970000;0,57711464422982100;0,83622641168047800;0,23577766413138900;0,87257612599657900;0,39181597861559600;0,61930574482379200;0,87773395908070800;0,23895098480237800;0,68556310588498100
Macro-Precision;0,64883858861621500;0,66346263385737100;0,85455818676153200;0,25292364341458400;0,87916034230124300;0,39320245859677600;0,63090352588489900;0,85211279461279500;0,23590663965663900;0,72344305098411600
Macro-Recall;0,56638991321524800;0,58964285714285700;0,82523935667990600;0,25130546621400300;0,88687037635567000;0,41499263808087300;0,64232599043864900;0,92129629629629600;0,32291666666666600;0,65886545107700900
margin-loss ;1,72925620185278000;2,06101275917065000;0,19526052916532000;1,57251669788789000;0,11750618970374800;0,95037991974728900;1,17774647699612000;0,14166666666666700;2,49119047619048000;0,59142254660105800
micro-AUC ;0,71610839904616900;0,73565463049593900;0,96420062112299700;0,73543973605386300;0,96356301503256200;0,70977151622742100;0,76437889814920500;0,95432738491430100;0,61939820723785700;0,80073176449060700
Micro-F1;0,60470605410736900;0,72358039456436600;0,94853181491348200;0,55865316665171100;0,94282578986992300;0,54703395746667600;0,60218774367182000;0,92444244973726000;0,36267691462974500;0,73018738839401400
Micro-Precision;0,62839164661667800;0,73623264259143400;0,96131173043467800;0,55753872482759300;0,93759098713593700;0,53341681513942200;0,58055755720185400;0,88225546089061100;0,36689577813490900;0,74128042702383600
Micro-Recall;0,58588624905138700;0,71504637412753100;0,93615365087934100;0,56044984077712300;0,94836435299809300;0,56197885540282900;0,62587860930544900;0,97287606837606800;0,36112678062678000;0,71953676988506700
mlp;0,01666666666666670;0,10000000000000000;0,11250000000000000;0,48750000000000000;0,00000000000000000;0,20000000000000000;0,00000000000000000;0,05000000000000010;0,23333333333333400;0,00000000000000000
one-error ;0,41259605862064600;0,20676501860712400;0,03445870254151290;0,42442239116508200;0,05392583738865640;0,46247901192407300;0,39767662245417600;0,06333333333333330;0,61761904761904800;0,22367934481244500
precision ;0,61118657087599300;0,72617647021594400;0,96478989857759200;0,56877072269911200;0,94507562821935700;0,54133085745183400;0,60098737232152000;0,91583333333333300;0,37345238095238100;0,74469751801379700
ranking-loss ;0,26720703129092800;0,21275035442140700;0,02405425502797450;0,21845870285968300;0,03820090687460280;0,31534471432501400;0,22684364834374800;0,02467261904761900;0,45789682539682500;0,11461545397358600
recall ;0,57719680203778600;0,70451305663147800;0,95112392355619000;0,57381744249990100;0,95082671675346500;0,56335624235180300;0,63776817205347400;0,97309523809523800;0,35567460317460300;0,70459813479570000
subset-accuracy ;0,23978908822369100;0,15282562466773000;0,92660149084379900;0,52929412498370100;0,93061413244543100;0,51059506531204600;0,49673240033326000;0,83476190476190500;0,23238095238095200;0,42928315858065300
wlp ;0,01666666666666670;0,11428571428571400;0,11250000000000000;0,51250000000000000;0,25000000000000000;0,25000000000000000;0,00000000000000000;0,06666666666666680;0,41666666666666700;0,00000000000000000
