Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,48669362136358400;0,58275806308701100;0,95109025039340400;0,53742238428102500;0,94122947437320400;0,54619653376590100;0,57387191536729300;0,87019841269841300;0,35563492063492100;0,63829363509454800
Average-precision;0,70340365364292900;0,77388655034049800;0,96867528839860500;0,66597253458390200;0,96626907899105500;0,72244929660301500;0,70993627732587200;0,92987698412698400;0,57821626984127000;0,86150740359858100
clp;0,00000000000000000;0,25714285714285700;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,36838882900952000;4,08991493886231000;0,20568637288750600;1,77472249960923000;0,10607515865562500;0,82715857024958100;1,37110693932098000;0,51809523809523800;2,21214285714286000;1,44908798244208000
F1;0,56871878573335800;0,70150175580518500;0,96017269386112200;0,55402723467966600;0,94540894732348700;0,55934526689243700;0,59402989823836400;0,89763492063492100;0,38456349206349200;0,70219659894010600
hamming-loss;0,23409171332615200;0,26856952988532000;0,01240600883022050;0,12216118847576500;0,02938526281339820;0,23027690031019700;0,14827491415519200;0,04595238095238100;0,23206349206349200;0,17103885013919500
Macro-AUC;0,71211817833444800;0,59154973411275900;0,00000000000000000;0,00000000000000000;0,92846459367969700;0,63107866181428200;0,75903467634458900;0,00000000000000000;0,00000000000000000;0,77087685222323900
Macro-F1;0,59311151486362800;0,57869658740241000;0,93073935063003300;0,29154789320430900;0,85680165219246800;0,40243216140406900;0,60250231550416300;0,75986690582665800;0,20579916565273500;0,68400935704707300
Macro-Precision;0,65742703487561400;0,62685922056222800;0,93292706788706500;0,36043191291522200;0,85120271878440900;0,40197484818373000;0,63540448279862000;0,76468013468013500;0,19381324829854200;0,71335054178165600
Macro-Recall;0,57976690091241200;0,59841269841269800;0,93318483938148600;0,29664532452642200;0,87956726280255700;0,42945458952811900;0,61540152419174600;0,78472222222222200;0,27569444444444400;0,66738227842733800
margin-loss ;1,76672995023082000;2,68192185007974000;0,16030243282577600;1,75092455721340000;0,09834514357266860;0,82135163208970100;1,31696478334025000;0,30476190476190500;2,07190476190476000;0,74168474892882400
micro-AUC ;0,72319354423027400;0,73062722685360600;0,97469361529915300;0,74385694178092100;0,96420197284893900;0,70397888638979900;0,75012351892835500;0,93336747694045900;0,60892113503006700;0,80851014667644100
Micro-F1;0,61106449558914100;0,72554766931855300;0,95281866220321700;0,54822471530322600;0,94212664831348200;0,55926500667323900;0,59032445414093400;0,89131755256529300;0,39814615510444700;0,73751724227660100
Micro-Precision;0,63223676664843400;0,72286750132640600;0,94718615406136700;0,53161166603530400;0,93246189519774400;0,53988484298346100;0,58448526160876900;0,87132261346777500;0,41975287031808800;0,74167873770361100
Micro-Recall;0,59401980468494200;0,73236141397988400;0,95876667341476000;0,56668456518176500;0,95221050684424700;0,58110077122285800;0,59650644193581500;0,91422507122507100;0,38080626780626800;0,73348825689997400
mlp;0,00000000000000000;0,11428571428571400;0,25000000000000000;0,28750000000000000;0,25000000000000000;0,20000000000000000;0,00000000000000000;0,13333333333333300;0,55000000000000000;0,00000000000000000
one-error ;0,40390301183161700;0,26974747474747500;0,04237812586809990;0,45740551226698500;0,05588519878198010;0,44901320470132900;0,39700473359028000;0,09642857142857140;0,57523809523809500;0,23941782527785800
precision ;0,61658745473379700;0,70439395205184700;0,96191227362588100;0,54740631608188600;0,94219101283474200;0,54910000284584100;0,59774950672613300;0,89761904761904800;0,41523809523809500;0,74385470724123500
ranking-loss ;0,27442893536304000;0,28280489101541700;0,01952215730190010;0,24343372641106500;0,03246120170371000;0,27298259531195200;0,25273100043577700;0,04858134920634920;0,38983134920634900;0,14588809203437900
recall ;0,58557699970237500;0,71895041264778100;0,96758698613550900;0,57804128733487400;0,95280635476251500;0,58273926406556800;0,61054116919672800;0,92424603174603200;0,38444444444444400;0,71568528477152300
subset-accuracy ;0,24117478885845400;0,14043859649122800;0,92377149141882000;0,48872945007722300;0,92869105552235400;0,50675033438629400;0,51402368512447900;0,78214285714285700;0,27047619047619000;0,42938470483330900
wlp ;0,00000000000000000;0,12857142857142900;0,25000000000000000;0,35000000000000000;0,05000000000000000;0,25000000000000000;0,00000000000000000;0,15000000000000000;0,56666666666666700;0,00000000000000000
