Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,47738757723387400;0,58301634768740000;0,95109025039340400;0,53725996102813800;0,94122947437320400;0,55581191838128600;0,57289562526966400;0,87416666666666700;0,37388888888888900;0,63973973636823500
Average-precision;0,69991897596500600;0,77940555618845100;0,96867528839860500;0,66823178493438200;0,96626907899105500;0,72918006583378400;0,70846835542908000;0,93011507936507900;0,58861309523809500;0,85933539397566500
clp;0,00000000000000000;0,24285714285714300;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,40169646242643000;4,09547049441786000;0,20568637288750600;1,72498526811783000;0,10607515865562500;0,80023549332650400;1,37696467990676000;0,48952380952380900;2,18833333333333000;1,45452604890734000
F1;0,55981037056221300;0,70083972615192700;0,96017269386112200;0,55408250960865900;0,94540894732348700;0,56831962586679600;0,59228652306402700;0,90017460317460300;0,40186507936507900;0,70281103110626200
hamming-loss;0,23987185458001600;0,26723285486443400;0,01240600883022050;0,12207891386991700;0,02938526281339820;0,22546920800250400;0,14869332419703300;0,04436507936507940;0,22412698412698400;0,17047967026967100
Macro-AUC;0,70271133706750500;0,59377762526922200;0,00000000000000000;0,00000000000000000;0,92846459367969700;0,63520836611535700;0,75736023054749600;0,00000000000000000;0,00000000000000000;0,77360480137851300
Macro-F1;0,56951888765380400;0,58013600527482200;0,93073935063003300;0,28116149651458900;0,85680165219246800;0,40837936523534200;0,60068316419445900;0,75954526839975700;0,23634344021874900;0,68227212274805600
Macro-Precision;0,62347626654618800;0,63129979982423600;0,93292706788706500;0,34256320272300900;0,85120271878440900;0,40829925294563500;0,63639317930935900;0,75468013468013500;0,22528383653383600;0,70859544175305200
Macro-Recall;0,57034381427634800;0,60199546485260800;0,93318483938148600;0,28626841062054500;0,87956726280255700;0,43398890325360900;0,61130589606511100;0,79027777777777800;0,30347222222222200;0,67100099589467100
margin-loss ;1,80916246404466000;2,58367623604466000;0,16030243282577600;1,69904946154525000;0,09834514357266860;0,79442855516662400;1,32365934400971000;0,27619047619047600;2,04333333333333000;0,75202957651503000
micro-AUC ;0,71564944103574400;0,73199693236506600;0,97469361529915300;0,74330928771139100;0,96420197284893900;0,71103016844108100;0,74855627995686100;0,93771363078661300;0,61817551431415000;0,81041754834313800
Micro-F1;0,60339806410333600;0,72763746358226000;0,95281866220321700;0,54891503341928700;0,94212664831348200;0,56768251509074800;0,58793436933989000;0,89544860669634700;0,41465077582065800;0,73851186748005300
Micro-Precision;0,62159845415989100;0,72398541020141900;0,94718615406136700;0,53269752909046400;0,93246189519774400;0,54887499076671200;0,58356629753191000;0,87214678929195100;0,44112732919254700;0,74229362706873800
Micro-Recall;0,58947391138904900;0,73543833705680700;0,95876667341476000;0,56726162359133500;0,95221050684424700;0,58879307891516500;0,59264543807481100;0,92191737891737900;0,39234472934472900;0,73484495559980500
mlp;0,00000000000000000;0,11428571428571400;0,25000000000000000;0,31250000000000000;0,25000000000000000;0,20000000000000000;0,00000000000000000;0,15000000000000000;0,51666666666666700;0,00000000000000000
one-error ;0,41134068369042500;0,25922115895800100;0,04237812586809990;0,45672690621565600;0,05588519878198010;0,44132089700902100;0,39993360388316700;0,10119047619047600;0,56095238095238100;0,24212052798056100
precision ;0,60438241620754500;0,70481792866003400;0,96191227362588100;0,54831792721850900;0,94219101283474200;0,55871538746122500;0,59691268664245100;0,89761904761904800;0,43428571428571400;0,74388266623471100
ranking-loss ;0,28206248210177600;0,27261483253588500;0,01952215730190010;0,23548288343802700;0,03246120170371000;0,26400823633759300;0,25370380378305800;0,04520833333333340;0,38062500000000000;0,14836556951185600
recall ;0,58360584325551600;0,71764436976279100;0,96758698613550900;0,57757442678076400;0,95280635476251500;0,59043157175787600;0,60719388886200000;0,92821428571428600;0,39793650793650800;0,71662035777556200
subset-accuracy ;0,23455325273332600;0,14570175438596500;0,92377149141882000;0,48803043482134300;0,92869105552235400;0,51828879592475600;0,51527891525000200;0,79166666666666700;0,28952380952381000;0,43376494714458600
wlp ;0,01666666666666670;0,12857142857142900;0,25000000000000000;0,36250000000000000;0,05000000000000000;0,25000000000000000;0,00000000000000000;0,16666666666666700;0,53333333333333300;0,00000000000000000
