Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,47672141602866500;0,59832765626186700;0,94805856834289400;0,53943707647863500;0,94217215913941800;0,55769728791371400;0,58263784574573600;0,87019841269841300;0,35515873015873000;0,62640643278891400
Average-precision;0,70049064909293700;0,78381419826924200;0,96709095436537400;0,66774857150512500;0,96452392640655700;0,73175045296299500;0,71046953010952800;0,92932142857142900;0,56305753968254000;0,85636671818751200
clp;0,00000000000000000;0,25714285714285700;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,48385123401020000;3,97905635300372000;0,23203336823955200;1,80568413759367000;0,12523620478670400;0,79250547824354700;1,36686204957244000;0,52761904761904800;2,37857142857143000;1,44247125733832000
F1;0,56234592921621100;0,71514030406654000;0,95617112105654900;0,55150354420955000;0,94602483470408000;0,56698729806388000;0,59898141390824400;0,89763492063492100;0,38253968253968300;0,68959163200809500
hamming-loss;0,23739388552370900;0,25717209690893900;0,01319369732177780;0,11958212558625800;0,02891392043029110;0,22402690031019700;0,14348876965600900;0,04595238095238100;0,22952380952380900;0,17630027908101100
Macro-AUC;0,70291260393398400;0,60702393544830500;0,00000000000000000;0,00000000000000000;0,93303190137200500;0,63494086971957000;0,75731240778781500;0,00000000000000000;0,00000000000000000;0,76364638767025600
Macro-F1;0,57213209031082800;0,59753263154413100;0,90507899846053500;0,24265845450057400;0,87257612599657900;0,40189560933483300;0,60522591909835200;0,76620218847773000;0,19808180291023400;0,67238995236456800
Macro-Precision;0,62598474071774900;0,63811601355055600;0,90950298510018200;0,27703883224012600;0,87916034230124300;0,40628022716434000;0,64695511719041800;0,77449494949494900;0,19123610322139700;0,71355967263767800
Macro-Recall;0,56728049095631600;0,62412698412698400;0,90514483314788200;0,26796869120039900;0,88687037635567000;0,42311588738059300;0,60923489991301200;0,79305555555555600;0,24953703703703700;0,65075820124353200
margin-loss ;1,86014266328244000;2,47015683147262000;0,18593514246353700;1,78189632691010000;0,11750618970374800;0,78669854008366800;1,31149556882787000;0,31428571428571400;2,22857142857143000;0,74479577880444700
micro-AUC ;0,71802816965112500;0,74224722197617100;0,97154202318885600;0,73420729175026100;0,96356301503256200;0,71326325581211400;0,74886184406727500;0,93287242743550900;0,61136571498774700;0,80279038817418400
Micro-F1;0,60660986692565400;0,73845257914097500;0,94966549136184600;0,54700706656015700;0,94282578986992300;0,56593783638094400;0,59583201370027000;0,89131755256529300;0,39602093257901400;0,72739933555796400
Micro-Precision;0,62889096630093600;0,73079427288655900;0,94759454625434200;0,54186768148104400;0,93759098713593700;0,55207312370952400;0,60087538369707900;0,87132261346777500;0,42452004517221900;0,73717039138880100
Micro-Recall;0,58858060744528600;0,74945730212987700;0,95188875928264500;0,55352015912647500;0,94836435299809300;0,58110077122285800;0,59108774152752100;0,91422507122507100;0,37203418803418800;0,71801827205319300
mlp;0,00000000000000000;0,11428571428571400;0,05000000000000000;0,51250000000000000;0,00000000000000000;0,20000000000000000;0,00000000000000000;0,11666666666666700;0,55000000000000000;0,00000000000000000
one-error ;0,38506624636352700;0,29694045720361500;0,04234653209549890;0,45533944475625200;0,05392583738865640;0,43747474316286800;0,39218145536032300;0,09642857142857140;0,57000000000000000;0,25392870146492800
precision ;0,61641633409255800;0,71984427609427600;0,95931795596957100;0,55025523451552900;0,94507562821935700;0,56060075699365400;0,60887151064856700;0,89761904761904800;0,42285714285714300;0,73478965532281500
ranking-loss ;0,29001754292882100;0,25453442317916000;0,02220861946039250;0,24571284232805800;0,03820090687460280;0,26143156464327400;0,25057710863363400;0,05012896825396830;0,41268055555555600;0,14717897274621400
recall ;0,58253301890188200;0,73310214298372200;0,96120656666156400;0,56539045966873900;0,95082671675346500;0,58266384928427100;0,60536573886686700;0,92424603174603200;0,37206349206349200;0,69916794969253900
subset-accuracy ;0,22297202124780600;0,15795587453482200;0,92388758901693200;0,50445386750376800;0,93061413244543100;0,52982725746321700;0,53381753065962600;0,78214285714285700;0,27547619047619000;0,42245799414800200
wlp ;0,01666666666666670;0,11428571428571400;0,05000000000000000;0,51250000000000000;0,25000000000000000;0,25000000000000000;0,00000000000000000;0,13333333333333300;0,58333333333333300;0,00000000000000000
