Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,455875300000;0,571618218000;0,949665092900;0,550170550000;0,946037165600;0,543910260000;0,576060250000;0,898134923200;0,316964280000;0,658684315000
Average-precision;0,689165320000;0,798401961000;0,970795488400;0,696757520000;0,968894839500;0,705313360000;0,717157500000;0,949658734600;0,518399460000;0,900725793000
clp;0,000000000000;0,200000008000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000;0,000000000000
coverage;2,531892480000;3,792570446000;0,160487106800;1,455702600000;0,103856114900;0,946307530000;1,361222980000;0,402857143100;2,481904770000;1,264163090000
F1;0,544467150000;0,689417481000;0,959129344600;0,572291160000;0,951819204100;0,568623760000;0,611570760000;0,920341269800;0,358224480000;0,721606818000
hamming-loss;0,257027440000;0,269639246000;0,012761875900;0,122320970000;0,026981416700;0,238943730000;0,149388200000;0,037182540600;0,259206360000;0,161922088000
Macro-AUC;0,688394840000;0,597086514000;0,000000000000;0,000000000000;0,945825705500;0,636916370000;0,777379440000;0,000000000000;0,000000000000;0,779673203000
Macro-F1;0,563287620000;0,584199695000;0,926965724800;0,306181040000;0,884739315600;0,414601470000;0,629907070000;0,878578469200;0,274056030000;0,701574763000
Macro-Precision;0,592739530000;0,653823356000;0,925160587300;0,330571940000;0,875991726100;0,392754290000;0,621464790000;0,851696129800;0,283825760000;0,729989281000
Macro-Recall;0,557948070000;0,588954242000;0,934356236700;0,314986060000;0,910321231000;0,462545610000;0,667608900000;0,930324071300;0,369212980000;0,682295172000
margin-loss ;1,937691680000;2,127400319000;0,115103167900;1,434105490000;0,096126099900;0,940538290000;1,303768160000;0,199285714800;2,346190470000;0,527120223000
micro-AUC ;0,695161170000;0,729743055000;0,974838291200;0,749732640000;0,971876138500;0,713804670000;0,772190940000;0,949832338100;0,636453560000;0,815340142000
Micro-F1;0,577492740000;0,717949668000;0,951631376600;0,560510330000;0,947302075700;0,564811830000;0,611301570000;0,915194030400;0,384911390000;0,752087861000
Micro-Precision;0,590733630000;0,729075779000;0,944098862600;0,529055210000;0,933409835500;0,522374950000;0,572386390000;0,872096308200;0,369757040000;0,754601697000
Micro-Recall;0,566664120000;0,708355264000;0,959489136500;0,596189560000;0,961789606000;0,615613000000;0,656053090000;0,964876069000;0,407001420000;0,749646739000
mlp;0,000000000000;0,099999978000;0,250000000000;0,225000000000;0,000000000000;0,175000000000;0,000000000000;0,033333336700;0,150000010000;0,000000000000
one-error ;0,406383560000;0,245927703000;0,043077140400;0,436748680000;0,050041977900;0,456714050000;0,394341070000;0,077619048800;0,627619050000;0,186567488000
precision ;0,593027270000;0,712082508000;0,959876080900;0,558572440000;0,946998704600;0,546794870000;0,594259880000;0,903134923200;0,367003970000;0,764256351000
ranking-loss ;0,302370420000;0,223374266000;0,014467836100;0,198990520000;0,032042031600;0,312871750000;0,249618970000;0,036041667000;0,437970250000;0,101163367000
recall ;0,563065840000;0,689077472000;0,967965065700;0,609877450000;0,962421738000;0,617409770000;0,665587810000;0,961190475000;0,393690480000;0,734233839000
subset-accuracy ;0,195601000000;0,148118034000;0,921628635100;0,486375720000;0,928691055200;0,472013280000;0,473040480000;0,829999999400;0,198571420000;0,453743901000
wlp ;0,000000000000;0,114285688000;0,250000000000;0,312500000000;0,250000000000;0,250000000000;0,000000000000;0,050000003700;0,349999990000;0,000000000000
