Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,51785880609239800;0,60615430622009600;;;0,94699941660263500;0,57595051082842400;0,59523566596541900;0,91753968253968300;0,33785714285714300;0,65868432408112800
Average-precision;0,72339374199555800;0,81070675541969400;;;0,96791516074257500;0,74514760427635000;0,72906449853542600;0,94925396825396800;0,55457936507936500;0,90072578536629600
clp;0,00000000000000000;0,28571428571428600;;;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,50214169025598000;3,82485645933014000;;;0,10581547568229000;0,79557827485130500;1,31569351567971000;0,39380952380952400;2,28833333333333000;1,26416307429285000
F1;0,60089626922162100;0,72295104245981400;;;0,95119122152973400;0,58882177447660200;0,62298478049843500;0,93803968253968300;0,38142063492063500;0,72160681989901500
hamming-loss;0,22451604017430400;0,26034100402521400;;;0,02650029169868240;0,21588103673980500;0,14028951976745400;0,03071428571428570;0,24468253968254000;0,16192209317154600
Macro-AUC;0,71921567102458600;0,61716630008646800;;;0,95509858060780100;0,66116167289252000;0,77964705254222300;0,00000000000000000;0,00000000000000000;0,77967320597590700
Macro-F1;0,60946624844853400;0,65340294436155300;;;0,89944749868316900;0,46991587170097500;0,63949287143860100;0,89106729241404200;0,35599101907151400;0,70157476564553800
Macro-Precision;0,65667354930976300;0,69270749926765000;;;0,88314134850264400;0,48827740891419300;0,64987998776574500;0,86322390572390600;0,37178210678210700;0,72998927721396500
Macro-Recall;0,60357945701147500;0,67571428571428600;;;0,92960227680815900;0,48541038210155900;0,65982890968027000;0,93796296296296300;0,40601851851851800;0,68229517394550700
margin-loss;1,87046087330915000;2,18499734183945000;;;0,09808546059933410;0,78980904408207400;1,25785784803749000;0,17571428571428600;2,10452380952381000;0,52712022386395000
micro-AUC;0,73414120523302500;0,74031226350036600;;;0,96964225624974900;0,72283374042385400;0,77507786256573300;0,95895733540935000;0,63459001077311700;0,81534013306142300
Micro-F1;0,63428670291550700;0,74256399397480900;;;0,94797045431775300;0,58810727293930900;0,62370414870467600;0,93095286442945300;0,40771031989331200;0,75208787190392200
Micro-Precision;0,64466686679764700;0,71437037460761800;;;0,93831295538842700;0,56814925147413000;0,60004088893256400;0,88758145344644200;0,40307048916358200;0,75460169365458200
Micro-Recall;0,62644683391243000;0,77481047041681400;;;0,95797973761347800;0,60995546259142300;0,64949110285098000;0,98104273504273500;0,41774216524216500;0,74964674086277900
mlp;0,00000000000000000;0,02857142857142860;;;0,00000000000000000;0,10000000000000000;0,00000000000000000;0,05000000000000010;0,15000000000000000;0,00000000000000000
one-error;0,35523793205008000;0,20676501860712400;;;0,05200133754517770;0,41251102763311400;0,37242889686836200;0,08214285714285710;0,59428571428571400;0,18656747940770300
precision;0,64465286727850100;0,69743452064504700;;;0,94796095506417400;0,57883512621304000;0,61500389623020900;0,92003968253968200;0,41035714285714300;0,76425634913525700
ranking-loss;0,28336253066561900;0,22426936026936000;;;0,03269515353311130;0,26197820323097800;0,23864223660322600;0,03326785714285710;0,39036640211640200;0,10116336512462100
recall;0,62237338121525000;0,76866355915040100;;;0,95861329292239400;0,61167968638834300;0,65783210086131800;0,97797619047619000;0,39781746031746000;0,73423384139304600
subset-accuracy;0,26855872444212700;0,15338118022328600;;;0,93442400182133800;0,53733671988389000;0,51287222582871900;0,85452380952380900;0,20785714285714300;0,45374389930071200
wlp;0,00000000000000000;0,02857142857142860;;;0,02500000000000000;0,17500000000000000;0,00000000000000000;0,05000000000000010;0,26666666666666700;0,00000000000000000
