Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,51785880609239800;0,60682437153489800;;;0,94992102791769800;0,57595051082842400;0,59523566596541900;0,91753968253968300;0,39710317460317500;0,65868432408112800
Average-precision;0,72339374199555800;0,79701743753322700;;;0,97252174696680800;0,74514760427635000;0,72906449853542600;0,94925396825396800;0,66393650793650800;0,90072578536629600
clp;0,00000000000000000;0,28571428571428600;;;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,50214169025598000;4,21649388623073000;;;0,08103745126497620;0,79557827485130500;1,31569351567971000;0,39380952380952400;1,39023809523810000;1,26416307429285000
F1;0,60089626922162100;0,72358851310246800;;;0,95570306497054600;0,58882177447660200;0,62298478049843500;0,93803968253968300;0,43031746031746000;0,72160681989901500
hamming-loss;0,22451604017430400;0,24989139515455300;;;0,02503948604115080;0,21588103673980500;0,14028951976745400;0,03071428571428570;0,22043650793650800;0,16192209317154600
Macro-AUC;0,71921567102458600;0,62011133707562300;;;0,93957570479080800;0,66116167289252000;0,77964705254222300;0,00000000000000000;0,00000000000000000;0,77967320597590700
Macro-F1;0,60946624844853400;0,64270917513505500;;;0,88426527100094100;0,46991587170097500;0,63949287143860100;0,89106729241404200;0,28226215822635200;0,70157476564553800
Macro-Precision;0,65667354930976300;0,71549558419859200;;;0,85822724031550900;0,48827740891419300;0,64987998776574500;0,86322390572390600;0,27892130473012800;0,72998927721396500
Macro-Recall;0,60357945701147500;0,64730158730158700;;;0,93532123105652500;0,48541038210155900;0,65982890968027000;0,93796296296296300;0,31689814814814800;0,68229517394550700
margin-loss;1,87046087330915000;2,63029505582137000;;;0,07330743618202000;0,78980904408207400;1,25785784803749000;0,17571428571428600;1,23047619047619000;0,52712022386395000
micro-AUC;0,73414120523302500;0,74964670074177100;;;0,97091459984458500;0,72283374042385400;0,77507786256573300;0,95895733540935000;0,60495623596629500;0,81534013306142300
Micro-F1;0,63428670291550700;0,74613872964093800;;;0,95105802787261700;0,58810727293930900;0,62370414870467600;0,93095286442945300;0,43850850669087800;0,75208787190392200
Micro-Precision;0,64466686679764700;0,73679567049420300;;;0,93707986981571900;0,56814925147413000;0,60004088893256400;0,88758145344644200;0,45786097866602800;0,75460169365458200
Micro-Recall;0,62644683391243000;0,75680603807469500;;;0,96563576083553900;0,60995546259142300;0,64949110285098000;0,98104273504273500;0,42473931623931600;0,74964674086277900
mlp;0,00000000000000000;0,04285714285714290;;;0,00000000000000000;0,10000000000000000;0,00000000000000000;0,05000000000000010;0,41666666666666600;0,00000000000000000
one-error;0,35523793205008000;0,20676501860712400;;;0,04819431401007430;0,41251102763311400;0,37242889686836200;0,08214285714285710;0,53023809523809500;0,18656747940770300
precision;0,64465286727850100;0,72543905850484800;;;0,95088256637923700;0,57883512621304000;0,61500389623020900;0,92003968253968200;0,46654761904761900;0,76425634913525700
ranking-loss;0,28336253066561900;0,26296203260676900;;;0,02443581206067330;0,26197820323097800;0,23864223660322600;0,03326785714285710;0,23332142857142900;0,10116336512462100
recall;0,62237338121525000;0,74481700463279400;;;0,96630560061470200;0,61167968638834300;0,65783210086131800;0,97797619047619000;0,42658730158730200;0,73423384139304600
subset-accuracy;0,26855872444212700;0,14203615098351900;;;0,93257491675915600;0,53733671988389000;0,51287222582871900;0,85452380952380900;0,30476190476190500;0,45374389930071200
wlp;0,00000000000000000;0,04285714285714290;;;0,02500000000000000;0,17500000000000000;0,00000000000000000;0,05000000000000010;0,48333333333333300;0,00000000000000000
