Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,4725492215265100000;0,5920165059112430000;0,9472533786547260000;0,5579053879490130000;0,9441329434531430000;0,5584375622527680000;0,5702740579066210000;0,8997222222222220000;0,3397222222222220000;0,6370320109677170000
Average-precision;0,7042947589390660000;0,7817083520037470000;0,9674075043771610000;0,6767093716545070000;0,9632452545604600000;0,7231061522335110000;0,7147254420993840000;0,9424682539682540000;0,5714007936507940000;0,8554336521692860000
clp;0,0000000000000000000;0,2000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000;0,0000000000000000000
coverage;2,3851784746240400000;4,0266507177033500000;0,2160896409518790000;1,8326141315923900000;0,1233102820228240000;0,8948212811975290000;1,2560728081616800000;0,4314285714285720000;2,2119047619047600000;1,4434406745181400000
F1;0,5559659065686440000;0,7064123790587110000;0,9558711848488110000;0,5689072699962290000;0,9479856190178060000;0,5712906836658220000;0,5964884345335780000;0,9191746031746030000;0,3846825396825400000;0,6997781919172790000
hamming-loss;0,2429282778663680000;0,2560997189944560000;0,0133954168984974000;0,1151102674091730000;0,0279335282734284000;0,2265605879507100000;0,1501848615728290000;0,0355952380952381000;0,2476984126984130000;0,1716453046068820000
Macro-AUC;0,7000842553139190000;0,6095856168807850000;0,0000000000000000000;0,0000000000000000000;0,9416323287224320000;0,6406367122724150000;0,7638619979659860000;0,0000000000000000000;0,0000000000000000000;0,7735193841069520000
Macro-F1;0,5743565818927360000;0,6039753744945920000;0,9171931918637350000;0,2854206540561570000;0,8800614646661280000;0,4430492451343430000;0,6113099142264300000;0,8323106786574280000;0,2827269156994110000;0,6837565541564350000
Macro-Precision;0,6315459448009490000;0,6324197382302200000;0,9098403679624350000;0,3229493060073840000;0,8765939905243650000;0,4643930300035780000;0,6314316453667910000;0,8260016835016830000;0,2792443547164910000;0,7180175648385800000
Macro-Recall;0,5633998633566490000;0,6231746031746030000;0,9309946684413150000;0,3057080072705070000;0,9012934532787470000;0,4499681282769520000;0,6301701181390740000;0,8608796296296290000;0,3460648148148150000;0,6657468739346230000
margin-loss ;1,7844020195315900000;2,4356166932482700000;0,1707057008901490000;1,8081659252132200000;0,1155802669398670000;0,8909751273513760000;1,2019345227301500000;0,2230952380952380000;2,0664285714285700000;0,7416676181153470000
micro-AUC ;0,7125330395451700000;0,7436214957791550000;0,9720936440876010000;0,7314917601654030000;0,9674336778370990000;0,7120327509892680000;0,7591453744928470000;0,9544317205443070000;0,6168256575103740000;0,8111078918498960000
Micro-F1;0,5968568654298050000;0,7384975816909800000;0,9491274330297630000;0,5624611262574370000;0,9449304962144090000;0,5686532276938360000;0,5969900582810030000;0,9173231364587000000;0,4029480677393370000;0,7358862687371910000
Micro-Precision;0,6168281410866230000;0,7320082009097550000;0,9438743380359720000;0,5594905649858600000;0,9379512231510010000;0,5467036530167990000;0,5749036326964880000;0,8876137004757690000;0,3959074376138750000;0,7420786771359700000
Micro-Recall;0,5811121813759430000;0,7468526255046780000;0,9546756576981290000;0,5659760796146520000;0,9522467913144940000;0,5929366231253020000;0,6212575272348140000;0,9502393162393160000;0,4176752136752140000;0,7298763623424230000
mlp;0,0000000000000000000;0,1142857142857140000;0,2500000000000000000;0,3875000000000000000;0,0000000000000000000;0,1000000000000000000;0,0000000000000000000;0,1000000000000000000;0,3166666666666670000;0,0000000000000000000
one-error ;0,3996136086617180000;0,2791307814992030000;0,0438494756373220000;0,4216129467246870000;0,0577719912348103000;0,4300784029141410000;0,4127582955234720000;0,0921428571428571000;0,5828571428571430000;0,2539502723114370000
precision ;0,6014904910123100000;0,7115475494291280000;0,9570948529929850000;0,5696515877470260000;0,9460748740715440000;0,5603606391758440000;0,5886014548158270000;0,9079365079365080000;0,4042857142857140000;0,7426815525680320000
ranking-loss ;0,2739111401441280000;0,2536993177387910000;0,0207595250089310000;0,2513790402039340000;0,0383633569538120000;0,2955399745771560000;0,2317789560316650000;0,0400000000000000000;0,3811289682539680000;0,1474962621130210000
recall ;0,5761011763444800000;0,7203235740867320000;0,9632644664410320000;0,5790457866735990000;0,9537490395287290000;0,5950738495688550000;0,6305276230514370000;0,9482142857142860000;0,4126587301587300000;0,7118036605575880000
subset-accuracy ;0,2250833275599390000;0,1519670388091440000;0,9216389117682550000;0,5252585975798890000;0,9325749167591560000;0,5198781980136030000;0,4925196992917420000;0,8347619047619050000;0,2138095238095240000;0,4332783298788260000
wlp ;0,0000000000000000000;0,1285714285714290000;0,2500000000000000000;0,4250000000000000000;0,2500000000000000000;0,2250000000000000000;0,0000000000000000000;0,1000000000000000000;0,4166666666666670000;0,0000000000000000000
