Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,465220517845324000;0,561582346016556000;0,952410124585235000;0,567366499910507000;0,940267935911665000;0,548042061527078000;0,577071932215458000;0,905992063492064000;0,309246031746032000;0,647099299508258000
Average-precision;0,697554289906353000;0,790083112558332000;0,972586377098929000;0,707808060614759000;0,965039260745420000;0,701763887703122000;0,706791238963841000;0,956444444444444000;0,510929232804233000;0,891003886012746000
clp;0,000000000000000000;0,228571428571429000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000
coverage;2,406213641487240000;3,860885167464120000;0,152604198302958000;1,431159097038480000;0,117393067531802000;0,979152081732548000;1,466159058015800000;0,379761904761905000;2,580952380952380000;1,301090177792370000
F1;0,551095586002709000;0,683392754994430000;0,961754472814859000;0,584898786003281000;0,946049972964513000;0,564383590881926000;0,602000408130045000;0,928365079365079000;0,343557823129252000;0,710044098195839000
hamming-loss;0,244995571277083000;0,276610845295056000;0,011956992663214900;0,115182209855216000;0,029866032044167400;0,230316030621247000;0,147978706165051000;0,034841269841269800;0,255714285714286000;0,166432397594364000
Macro-AUC;0,692883954957862000;0,593994872424494000;0,000000000000000000;0,000000000000000000;0,936172424247822000;0,637257110882081000;0,766177788394528000;0,000000000000000000;0,000000000000000000;0,771670873903066000
Macro-F1;0,571210404547146000;0,589012842780131000;0,930499657279668000;0,310505412912109000;0,867935758921429000;0,407288340197132000;0,617215363407469000;0,878975789146068000;0,254993831162730000;0,692207042413426000
Macro-Precision;0,618945461902635000;0,632559126337322000;0,927680177266183000;0,346936827022489000;0,867569931615437000;0,396626830469143000;0,632804017398481000;0,863223905723906000;0,272246272246272000;0,730408042170690000
Macro-Recall;0,560539885094839000;0,604192343604108000;0,938133709955356000;0,311213122920440000;0,890873644329527000;0,439188483085542000;0,634413701656644000;0,919444444444445000;0,339583333333333000;0,667275039993187000
margin-loss ;1,796483270789530000;2,263152578415740000;0,107220258241229000;1,406646796038350000;0,109663052448846000;0,973382850963317000;1,412401051426250000;0,176190476190476000;0,244500000000000000;0,569103914048580000
micro-AUC ;0,706613616660104000;0,722891891462164000;0,976357398120818000;0,752442804931803000;0,967095022781463000;0,714787366811792000;0,759774472128756000;0,951749002076017000;0,625796328270752000;0,808301326268749000
Micro-F1;0,594895029624594000;0,715750870377673000;0,954667676019543000;0,575439107678343000;0,941463319825255000;0,564258248925605000;0,600460210178502000;0,920757668789513000;0,367108248967603000;0,743580359701710000
Micro-Precision;0,612582901259355000;0,713557622028755000;0,947360782660743000;0,556445627528954000;0,931075095414718000;0,539200847280067000;0,582527591341125000;0,879184628049617000;0,367822781887999000;0,750785860229872000
Micro-Recall;0,579221609760601000;0,719529980798638000;0,962219544407276000;0,596893241944865000;0,952210506844247000;0,592457810410086000;0,620524341289883000;0,968709401709402000;0,369816239316239000;0,736596112854973000
mlp;0,000000000000000000;0,085714285714285800;0,250000000000000000;0,262500000000000000;0,000000000000000000;0,175000000000000000;0,000000000000000000;0,033333333333333400;0,183333333333333000;0,000000000000000000
one-error ;0,409739953041899000;0,250473152578416000;0,040929072344960900;0,417270341781286000;0,055811206921084800;0,458634280998321000;0,395783286130853000;0,068095238095238100;0,631666666666667000;0,201306145300127000
precision ;0,601260129813568000;0,694305061897167000;0,962263969979032000;0,578432137775089000;0,943171404991605000;0,550926676911694000;0,597802776718650000;0,911825396825397000;0,360158730158730000;0,755358407115975000
ranking-loss ;0,280809243162466000;0,234143363459153000;0,013426740298309900;0,194737473783216000;0,035907040610148300;0,323819924680080000;0,269745023514717000;0,030297619047619000;0,453103174603175000;0,110399265862810000
recall ;0,566425651261388000;0,694002689805321000;0,970470276261260000;0,609800805758635000;0,954710577990267000;0,594182034207006000;0,630972769264731000;0,968214285714286000;0,359880952380952000;0,719691128448765000
subset-accuracy ;0,213550878264429000;0,123955342902711000;0,924496127515414000;0,516006060399907000;0,922921824753123000;0,499017473462534000;0,503960379508780000;0,839523809523809000;0,208571428571428000;0,442711232107652000
wlp ;0,000000000000000000;0,100000000000000000;0,250000000000000000;0,312500000000000000;0,250000000000000000;0,250000000000000000;0,000000000000000000;0,050000000000000100;0,400000000000000000;0,000000000000000000
