Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,465703937984904000;0,558718912179438000;0,949430888926144000;0,563539525016258000;0,942153305444093000;0,551706793021998000;0,586285654289956000;0,891666666666666000;0,231230158730159000;0,636522598457623000
Average-precision;0,696800496717606000;0,788533060028016000;0,971675248858664000;0,697790082730940000;0,966943483973173000;0,708328353111927000;0,716514073258949000;0,943638888888889000;0,443137566137566000;0,884144072878592000
clp;0,000000000000000000;0,228571428571429000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000;0,000000000000000000
coverage;2,405118043651010000;3,940332270069110000;0,154677967858742000;1,522885638804050000;0,113584621076297000;0,956583141239079000;1,400610180015490000;0,417619047619048000;2,787857142857140000;1,324777793716760000
F1;0,549737118818183000;0,680216291594282000;0,959008923222786000;0,573005026576510000;0,948576368137967000;0,566790460741626000;0,611839630256225000;0,914968253968254000;0,255311791383220000;0,699877994360656000
hamming-loss;0,246605083983387000;0,281919191919192000;0,012851681673911100;0,113128891010798000;0,028923347277953300;0,229445203335325000;0,144929929423539000;0,040436507936507900;0,277341269841270000;0,171488494266797000
Macro-AUC;0,692132609593666000;0,579171577721998000;0,000000000000000000;0,000000000000000000;0,937643012483116000;0,639978265235055000;0,773081785144350000;0,000000000000000000;0,000000000000000000;0,765904945978817000
Macro-F1;0,563544996394602000;0,565091040850658000;0,930418991895815000;0,237094189891771000;0,860266318751989000;0,409482468313909000;0,629379424055969000;0,853315969662719000;0,185941748166980000;0,682184571946936000
Macro-Precision;0,614795520697976000;0,587522675736962000;0,925662951226134000;0,272748465229595000;0,846765814314610000;0,399559290432453000;0,641676456318465000;0,838779461279461000;0,215423881673882000;0,727113681067982000
Macro-Recall;0,552265114247829000;0,587596538615446000;0,939622741756888000;0,247007696740928000;0,893814820800115000;0,440175159807513000;0,648873698387557000;0,894212962962963000;0,264814814814815000;0,654090663827582000
margin-loss ;1,810501905621530000;2,292325890483780000;0,110732876717876000;1,497690645862240000;0,105854605993341000;0,952736987392925000;1,347242666101440000;0,218809523809524000;2,685714285714290000;0,595940021707837000
micro-AUC ;0,704355670426372000;0,716357644821037000;0,972467777251392000;0,735902867670332000;0,969018099704540000;0,716674159264622000;0,767431293798239000;0,945793838610952000;0,592445147495810000;0,804275105481395000
Micro-F1;0,587828235859141000;0,710220815083465000;0,951033562741766000;0,566673909227001000;0,943367568224830000;0,565211352856778000;0,611231701625996000;0,906352905534683000;0,279454670119667000;0,735029283059552000
Micro-Precision;0,612027608282159000;0,708005920745928000;0,947514406495512000;0,566996298210548000;0,931176032213768000;0,540863806123226000;0,588935862290921000;0,868837187557015000;0,290909955583869000;0,744072404088757000
Micro-Recall;0,568628853892616000;0,717780190373474000;0,954647444239859000;0,566576370746693000;0,956056660690401000;0,592457810410086000;0,636396394022401000;0,950085470085470000;0,270655270655271000;0,726367983017365000
mlp;0,000000000000000000;0,114285714285714000;0,250000000000000000;0,500000000000000000;0,250000000000000000;0,200000000000000000;0,000000000000000000;0,033333333333333400;0,333333333333333000;0,000000000000000000
one-error ;0,412973733529063000;0,220401382243488000;0,042378198758116100;0,425140908549756000;0,052002760465579500;0,447386095221833000;0,386848085882973000;0,087380952380952400;0,737619047619048000;0,213031040219225000
precision ;0,609193267389914000;0,693804359383307000;0,961534268026309000;0,575898926249072000;0,945056774524033000;0,553629869945075000;0,603768202170474000;0,902261904761905000;0,275000000000000000;0,746255279373102000
ranking-loss ;0,281196386710180000;0,242965266702109000;0,013925008350534800;0,207904471135303000;0,034637558458313200;0,316617457336103000;0,257972284784686000;0,038753968253968200;0,505517857142857000;0,116320389972517000
recall ;0,562836401272028000;0,695468791929318000;0,965822661020120000;0,579457580845152000;0,958519024445773000;0,595034719257805000;0,645316850016294000;0,950595238095238000;0,259404761904762000;0,708375045325862000
subset-accuracy ;0,224283704548655000;0,081719829877724600;0,920935737732003000;0,535262067954552000;0,922884117362475000;0,506455789863115000;0,511383391210018000;0,815476190476190000;0,160238095238095000;0,431593477025624000
wlp ;0,000000000000000000;0,157142857142857000;0,250000000000000000;0,512500000000000000;0,050000000000000000;0,250000000000000000;0,000000000000000000;0,066666666666666800;0,500000000000000000;0,000000000000000000
