Measures;Emotions;Flags;GnegativeGO;GnegativePseAAC;GpositiveGO;GpositivePseAAC;Scene;VirusGO;VirusPseAAC;Yelp
Accuracy;0,46342214262881100;0,52949864560390900;0,94727136629095900;0,54137517139277400;0,93640221690998600;0,53303416431884800;0,56104750055818700;0,90293650793650800;0,32571428571428600;0,65577503593695300
Average-precision;0,68410538927677100;0,78151137123110800;0,97026043309222900;0,69322823572087500;0,96310651982128100;0,69641145403492800;0,70553890860467700;0,94906349206349200;0,52658664021164000;0,90677278843629900
clp;0,00000000000000000;0,01428571428571430;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000;0,00000000000000000
coverage;2,45948499987450000;3,96417597022860000;0,16555022243603300;1,46545642918290000;0,12504909075386300;0,98406827172088000;1,47024156456643000;0,41785714285714300;2,43190476190476000;1,23960324851612000
F1;0,55317054203713900;0,64775039621610600;0,95685380975867700;0,56549067453230900;0,94090825009249000;0,55484883842264500;0,59090944308377200;0,92653968253968300;0,38400793650793700;0,71901441075428400
hamming-loss;0,26024438241458900;0,29776524644945700;0,01348064000673830;0,12459500130392100;0,03179889154500700;0,24455519508238700;0,15436229308529600;0,03559523809523810;0,25753968253968300;0,16665019706410200
Macro-AUC;0,69652481921195200;0,61295399643724500;0,00000000000000000;0,00000000000000000;0,92823115774432200;0,65321241454887100;0,76119812522915000;0,00000000000000000;0,00000000000000000;0,78010914148931400
Macro-F1;0,58241267634513000;0,61234174191403500;0,91777427537334800;0,31484228569119000;0,86053108207327700;0,43306997835649700;0,60517188998738700;0,86337131636280300;0,33665542160511200;0,70036386754981800
Macro-Precision;0,58335653793481700;0,63564433619110700;0,91432525932693700;0,32091022828166900;0,85897759781143300;0,41046954265658900;0,59991216714067100;0,85153198653198700;0,32385674510674500;0,71467601082527500
Macro-Recall;0,59443864894135800;0,61493595923217800;0,93356948945363600;0,33232605893429100;0,87593316813905100;0,48134103641456600;0,63236642256076900;0,90162037037037000;0,40277777777777800;0,69022664497137800
margin-loss ;1,90032618625830000;2,34080010632642000;0,12088570683473500;1,43667973017736000;0,11731907567090700;0,98022211787472600;1,41361777984800000;0,21428571428571400;2,30523809523810000;0,50604382768492000
micro-AUC ;0,70315828929522700;0,70174206790940800;0,97143737260276400;0,75030769069278800;0,96389116771564200;0,71427119385985100;0,75566926547314500;0,96170060206057700;0,64211492300742700;0,80996619067959100
Micro-F1;0,59055618536547500;0,69083899287431100;0,94870941643570600;0,55441905094471400;0,93749579466834500;0,55044654341730700;0,58965627550544900;0,91709587696394300;0,40973620142594300;0,74588465429306700
Micro-Precision;0,57971606000841000;0,69635711681129000;0,94501817932988900;0,52106811347502000;0,92874700072813300;0,51246144581085500;0,56235396869260900;0,88494052180259100;0,38443154921856700;0,74540688867002100
Micro-Recall;0,60298055517092200;0,68665234744525800;0,95258320238818200;0,59348702919996500;0,94647756054526300;0,59497139929992300;0,62008271717619300;0,95301709401709400;0,44129487179487200;0,74653744819582600
mlp;0,00000000000000000;0,02857142857142860;0,25000000000000000;0,18750000000000000;0,25000000000000000;0,10000000000000000;0,00000000000000000;0,03333333333333340;0,05000000000000010;0,00000000000000000
one-error ;0,45321199568881500;0,24595693779904300;0,04377517641408650;0,44387497499467500;0,05777199123481030;0,46980136031190400;0,39702030282318300;0,07761904761904760;0,63238095238095200;0,17868730838134100
precision ;0,57606767590568700;0,66846907673223500;0,95963843919798300;0,55395331826399700;0,93832529383306300;0,53495724124192500;0,58199595793667000;0,91750000000000000;0,38289682539682500;0,75974157754387800
ranking-loss ;0,28928911662977000;0,24536376927166400;0,01506865125933700;0,19872989715527200;0,03878584573645620;0,32577916749670300;0,27010186027029600;0,03533730158730160;0,42696296296296300;0,09683956998846070
recall ;0,59971254151749500;0,65286290853396100;0,96365077947773500;0,60311531524527100;0,94799723953442000;0,59751060075699400;0,62891081506823800;0,95948412698412700;0,44408730158730200;0,73391047889665400
subset-accuracy ;0,19372405963843300;0,11611642743221700;0,91876128681654500;0,47302493162511500;0,92288411736247500;0,46854563305728700;0,47327749604322000;0,83023809523809500;0,15904761904761900;0,45371936421622900
wlp ;0,00000000000000000;0,04285714285714290;0,25000000000000000;0,30000000000000000;0,05000000000000000;0,20000000000000000;0,00000000000000000;0,06666666666666680;0,28333333333333300;0,00000000000000000
