"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0;0,242857142;0;0;0;0;0;0;0,0500000034;0
"local";0;0,200000008;0;0;0;0;0;0;0;0
"hpml-jma";0;0,2;0;0;0;0;0;0;0,0166666666666667;0
"hpml-jmi";0;0,214285714285714;0;0;0;0;0;0;0,0166666666666667;0
"hpml-js";0;0,271428571428572;0;0;0;0;0;0;0;0
"hpml-kma";0;0,257142857142857;0;0;0;0;0;0;0;0
"hpml-kmi";0;0,242857142857143;0;0;0;0;0;0;0;0
"hpml-ks";0;0,257142857142857;0;0;0;0;0;0;0;0
"exhaustive-ma";0;0;NA;NA;0;0;0;0;0;0
"exhaustive-mi";0;0,22857142857143;NA;NA;0;0;0;0;0;0
"oracle-ma";0;0,285714285714286;NA;NA;0;0;0;0;0;0
"oracle-mi";0;0,285714285714286;NA;NA;0;0;0;0;0;0
"r1-ma";0;0,2;0;0;0;0;0;0;0;0
"r1-mi";0;0,2;0;0;0;0;0;0;0;0
"r1-s";0;0,228571428571429;0;0;0;0;0;0;0;0
"r2-ma";0;0,228571428571429;0;0;0;0;0;0;0;0
"r2-mi";0;0,214285714285714;0;0;0;0;0;0;0;0
"r2-s";0;0,228571428571429;0;0;0;0;0;0;0;0
"r3";0;0,0142857142857143;0;0;0;0;0;0;0;0
