"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";2,30887952;3,834845825;0,275189637;1,66420214;0,144465551;0,93808163;1,56150327;0,6014285723;2,8223809538;1,43163712
"local";2,53189248;3,792570446;0,1604871068;1,4557026;0,1038561149;0,94630753;1,36122298;0,4028571431;2,48190477;1,26416309
"hpml-jma";2,36838882900952;3,81765284423179;0,179838844223507;1,45277719870709;0,12139005094055;0,992689034975384;1,40768096288266;0,418333333333333;2,64023809523809;1,2705136259077
"hpml-jmi";2,33758354001924;3,81447102604997;0,178389717810351;1,44470841563831;0,111586129371923;0,986919804206153;1,3840074934949;0,399285714285714;2,64023809523809;1,2705136259077
"hpml-js";2,31223568762965;3,75641679957469;0,24064446922705;1,59700768260771;0,125236204786704;0,956186857907168;1,23561010304633;0,345238095238095;2,62666666666667;1,30980949011686
"hpml-kma";2,36838882900952;4,08991493886231;0,205686372887506;1,77472249960923;0,106075158655625;0,827158570249581;1,37110693932098;0,518095238095238;2,21214285714286;1,44908798244208
"hpml-kmi";2,40169646242643;4,09547049441786;0,205686372887506;1,72498526811783;0,106075158655625;0,800235493326504;1,37696467990676;0,489523809523809;2,18833333333333;1,45452604890734
"hpml-ks";2,4838512340102;3,97905635300372;0,232033368239552;1,80568413759367;0,125236204786704;0,792505478243547;1,36686204957244;0,527619047619048;2,37857142857143;1,44247125733832
"exhaustive-ma";2,40857848157109;4,55;NA;NA;0,10389239875921;0,93334258231595;1,37326336200166;0,39404761904762;2,41309523809524;1,37103868414754
"exhaustive-mi";2,45298611294001;4,02745348219033;NA;NA;0,10196932183614;0,80608013887703;1,37794957451334;0,39404761904762;2,03214285714286;1,31406769825679
"oracle-ma";2,50214169025598;3,82485645933014;NA;NA;0,10581547568229;0,795578274851305;1,31569351567971;0,393809523809524;2,28833333333333;1,26416307429285
"oracle-mi";2,50214169025598;4,21649388623073;NA;NA;0,0810374512649762;0,795578274851305;1,31569351567971;0,393809523809524;1,3902380952381;1,26416307429285
"r1-ma";2,4734920003739;4,08074428495481;0,206737122966267;1,81287005248891;0,121349497709098;0,904436665812914;1,25607280816168;0,451428571428572;2,09309523809524;1,44344067451814
"r1-mi";2,38517847462404;4,02665071770335;0,216089640951879;1,83261413159239;0,123310282022824;0,894821281197529;1,25607280816168;0,431428571428572;2,21190476190476;1,44344067451814
"r1-s";2,49090334419697;3,96856990962254;0,214728780298963;1,9232410586222;0,127156435868977;0,915575998178661;1,35732324705278;0,5;2,50547619047619;1,49655582011046
"r2-ma";2,40621364148724;3,86088516746412;0,152604198302958;1,43115909703848;0,117393067531802;0,979152081732548;1,4661590580158;0,379761904761905;2,58095238095238;1,30109017779237
"r2-mi";2,38199525299797;3,88223019670388;0,15547169154241;1,45984871677126;0,117393067531802;0,934921312501779;1,45532572468247;0,379761904761905;2,62714285714286;1,30058867327883
"r2-s";2,40511804365101;3,94033227006911;0,154677967858742;1,52288563880405;0,113584621076297;0,956583141239079;1,40061018001549;0,417619047619048;2,78785714285714;1,32477779371676
"r3";2,4594849998745;3,9641759702286;0,165550222436033;1,4654564291829;0,125049090753863;0,98406827172088;1,47024156456643;0,417857142857143;2,43190476190476;1,23960324851612
