"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,23367294;0,266569455;0,015368828;0,12139467;0,029856248;0,21382599;0,14018002;0,0492857108;0,2917460321;0,19451089
"local";0,25702744;0,269639246;0,0127618759;0,12232097;0,0269814167;0,23894373;0,1493882;0,0371825406;0,25920636;0,161922088
"hpml-jma";0,234091713326152;0,265334928229665;0,0128505377056005;0,115508897340081;0,0298754588918296;0,236056980847491;0,152404722372829;0,0380555555555556;0,264761904761905;0,164357969812459
"hpml-jmi";0,23580205165981;0,265334928229665;0,0129398234198862;0,112086278292462;0,030365654970261;0,235095442385953;0,152404722372829;0,036468253968254;0,263968253968254;0,164357969812459
"hpml-js";0,237243071411606;0,264533682691577;0,0133029376903745;0,11558999153261;0,0289139204302911;0,234152046159538;0,148030215148285;0,0332142857142857;0,256031746031746;0,174201940449333
"hpml-kma";0,234091713326152;0,26856952988532;0,0124060088302205;0,122161188475765;0,0293852628133982;0,230276900310197;0,148274914155192;0,045952380952381;0,232063492063492;0,171038850139195
"hpml-kmi";0,239871854580016;0,267232854864434;0,0124060088302205;0,122078913869917;0,0293852628133982;0,225469208002504;0,148693324197033;0,0443650793650794;0,224126984126984;0,170479670269671
"hpml-ks";0,237393885523709;0,257172096908939;0,0131936973217778;0,119582125586258;0,0289139204302911;0,224026900310197;0,143488769656009;0,045952380952381;0,229523809523809;0,176300279081011
"exhaustive-ma";0,2440033262309;0,32142857142857;NA;NA;0,02842336862176;0,24282474600871;0,15021883952707;0,03805555555556;0,2581746031746;0,16376576468659
"exhaustive-mi";0,2401638504122;0,26214893293841;NA;NA;0,02794259939099;0,22780777768292;0,14884269531458;0,03805555555556;0,23404761904762;0,16286070925561
"oracle-ma";0,224516040174304;0,260341004025214;NA;NA;0,0265002916986824;0,215881036739805;0,140289519767454;0,0307142857142857;0,24468253968254;0,161922093171546
"oracle-mi";0,224516040174304;0,249891395154553;NA;NA;0,0250394860411508;0,215881036739805;0,140289519767454;0,0307142857142857;0,220436507936508;0,161922093171546
"r1-ma";0,239164837006153;0,265361509835194;0,0135752730136053;0,118024219935096;0,0279335282734284;0,227522126412248;0,150184861572829;0,0355952380952381;0,243174603174603;0,171645304606882
"r1-mi";0,242928277866368;0,256099718994456;0,0133954168984974;0,115110267409173;0,0279335282734284;0,22656058795071;0,150184861572829;0,0355952380952381;0,247698412698413;0,171645304606882
"r1-s";0,25272930070967;0,263986861092124;0,0127612337688107;0,113947626093654;0,0279425993909901;0,23033417285637;0,150359567042327;0,0404761904761905;0,274365079365079;0,180378709001783
"r2-ma";0,244995571277083;0,276610845295056;0,0119569926632149;0,115182209855216;0,0298660320441674;0,230316030621247;0,147978706165051;0,0348412698412698;0,255714285714286;0,166432397594364
"r2-mi";0,245195444243058;0,280412014885699;0,0127625184553472;0,115013915918937;0,0298660320441674;0,225508338313555;0,146312039498385;0,0348412698412698;0,260833333333333;0,166766659432804
"r2-s";0,246605083983387;0,281919191919192;0,0128516816739111;0,113128891010798;0,0289233472779533;0,229445203335325;0,144929929423539;0,0404365079365079;0,27734126984127;0,171488494266797
"r3";0,260244382414589;0,297765246449457;0,0134806400067383;0,124595001303921;0,031798891545007;0,244555195082387;0,154362293085296;0,0355952380952381;0,257539682539683;0,166650197064102
