"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,55526885;0,612224396;0,804868723;0,17061496;0,885883327;0,4103846;0,60061444;0,7870115288;0,1196722571;0,63724508
"local";0,56328762;0,584199695;0,9269657248;0,30618104;0,8847393156;0,41460147;0,62990707;0,8785784692;0,27405603;0,701574763
"hpml-jma";0,593111514863628;0,59966695331357;0,903449876341721;0,319224022327568;0,870639286559739;0,392757833989294;0,608130975115654;0,836093747440497;0,22889409724549;0,697600309223042
"hpml-jmi";0,594020090887082;0,59869634497454;0,903369586981771;0,320374510288615;0,854903468323921;0,393461297192757;0,608042425300459;0,847733959080708;0,219264467615861;0,697600309223042
"hpml-js";0,5666499648497;0,577114644229821;0,836226411680478;0,235777664131389;0,872576125996579;0,391815978615596;0,619305744823792;0,877733959080708;0,238950984802378;0,685563105884981
"hpml-kma";0,593111514863628;0,57869658740241;0,930739350630033;0,291547893204309;0,856801652192468;0,402432161404069;0,602502315504163;0,759866905826658;0,205799165652735;0,684009357047073
"hpml-kmi";0,569518887653804;0,580136005274822;0,930739350630033;0,281161496514589;0,856801652192468;0,408379365235342;0,600683164194459;0,759545268399757;0,236343440218749;0,682272122748056
"hpml-ks";0,572132090310828;0,597532631544131;0,905078998460535;0,242658454500574;0,872576125996579;0,401895609334833;0,605225919098352;0,76620218847773;0,198081802910234;0,672389952364568
"exhaustive-ma";0,58395016972416;0,56898733295891;NA;NA;0,87637605061172;0,41129317645405;0,61714786451258;0,83653025537701;0,27439677886289;0,70058732572104
"exhaustive-mi";0,57729192063845;0,62036715820475;NA;NA;0,87709033632601;0,41235318292169;0,61565781632698;0,83653025537701;0,30347047189859;0,70059563896163
"oracle-ma";0,609466248448534;0,653402944361553;NA;NA;0,899447498683169;0,469915871700975;0,639492871438601;0,891067292414042;0,355991019071514;0,701574765645538
"oracle-mi";0,609466248448534;0,642709175135055;NA;NA;0,884265271000941;0,469915871700975;0,639492871438601;0,891067292414042;0,282262158226352;0,701574765645538
"r1-ma";0,585917473548643;0,586671160006572;0,917683483432008;0,315179664620652;0,880195030287498;0,451530573352513;0,61130991422643;0,843421789768539;0,288770630801523;0,683756554156435
"r1-mi";0,574356581892736;0,603975374494592;0,917193191863735;0,285420654056157;0,880061464666128;0,443049245134343;0,61130991422643;0,832310678657428;0,282726915699411;0,683756554156435
"r1-s";0,559953933328169;0,591982085230648;0,918895393997718;0,268277707280684;0,879812990917654;0,439050030925901;0,602729635289726;0,780501498845152;0,170413066405517;0,664447103136412
"r2-ma";0,571210404547146;0,589012842780131;0,930499657279668;0,310505412912109;0,867935758921429;0,407288340197132;0,617215363407469;0,878975789146068;0,25499383116273;0,692207042413426
"r2-mi";0,557548448009991;0,594240845771292;0,928414823218788;0,29804662478952;0,867935758921429;0,417579709035012;0,620493324726757;0,878975789146068;0,221622820365249;0,692662835473317
"r2-s";0,563544996394602;0,565091040850658;0,930418991895815;0,237094189891771;0,860266318751989;0,409482468313909;0,629379424055969;0,853315969662719;0,18594174816698;0,682184571946936
"r3";0,58241267634513;0,612341741914035;0,917774275373348;0,31484228569119;0,860531082073277;0,433069978356497;0,605171889987387;0,863371316362803;0,336655421605112;0,700363867549818
