"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,71259757;0,731446612;0,95849922;0,711318;0,959138614;0,72169005;0,74319198;0,9245236249;0,5613782858;0,77788695
"local";0,69516117;0,729743055;0,9748382912;0,74973264;0,9718761385;0,71380467;0,77219094;0,9498323381;0,63645356;0,815340142
"hpml-jma";0,723193544230274;0,734682812564301;0,970784696964453;0,749697130283815;0,962619618806147;0,708499491944137;0,755425697250944;0,939160603368487;0,612022791110569;0,809375719836589
"hpml-jmi";0,721448603553278;0,734682812564301;0,971026430781031;0,751718326043005;0,963581157267686;0,708822072589298;0,755166942644966;0,944929834137718;0,611943583189777;0,809375719836589
"hpml-js";0,716108399046169;0,735654630495939;0,964200621122997;0,735439736053863;0,963563015032562;0,709771516227421;0,764378898149205;0,954327384914301;0,619398207237857;0,800731764490607
"hpml-kma";0,723193544230274;0,730627226853606;0,974693615299153;0,743856941780921;0,964201972848939;0,703978886389799;0,750123518928355;0,933367476940459;0,608921135030067;0,808510146676441
"hpml-kmi";0,715649441035744;0,731996932365066;0,974693615299153;0,743309287711391;0,964201972848939;0,711030168441081;0,748556279956861;0,937713630786613;0,61817551431415;0,810417548343138
"hpml-ks";0,718028169651125;0,742247221976171;0,971542023188856;0,734207291750261;0,963563015032562;0,713263255812114;0,748861844067275;0,932872427435509;0,611365714987747;0,802790388174184
"exhaustive-ma";0,71196329286237;0,67956592956593;NA;NA;0,9690173050192;0,70724081070032;0,7574187865834;0,95390834024929;0,61590457264428;0,81362400094854
"exhaustive-mi";0,71105367385325;0,7374271133244;NA;NA;0,97028121406613;0,70599075628389;0,75738702302184;0,95390834024929;0,6264684121294;0,81415089464624
"oracle-ma";0,734141205233025;0,740312263500366;NA;NA;0,969642256249749;0,722833740423854;0,775077862565733;0,95895733540935;0,634590010773117;0,815340133061423
"oracle-mi";0,734141205233025;0,749646700741771;NA;NA;0,970914599844585;0,722833740423854;0,775077862565733;0,95895733540935;0,604956235966295;0,815340133061423
"r1-ma";0,716496890266644;0,734304538226904;0,971990231471262;0,754753152521841;0,967433677837099;0,717160956117473;0,759145374492847;0,950728016840603;0,638126329594691;0,811107891849896
"r1-mi";0,71253303954517;0,743621495779155;0,972093644087601;0,731491760165403;0,967433677837099;0,712032750989268;0,759145374492847;0,954431720544307;0,616825657510374;0,811107891849896
"r1-s";0,697172551977333;0,735741475324448;0,970571110190395;0,738089742933624;0,967113165016586;0,712976147215683;0,761805357456409;0,945853337706023;0,589089498421734;0,802790217046761
"r2-ma";0,706613616660104;0,722891891462164;0,976357398120818;0,752442804931803;0,967095022781463;0,714787366811792;0,759774472128756;0,951749002076017;0,625796328270752;0,808301326268749
"r2-mi";0,704834511887298;0,718845826630179;0,9741904494276;0,748443450221547;0,967095022781463;0,721197623222048;0,760662797001852;0,951749002076017;0,619198124142938;0,808307186971564
"r2-s";0,704355670426372;0,716357644821037;0,972467777251392;0,735902867670332;0,96901809970454;0,716674159264622;0,767431293798239;0,945793838610952;0,59244514749581;0,804275105481395
"r3";0,703158289295227;0,701742067909408;0,971437372602764;0,750307690692788;0,963891167715642;0,714271193859851;0,755669265473145;0,961700602060577;0,642114923007427;0,809966190679591
