"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,6413227;0,719757129;0,957978364;0,53747047;0,944152507;0,57621303;0,61645904;0,882184932;0,2356410236;0,72021966
"local";0,59073363;0,729075779;0,9440988626;0,52905521;0,9334098355;0,52237495;0,57238639;0,8720963082;0,36975704;0,754601697
"hpml-jma";0,632236766648434;0,717666226460933;0,951358290206325;0,555275334038965;0,93566791021286;0,530021005903686;0,569503729384494;0,883959976105137;0,341108774348606;0,753253023201002
"hpml-jmi";0,627453767765326;0,717666226460933;0,950097990186062;0,56933139580442;0,932291003894777;0,532005132887813;0,569630859559026;0,883123655913978;0,335630194956983;0,753253023201002
"hpml-js";0,628391646616678;0,736232642591434;0,961311730434678;0,557538724827593;0,937590987135937;0,533416815139422;0,580557557201854;0,882255460890611;0,366895778134909;0,741280427023836
"hpml-kma";0,632236766648434;0,722867501326406;0,947186154061367;0,531611666035304;0,932461895197744;0,539884842983461;0,584485261608769;0,871322613467775;0,419752870318088;0,741678737703611
"hpml-kmi";0,621598454159891;0,723985410201419;0,947186154061367;0,532697529090464;0,932461895197744;0,548874990766712;0,58356629753191;0,872146789291951;0,441127329192547;0,742293627068738
"hpml-ks";0,628890966300936;0,730794272886559;0,947594546254342;0,541867681481044;0,937590987135937;0,552073123709524;0,600875383697079;0,871322613467775;0,424520045172219;0,737170391388801
"exhaustive-ma";0,61075054826576;0,64788732394366;NA;NA;0,93017901753254;0,51920487895173;0,57458656059081;0,88100673691277;0,36059409941494;0,7532105419404
"exhaustive-mi";0,62033848063835;0,71805374510419;NA;NA;0,93028002763355;0,54568452451581;0,57882699095058;0,88100673691277;0,42049795692853;0,75345166641871
"oracle-ma";0,644666866797647;0,714370374607618;NA;NA;0,938312955388427;0,56814925147413;0,600040888932564;0,887581453446442;0,403070489163582;0,754601693654582
"oracle-mi";0,644666866797647;0,736795670494203;NA;NA;0,937079869815719;0,56814925147413;0,600040888932564;0,887581453446442;0,457860978666028;0,754601693654582
"r1-ma";0,622660778417229;0,728749962157997;0,942561552647844;0,547097584895503;0,937951223151001;0,545447039260185;0,574903632696488;0,889835922697992;0,400662307735021;0,74207867713597
"r1-mi";0,616828141086623;0,732008200909755;0,943874338035972;0,55949056498586;0,937951223151001;0,546703653016799;0,574903632696488;0,887613700475769;0,395907437613875;0,74207867713597
"r1-s";0,603464784022533;0,724515740392008;0,950202244370765;0,564650524206719;0,937918970288559;0,540036986350132;0,5758263058012;0,882531107462142;0,29919359223707;0,73067507329146
"r2-ma";0,612582901259355;0,713557622028755;0,947360782660743;0,556445627528954;0,931075095414718;0,539200847280067;0,582527591341125;0,879184628049617;0,367822781887999;0,750785860229872
"r2-mi";0,614966465531414;0,702470684772463;0,945243259777707;0,55769580267525;0,931075095414718;0,547083548383107;0,587739626403906;0,879184628049617;0,345249931228192;0,749960543900044
"r2-s";0,612027608282159;0,708005920745928;0,947514406495512;0,566996298210548;0,931176032213768;0,540863806123226;0,588935862290921;0,868837187557015;0,290909955583869;0,744072404088757
"r3";0,57971606000841;0,69635711681129;0,945018179329889;0,52106811347502;0,928747000728133;0,512461445810855;0,562353968692609;0,884940521802591;0,384431549218567;0,745406888670021
