"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,03333334;0,071428564;0,1375;0,675;0;0,25;0;0,08333334;0,5833333296;0
"local";0;0,099999978;0,25;0,225;0;0,175;0;0,0333333367;0,15000001;0
"hpml-jma";0;0,1;0,05;0,2375;0;0,2;0;0,0666666666666667;0,283333333333333;0
"hpml-jmi";0;0,1;0,05;0,25;0,25;0,2;0;0,0666666666666667;0,333333333333333;0
"hpml-js";0,0166666666666667;0,1;0,1125;0,4875;0;0,2;0;0,0500000000000001;0,233333333333334;0
"hpml-kma";0;0,114285714285714;0,25;0,2875;0,25;0,2;0;0,133333333333333;0,55;0
"hpml-kmi";0;0,114285714285714;0,25;0,3125;0,25;0,2;0;0,15;0,516666666666667;0
"hpml-ks";0;0,114285714285714;0,05;0,5125;0;0,2;0;0,116666666666667;0,55;0
"exhaustive-ma";0;0;NA;NA;0;0,15;0;0,06666666666667;0,26666666666667;0
"exhaustive-mi";0,01666666666667;0,07142857142857;NA;NA;0;0,175;0;0,06666666666667;0,25;0
"oracle-ma";0;0,0285714285714286;NA;NA;0;0,1;0;0,0500000000000001;0,15;0
"oracle-mi";0;0,0428571428571429;NA;NA;0;0,1;0;0,0500000000000001;0,416666666666666;0
"r1-ma";0;0,1;0,25;0,2625;0;0,75;0;0,0833333333333335;0,3;0
"r1-mi";0;0,114285714285714;0,25;0,3875;0;0,1;0;0,1;0,316666666666667;0
"r1-s";0;0,1;0,0375;0,425;0;0,1;0;0,15;0,466666666666667;0
"r2-ma";0;0,0857142857142858;0,25;0,2625;0;0,175;0;0,0333333333333334;0,183333333333333;0
"r2-mi";0;0,0714285714285715;0,25;0,3;0;0,175;0;0,0333333333333334;0,283333333333333;0
"r2-s";0;0,114285714285714;0,25;0,5;0,25;0,2;0;0,0333333333333334;0,333333333333333;0
"r3";0;0,0285714285714286;0,25;0,1875;0,25;0,1;0;0,0333333333333334;0,0500000000000001;0
