"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,61832254;0,705204228;0,958336013;0,53747047;0,944152507;0,57621303;0,61652109;0,8959523816;0,2338095236;0,71203173
"local";0,59302727;0,712082508;0,9598760809;0,55857244;0,9469987046;0,54679487;0,59425988;0,9031349232;0,36700397;0,764256351
"hpml-jma";0,616587454733797;0,703213507252981;0,961324670759846;0,581087743786733;0,943152551296281;0,537502845840804;0,585541594127831;0,915833333333333;0,356547619047619;0,760246082782944
"hpml-jmi";0,616899617861273;0,703365022404496;0,961205623140798;0,590347003045993;0,941191766982555;0,540387461225419;0,586732070318308;0,915833333333333;0,351785714285714;0,760246082782944
"hpml-js";0,611186570875993;0,726176470215944;0,964789898577592;0,568770722699112;0,945075628219357;0,541330857451834;0,60098737232152;0,915833333333333;0,373452380952381;0,744697518013797
"hpml-kma";0,616587454733797;0,704393952051847;0,961912273625881;0,547406316081886;0,942191012834742;0,549100002845841;0,597749506726133;0,897619047619048;0,415238095238095;0,743854707241235
"hpml-kmi";0,604382416207545;0,704817928660034;0,961912273625881;0,548317927218509;0,942191012834742;0,558715387461225;0,596912686642451;0,897619047619048;0,434285714285714;0,743882666234711
"hpml-ks";0,616416334092558;0,719844276094276;0,959317955969571;0,550255234515529;0,945075628219357;0,560600756993654;0,608871510648567;0,897619047619048;0,422857142857143;0,734789655322815
"exhaustive-ma";0,60786363351483;0,64;NA;NA;0,94411480121802;0,53039642562395;0,59208116076245;0,91761904761905;0,36172619047619;0,75954882807459
"exhaustive-mi";0,59871484138502;0,70421012126275;NA;NA;0,94507633967956;0,55400125216995;0,59572232239262;0,91761904761905;0,42238095238095;0,76141961769045
"oracle-ma";0,644652867278501;0,697434520645047;NA;NA;0,947960955064174;0,57883512621304;0,615003896230209;0,920039682539682;0,410357142857143;0,764256349135257
"oracle-mi";0,644652867278501;0,725439058504848;NA;NA;0,950882566379237;0,57883512621304;0,615003896230209;0,920039682539682;0,466547619047619;0,764256349135257
"r1-ma";0,617844009216422;0,711232114376851;0,95673514076277;0,565390935478568;0,946074874071544;0,557476023791229;0,588601454815827;0,910436507936508;0,40718253968254;0,742681552568032
"r1-mi";0,60149049101231;0,711547549429128;0,957094852992985;0,569651587747026;0,946074874071544;0,560360639175844;0,588601454815827;0,907936507936508;0,404285714285714;0,742681552568032
"r1-s";0,590502702105549;0,710267328675223;0,960483285104439;0,572331443862134;0,946056731836421;0,551870073138109;0,588377498639292;0,902142857142857;0,301785714285714;0,725092706330347
"r2-ma";0,601260129813568;0,694305061897167;0,962263969979032;0,578432137775089;0,943171404991605;0,550926676911694;0,59780277671865;0,911825396825397;0,36015873015873;0,755358407115975
"r2-mi";0,604297878334491;0,682745607706134;0,95999769789032;0,578862079535966;0,943171404991605;0,560542061527078;0,603011110051983;0,911825396825397;0,336785714285714;0,754104925221825
"r2-s";0,609193267389914;0,693804359383307;0,961534268026309;0,575898926249072;0,945056774524033;0,553629869945075;0,603768202170474;0,902261904761905;0,275;0,746255279373102
"r3";0,576067675905687;0,668469076732235;0,959638439197983;0,553953318263997;0,938325293833063;0,534957241241925;0,58199595793667;0,9175;0,382896825396825;0,759741577543878
