"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,2666109;0,229912784;0,027892828;0,22859374;0,044610689;0,30946988;0,28699765;0,064192458;0,5220277852;0,14240092
"local";0,30237042;0,223374266;0,0144678361;0,19899052;0,0320420316;0,31287175;0,24961897;0,036041667;0,43797025;0,101163367
"hpml-jma";0,27442893536304;0,224715886939571;0,0170979083959156;0,198649275301619;0,0370791120028079;0,327512106681086;0,258831994215683;0,0341646825396825;0,46685119047619;0,103748763316926
"hpml-jmi";0,268689454391996;0,224670432394116;0,0168908903368934;0,197588239776298;0,0341379355322197;0,325589029758009;0,25443403503201;0,0316646825396825;0,469827380952381;0,103748763316926
"hpml-js";0,267207031290928;0,212750354421407;0,0240542550279745;0,218458702859683;0,0382009068746028;0,315344714325014;0,226843648343748;0,024672619047619;0,457896825396825;0,114615453973586
"hpml-kma";0,27442893536304;0,282804891015417;0,0195221573019001;0,243433726411065;0,03246120170371;0,272982595311952;0,252731000435777;0,0485813492063492;0,389831349206349;0,145888092034379
"hpml-kmi";0,282062482101776;0,272614832535885;0,0195221573019001;0,235482883438027;0,03246120170371;0,264008236337593;0,253703803783058;0,0452083333333334;0,380625;0,148365569511856
"hpml-ks";0,290017542928821;0,25453442317916;0,0222086194603925;0,245712842328058;0,0382009068746028;0,261431564643274;0,250577108633634;0,0501289682539683;0,412680555555556;0,147178972746214
"exhaustive-ma";0,27517070448839;0,36166666666667;NA;NA;0,03205412789209;0,30854066469355;0,25061671518942;0,02897685185185;0,42424338624339;0,12512572620889
"exhaustive-mi";0,28321109880547;0,26215740740741;NA;NA;0,03141310225106;0,26595016695599;0,25219314174863;0,02897685185185;0,354;0,11256654962933
"oracle-ma";0,283362530665619;0,22426936026936;NA;NA;0,0326951535331113;0,261978203230978;0,238642236603226;0,0332678571428571;0,390366402116402;0,101163365124621
"oracle-mi";0,283362530665619;0,262962032606769;NA;NA;0,0244358120606733;0,261978203230978;0,238642236603226;0,0332678571428571;0,233321428571429;0,101163365124621
"r1-ma";0,284951745690251;0,256252480949849;0,0199544547794003;0,247044005843234;0,0377097621825701;0,298745102782284;0,231778956031665;0,0447777777777777;0,358724206349206;0,147496262113021
"r1-mi";0,273911140144128;0,253699317738791;0,020759525008931;0,251379040203934;0,038363356953812;0,295539974577156;0,231778956031665;0,04;0,381128968253968;0,147496262113021
"r1-s";0,294550845822728;0,252052587276272;0,0204197224552582;0,26371692499814;0,0396454082358633;0,302458213570866;0,252149553414059;0,0496964285714286;0,447390873015873;0,159341107763511
"r2-ma";0,280809243162466;0,234143363459153;0,0134267402983099;0,194737473783216;0,0359070406101483;0,32381992468008;0,269745023514717;0,030297619047619;0,453103174603175;0,11039926586281
"r2-mi";0,278645361690878;0,240361687045897;0,0138363821896601;0,19869999764168;0,0359070406101483;0,30907633493649;0,26742210684805;0,030297619047619;0,465144841269841;0,110337365522358
"r2-s";0,28119638671018;0,242965266702109;0,0139250083505348;0,207904471135303;0,0346375584583132;0,316617457336103;0,257972284784686;0,0387539682539682;0,505517857142857;0,116320389972517
"r3";0,28928911662977;0,245363769271664;0,015068651259337;0,198729897155272;0,0387858457364562;0,325779167496703;0,270101860270296;0,0353373015873016;0,426962962962963;0,0968395699884607
