"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,56152293;0,708396226;0,939596121;0,52594441;0,940287501;0,57330957;0,5889948;0,894246035;0,2030952286;0,65228603
"local";0,56306584;0,689077472;0,9679650657;0,60987745;0,962421738;0,61740977;0,66558781;0,961190475;0,39369048;0,734233839
"hpml-jma";0,585576999702375;0,73847548796233;0,960811221337013;0,606852212252488;0,948903639830388;0,56527931927488;0,621552371080571;0,952142857142857;0,341190476190476;0,725803607554724
"hpml-jmi";0,598586348864135;0,74062916761601;0,961530645797445;0,60939189479217;0,949884031987251;0,56527931927488;0,619715636386693;0,961666666666667;0,331666666666667;0,725803607554724
"hpml-js";0,577196802037786;0,704513056631478;0,95112392355619;0,573817442499901;0,950826716753465;0,563356242351803;0,637768172053474;0,973095238095238;0,355674603174603;0,7045981347957
"hpml-kma";0,585576999702375;0,718950412647781;0,967586986135509;0,578041287334874;0,952806354762515;0,582739264065568;0,610541169196728;0,924246031746032;0,384444444444444;0,715685284771523
"hpml-kmi";0,583605843255516;0,717644369762791;0,967586986135509;0,577574426780764;0,952806354762515;0,590431571757876;0,607193888862;0,928214285714286;0,397936507936508;0,716620357775562
"hpml-ks";0,582533018901882;0,733102142983722;0,961206566661564;0,565390459668739;0,950826716753465;0,582663849284271;0,605365738866867;0,924246031746032;0,372063492063492;0,699167949692539
"exhaustive-ma";0,59484178888004;0,6525;NA;NA;0,96053636984547;0,57606505592077;0,63191877909116;0,96007936507937;0,34615079365079;0,72841047795441
"exhaustive-mi";0,57449755312893;0,74698593706488;NA;NA;0,96245944676855;0,57504695637326;0,63193379049577;0,96007936507937;0,40071428571429;0,73167333167555
"oracle-ma";0,62237338121525;0,768663559150401;NA;NA;0,958613292922394;0,611679686388343;0,657832100861318;0,97797619047619;0,39781746031746;0,734233841393046
"oracle-mi";0,62237338121525;0,744817004632794;NA;NA;0,966305600614702;0,611679686388343;0,657832100861318;0,97797619047619;0,426587301587302;0,734233841393046
"r1-ma";0,584811796982096;0,704074365205944;0,963624178671247;0,596720787503736;0,953749039528729;0,591227695722701;0,630527623051437;0,946547619047619;0,403928571428571;0,711803660557588
"r1-mi";0,57610117634448;0,720323574086732;0,963264466441032;0,579045786673599;0,953749039528729;0,595073849568855;0,630527623051437;0,948214285714286;0,41265873015873;0,711803660557588
"r1-s";0,546458047466246;0,721858345358345;0,961528639297276;0,57941834576918;0,953749039528729;0,587526679757534;0,61950089898763;0,933571428571428;0,294801587301587;0,690854329536367
"r2-ma";0,566425651261388;0,694002689805321;0,97047027626126;0,609800805758635;0,954710577990267;0,594182034207006;0,630972769264731;0,968214285714286;0,359880952380952;0,719691128448765
"r2-mi";0,559099979330009;0,705167407154249;0,966883358561378;0,601193405964185;0,954710577990267;0,607643572668545;0,633264435931397;0,968214285714286;0,31952380952381;0,719400196848641
"r2-s";0,562836401272028;0,695468791929318;0,96582266102012;0,579457580845152;0,958519024445773;0,595034719257805;0,645316850016294;0,950595238095238;0,259404761904762;0,708375045325862
"r3";0,599712541517495;0,652862908533961;0,963650779477735;0,603115315245271;0,94799723953442;0,597510600756994;0,628910815068238;0,959484126984127;0,444087301587302;0,733910478896654
