"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,23996248;0,148500801;0,91871337;0,51441833;0,936422492;0,5704061;0,56097684;0,7916666692;0,1542857136;0,38320625
"local";0,195601;0,148118034;0,9216286351;0,48637572;0,9286910552;0,47201328;0,47304048;0,8299999994;0,19857142;0,453743901
"hpml-jma";0,241174788858454;0,128955342902711;0,923776703054982;0,520798372446926;0,928691055522354;0,501015965166909;0,484078192886767;0,81047619047619;0,218333333333333;0,445626371068325
"hpml-jmi";0,241222896297353;0,133500797448166;0,923057278594551;0,53518990683846;0,926730271208629;0,506785195936139;0,485710845947991;0,815238095238095;0,223095238095238;0,445626371068325
"hpml-js";0,239789088223691;0,15282562466773;0,926601490843799;0,529294124983701;0,930614132445431;0,510595065312046;0,49673240033326;0,834761904761905;0,232380952380952;0,429283158580653
"hpml-kma";0,241174788858454;0,140438596491228;0,92377149141882;0,488729450077223;0,928691055522354;0,506750334386294;0,514023685124479;0,782142857142857;0,27047619047619;0,429384704833309
"hpml-kmi";0,234553252733326;0,145701754385965;0,92377149141882;0,488030434821343;0,928691055522354;0,518288795924756;0,515278915250002;0,791666666666667;0,28952380952381;0,433764947144586
"hpml-ks";0,222972021247806;0,157955874534822;0,923887589016932;0,504453867503768;0,930614132445431;0,529827257463217;0,533817530659626;0,782142857142857;0,27547619047619;0,422457994148002
"exhaustive-ma";0,22700792456248;0,1;NA;NA;0,92480861720595;0,47959959019892;0,49371696089364;0,82047619047619;0,19880952380952;0,44639067465734
"exhaustive-mi";0,23104258053108;0,16877458798511;NA;NA;0,92480861720595;0,52424514072683;0,50154145414845;0,82047619047619;0,25190476190476;0,45079409753008
"oracle-ma";0,268558724442127;0,153381180223286;NA;NA;0,934424001821338;0,53733671988389;0,512872225828719;0,854523809523809;0,207857142857143;0,453743899300712
"oracle-mi";0,268558724442127;0,142036150983519;NA;NA;0,932574916759156;0,53733671988389;0,512872225828719;0,854523809523809;0,304761904761905;0,453743899300712
"r1-ma";0,222763010638603;0,10725677830941;0,920200062847392;0,501025898632664;0,932574916759156;0,517955121090526;0,492519699291742;0,839761904761905;0,212857142857143;0,433278329878826
"r1-mi";0,225083327559939;0,151967038809144;0,921638911768255;0,525258597579889;0,932574916759156;0,519878198013603;0,492519699291742;0,834761904761905;0,213809523809524;0,433278329878826
"r1-s";0,206068338493222;0,150956937799043;0,926644123404417;0,530962605801883;0,93253863228891;0,510444235749452;0,503206999639098;0,815238095238095;0,175;0,417847876661003
"r2-ma";0,213550878264429;0,123955342902711;0,924496127515414;0,516006060399907;0,922921824753123;0,499017473462534;0,50396037950878;0,839523809523809;0,208571428571428;0,442711232107652
"r2-mi";0,213343243455607;0,129218500797448;0,921628634275963;0,524531240256022;0,922921824753123;0,504786704231765;0,509377046175447;0,839523809523809;0,202857142857143;0,441968428022229
"r2-s";0,224283704548655;0,0817198298777246;0,920935737732003;0,535262067954552;0,922884117362475;0,506455789863115;0,511383391210018;0,81547619047619;0,160238095238095;0,431593477025624
"r3";0,193724059638433;0,116116427432217;0,918761286816545;0,473024931625115;0,922884117362475;0,468545633057287;0,47327749604322;0,830238095238095;0,159047619047619;0,453719364216229
