"partition";"emotions";"flags";"GnegativeGO";"GnegativePseAAC";"GpositiveGO";"GpositivePseAAC";"scene";"VirusGO";"VirusPseAAC";"Yelp"
"global";0,03333334;0,071428564;0,1375;0,6875;0,25;0,25;0;0,100000007;0,7000000069;0
"local";0;0,114285688;0,25;0,3125;0,25;0,25;0;0,0500000037;0,34999999;0
"hpml-jma";0;0,114285714285714;0,05;0,3125;0,25;0,25;0;0,1;0,45;0
"hpml-jmi";0;0,114285714285714;0,05;0,325;0,05;0,25;0;0,0833333333333334;0,483333333333333;0
"hpml-js";0,0166666666666667;0,114285714285714;0,1125;0,5125;0,25;0,25;0;0,0666666666666668;0,416666666666667;0
"hpml-kma";0;0,128571428571429;0,25;0,35;0,05;0,25;0;0,15;0,566666666666667;0
"hpml-kmi";0,0166666666666667;0,128571428571429;0,25;0,3625;0,05;0,25;0;0,166666666666667;0,533333333333333;0
"hpml-ks";0,0166666666666667;0,114285714285714;0,05;0,5125;0,25;0,25;0;0,133333333333333;0,583333333333333;0
"exhaustive-ma";0;0,14285714285714;NA;NA;0,025;0,225;0;0,06666666666667;0,38333333333333;0
"exhaustive-mi";0,01666666666667;0,08571428571429;NA;NA;0,025;0,225;0;0,06666666666667;0,41666666666667;0
"oracle-ma";0;0,0285714285714286;NA;NA;0,025;0,175;0;0,0500000000000001;0,266666666666667;0
"oracle-mi";0;0,0428571428571429;NA;NA;0,025;0,175;0;0,0500000000000001;0,483333333333333;0
"r1-ma";0;0,128571428571429;0,25;0,3;0,25;0,2;0;0,0833333333333335;0,4;0
"r1-mi";0;0,128571428571429;0,25;0,425;0,25;0,225;0;0,1;0,416666666666667;0
"r1-s";0;0,142857142857143;0,0375;0,4875;0,25;0,225;0;0,15;0,583333333333333;0
"r2-ma";0;0,1;0,25;0,3125;0,25;0,25;0;0,0500000000000001;0,4;0
"r2-mi";0,0166666666666667;0,1;0,25;0,375;0,25;0,25;0;0,0500000000000001;0,45;0
"r2-s";0;0,157142857142857;0,25;0,5125;0,05;0,25;0;0,0666666666666668;0,5;0
"r3";0;0,0428571428571429;0,25;0,3;0,05;0,2;0;0,0666666666666668;0,283333333333333;0
