"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flags",0.242857142,0.200000008,0.2,0.214285714285714,0.271428571428572,0.257142857142857,0.242857142857143,0.257142857142857,0,0.22857142857143,0.285714285714286,0.285714285714286,0.2,0.2,0.228571428571429,0.228571428571429,0.214285714285714,0.228571428571429,0.0142857142857143
"GnegativeGO",0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0
"GnegativePseAAC",0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0
"GpositiveGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GpositivePseAAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VirusGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VirusPseAAC",0.0500000034,0,0.0166666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yelp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
