"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.63221644,0.59273953,0.657427034875614,0.649453211247234,0.648838588616215,0.657427034875614,0.623476266546188,0.625984740717749,0.61285661442275,0.61752980405462,0.656673549309763,0.656673549309763,0.635301929768334,0.631545944800949,0.626212542514336,0.618945461902635,0.611410643298005,0.614795520697976,0.583356537934817
"flags",0.659451118,0.653823356,0.633487714064892,0.632954183268204,0.663462633857371,0.626859220562228,0.631299799824236,0.638116013550556,0.56450788142518,0.65383187405744,0.69270749926765,0.715495584198592,0.640430486389133,0.63241973823022,0.631355551790094,0.632559126337322,0.626609579852061,0.587522675736962,0.635644336191107
"GnegativeGO",0.826339263,0.9251605873,0.906193749141073,0.905354072278372,0.854558186761532,0.932927067887065,0.932927067887065,0.909502985100182,NA,NA,NA,NA,0.909507077958092,0.909840367962435,0.917849713917868,0.927680177266183,0.925779299471149,0.925662951226134,0.914325259326937
"GnegativePseAAC",0.18378107,0.33057194,0.353232870815903,0.366169599087024,0.252923643414584,0.360431912915222,0.342563202723009,0.277038832240126,NA,NA,NA,NA,0.356967687810004,0.322949306007384,0.296995819644298,0.346936827022489,0.333328851309418,0.272748465229595,0.320910228281669
"GpositiveGO",0.885066776,0.8759917261,0.877917652242763,0.85115177922689,0.879160342301243,0.851202718784409,0.851202718784409,0.879160342301243,0.86275313839404,0.86275313839404,0.883141348502644,0.858227240315509,0.876792403222777,0.876593990524365,0.876188328934492,0.867569931615437,0.867569931615437,0.84676581431461,0.858977597811433
"GpositivePseAAC",0.41986665,0.39275429,0.393141584046677,0.39410454700964,0.393202458596776,0.40197484818373,0.408299252945635,0.40628022716434,0.41111534249911,0.4208795201702,0.488277408914193,0.488277408914193,0.474198224808773,0.464393030003578,0.457031918892467,0.396626830469143,0.405001707880061,0.399559290432453,0.410469542656589
"scene",0.66020059,0.62146479,0.628001647371965,0.629286776704916,0.630903525884899,0.63540448279862,0.636393179309359,0.646955117190418,0.63456827649695,0.63176771742142,0.649879987765745,0.649879987765745,0.631431645366791,0.631431645366791,0.630546014387596,0.632804017398481,0.640962773584286,0.641676456318465,0.599912167140671
"VirusGO",0.8318350111,0.8516961298,0.836001683501684,0.841001683501684,0.852112794612795,0.764680134680135,0.754680134680135,0.774494949494949,0.8346127946128,0.8346127946128,0.863223905723906,0.863223905723906,0.841001683501683,0.826001683501683,0.775029461279461,0.863223905723906,0.863223905723906,0.838779461279461,0.851531986531987
"VirusPseAAC",0.118392857,0.28382576,0.229087856587857,0.226811198061198,0.235906639656639,0.193813248298542,0.225283836533836,0.191236103221397,0.29736111111111,0.3087031024531,0.371782106782107,0.278921304730128,0.28785002035002,0.279244354716491,0.172436392798235,0.272246272246272,0.252496577496578,0.215423881673882,0.323856745106745
"Yelp",0.70915338,0.729989281,0.730586967921443,0.730586967921443,0.723443050984116,0.713350541781656,0.708595441753052,0.713559672637678,0.7350410882379,0.73103565779857,0.729989277213965,0.729989277213965,0.71801756483858,0.71801756483858,0.698425029086744,0.73040804217069,0.729956145524498,0.727113681067982,0.714676010825275
