"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.54064938,0.55794807,0.579766900912412,0.58597935260474,0.566389913215248,0.579766900912412,0.570343814276348,0.567280490956316,0.57996957131181,0.56966255429297,0.603579457011475,0.603579457011475,0.573111501048163,0.563399863356649,0.538668063341696,0.560539885094839,0.546774151630963,0.552265114247829,0.594438648941358
"flags",0.635705781,0.588954242,0.622858294833085,0.621786866261656,0.589642857142857,0.598412698412698,0.601995464852608,0.624126984126984,0.58095238095238,0.64258503401361,0.675714285714286,0.647301587301587,0.602991863412031,0.623174603174603,0.616309523809524,0.604192343604108,0.617298919567827,0.587596538615446,0.614935959232178
"GnegativeGO",0.792432535,0.9343562367,0.90575428382593,0.906448728270375,0.825239356679906,0.933184839381486,0.933184839381486,0.905144833147882,NA,NA,NA,NA,0.932463199909846,0.930994668441315,0.923757842766989,0.938133709955356,0.936056100065247,0.939622741756888,0.933569489453636
"GnegativePseAAC",0.19438343,0.31498606,0.322528991164662,0.32236750461598,0.251305466214003,0.296645324526422,0.286268410620545,0.267968691200399,NA,NA,NA,NA,0.349487832628076,0.305708007270507,0.290318135455331,0.31121312292044,0.299170626121846,0.247007696740928,0.332326058934291
"GpositiveGO",0.909249712,0.910321231,0.884787043022337,0.876453709689004,0.88687037635567,0.879567262802557,0.879567262802557,0.88687037635567,0.9193490088343,0.92073789772319,0.929602276808159,0.935321231056525,0.901293453278747,0.901293453278747,0.901293453278747,0.890873644329527,0.890873644329527,0.893814820800115,0.875933168139051
"GpositivePseAAC",0.42049683,0.46254561,0.416937082525318,0.416937082525318,0.414992638080873,0.429454589528119,0.433988903253609,0.423115887380593,0.4369012605042,0.43865941248294,0.485410382101559,0.485410382101559,0.460962526036056,0.449968128276952,0.446046559649501,0.439188483085542,0.451705990088343,0.440175159807513,0.481341036414566
"scene",0.58989823,0.6676089,0.62624287594779,0.624842233783655,0.642325990438649,0.615401524191746,0.611305896065111,0.609234899913012,0.63237742311276,0.63422928922892,0.65982890968027,0.65982890968027,0.630170118139074,0.630170118139074,0.618685496915166,0.634413701656644,0.635912653438615,0.648873698387557,0.632366422560769
"VirusGO",0.782870377,0.9303240713,0.858796296296296,0.87962962962963,0.921296296296296,0.784722222222222,0.790277777777778,0.793055555555556,0.87546296296296,0.87546296296296,0.937962962962963,0.937962962962963,0.869212962962963,0.860879629629629,0.806944444444444,0.919444444444445,0.919444444444445,0.894212962962963,0.90162037037037
"VirusPseAAC",0.1791666621,0.36921298,0.318287037037037,0.314583333333333,0.322916666666666,0.275694444444444,0.303472222222222,0.249537037037037,0.33148148148148,0.33680555555556,0.406018518518518,0.316898148148148,0.340046296296296,0.346064814814815,0.252083333333333,0.339583333333333,0.306018518518519,0.264814814814815,0.402777777777778
"Yelp",0.59310571,0.682295172,0.674895173677107,0.674895173677107,0.658865451077009,0.667382278427338,0.671000995894671,0.650758201243532,0.67727516534647,0.6800259470145,0.682295173945507,0.682295173945507,0.665746873934623,0.665746873934623,0.652083905340719,0.667275039993187,0.668435225106715,0.654090663827582,0.690226644971378
