"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.71259757,0.69516117,0.723193544230274,0.721448603553278,0.716108399046169,0.723193544230274,0.715649441035744,0.718028169651125,0.71196329286237,0.71105367385325,0.734141205233025,0.734141205233025,0.716496890266644,0.71253303954517,0.697172551977333,0.706613616660104,0.704834511887298,0.704355670426372,0.703158289295227
"flags",0.731446612,0.729743055,0.734682812564301,0.734682812564301,0.735654630495939,0.730627226853606,0.731996932365066,0.742247221976171,0.67956592956593,0.7374271133244,0.740312263500366,0.749646700741771,0.734304538226904,0.743621495779155,0.735741475324448,0.722891891462164,0.718845826630179,0.716357644821037,0.701742067909408
"GnegativeGO",0.95849922,0.9748382912,0.970784696964453,0.971026430781031,0.964200621122997,0.974693615299153,0.974693615299153,0.971542023188856,NA,NA,NA,NA,0.971990231471262,0.972093644087601,0.970571110190395,0.976357398120818,0.9741904494276,0.972467777251392,0.971437372602764
"GnegativePseAAC",0.711318,0.74973264,0.749697130283815,0.751718326043005,0.735439736053863,0.743856941780921,0.743309287711391,0.734207291750261,NA,NA,NA,NA,0.754753152521841,0.731491760165403,0.738089742933624,0.752442804931803,0.748443450221547,0.735902867670332,0.750307690692788
"GpositiveGO",0.959138614,0.9718761385,0.962619618806147,0.963581157267686,0.963563015032562,0.964201972848939,0.964201972848939,0.963563015032562,0.9690173050192,0.97028121406613,0.969642256249749,0.970914599844585,0.967433677837099,0.967433677837099,0.967113165016586,0.967095022781463,0.967095022781463,0.96901809970454,0.963891167715642
"GpositivePseAAC",0.72169005,0.71380467,0.708499491944137,0.708822072589298,0.709771516227421,0.703978886389799,0.711030168441081,0.713263255812114,0.70724081070032,0.70599075628389,0.722833740423854,0.722833740423854,0.717160956117473,0.712032750989268,0.712976147215683,0.714787366811792,0.721197623222048,0.716674159264622,0.714271193859851
"scene",0.74319198,0.77219094,0.755425697250944,0.755166942644966,0.764378898149205,0.750123518928355,0.748556279956861,0.748861844067275,0.7574187865834,0.75738702302184,0.775077862565733,0.775077862565733,0.759145374492847,0.759145374492847,0.761805357456409,0.759774472128756,0.760662797001852,0.767431293798239,0.755669265473145
"VirusGO",0.9245236249,0.9498323381,0.939160603368487,0.944929834137718,0.954327384914301,0.933367476940459,0.937713630786613,0.932872427435509,0.95390834024929,0.95390834024929,0.95895733540935,0.95895733540935,0.950728016840603,0.954431720544307,0.945853337706023,0.951749002076017,0.951749002076017,0.945793838610952,0.961700602060577
"VirusPseAAC",0.5613782858,0.63645356,0.612022791110569,0.611943583189777,0.619398207237857,0.608921135030067,0.61817551431415,0.611365714987747,0.61590457264428,0.6264684121294,0.634590010773117,0.604956235966295,0.638126329594691,0.616825657510374,0.589089498421734,0.625796328270752,0.619198124142938,0.59244514749581,0.642114923007427
"Yelp",0.77788695,0.815340142,0.809375719836589,0.809375719836589,0.800731764490607,0.808510146676441,0.810417548343138,0.802790388174184,0.81362400094854,0.81415089464624,0.815340133061423,0.815340133061423,0.811107891849896,0.811107891849896,0.802790217046761,0.808301326268749,0.808307186971564,0.804275105481395,0.809966190679591
