"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.6413227,0.59073363,0.632236766648434,0.627453767765326,0.628391646616678,0.632236766648434,0.621598454159891,0.628890966300936,0.61075054826576,0.62033848063835,0.644666866797647,0.644666866797647,0.622660778417229,0.616828141086623,0.603464784022533,0.612582901259355,0.614966465531414,0.612027608282159,0.57971606000841
"flags",0.719757129,0.729075779,0.717666226460933,0.717666226460933,0.736232642591434,0.722867501326406,0.723985410201419,0.730794272886559,0.64788732394366,0.71805374510419,0.714370374607618,0.736795670494203,0.728749962157997,0.732008200909755,0.724515740392008,0.713557622028755,0.702470684772463,0.708005920745928,0.69635711681129
"GnegativeGO",0.957978364,0.9440988626,0.951358290206325,0.950097990186062,0.961311730434678,0.947186154061367,0.947186154061367,0.947594546254342,NA,NA,NA,NA,0.942561552647844,0.943874338035972,0.950202244370765,0.947360782660743,0.945243259777707,0.947514406495512,0.945018179329889
"GnegativePseAAC",0.53747047,0.52905521,0.555275334038965,0.56933139580442,0.557538724827593,0.531611666035304,0.532697529090464,0.541867681481044,NA,NA,NA,NA,0.547097584895503,0.55949056498586,0.564650524206719,0.556445627528954,0.55769580267525,0.566996298210548,0.52106811347502
"GpositiveGO",0.944152507,0.9334098355,0.93566791021286,0.932291003894777,0.937590987135937,0.932461895197744,0.932461895197744,0.937590987135937,0.93017901753254,0.93028002763355,0.938312955388427,0.937079869815719,0.937951223151001,0.937951223151001,0.937918970288559,0.931075095414718,0.931075095414718,0.931176032213768,0.928747000728133
"GpositivePseAAC",0.57621303,0.52237495,0.530021005903686,0.532005132887813,0.533416815139422,0.539884842983461,0.548874990766712,0.552073123709524,0.51920487895173,0.54568452451581,0.56814925147413,0.56814925147413,0.545447039260185,0.546703653016799,0.540036986350132,0.539200847280067,0.547083548383107,0.540863806123226,0.512461445810855
"scene",0.61645904,0.57238639,0.569503729384494,0.569630859559026,0.580557557201854,0.584485261608769,0.58356629753191,0.600875383697079,0.57458656059081,0.57882699095058,0.600040888932564,0.600040888932564,0.574903632696488,0.574903632696488,0.5758263058012,0.582527591341125,0.587739626403906,0.588935862290921,0.562353968692609
"VirusGO",0.882184932,0.8720963082,0.883959976105137,0.883123655913978,0.882255460890611,0.871322613467775,0.872146789291951,0.871322613467775,0.88100673691277,0.88100673691277,0.887581453446442,0.887581453446442,0.889835922697992,0.887613700475769,0.882531107462142,0.879184628049617,0.879184628049617,0.868837187557015,0.884940521802591
"VirusPseAAC",0.2356410236,0.36975704,0.341108774348606,0.335630194956983,0.366895778134909,0.419752870318088,0.441127329192547,0.424520045172219,0.36059409941494,0.42049795692853,0.403070489163582,0.457860978666028,0.400662307735021,0.395907437613875,0.29919359223707,0.367822781887999,0.345249931228192,0.290909955583869,0.384431549218567
"Yelp",0.72021966,0.754601697,0.753253023201002,0.753253023201002,0.741280427023836,0.741678737703611,0.742293627068738,0.737170391388801,0.7532105419404,0.75345166641871,0.754601693654582,0.754601693654582,0.74207867713597,0.74207867713597,0.73067507329146,0.750785860229872,0.749960543900044,0.744072404088757,0.745406888670021
