"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.61832254,0.59302727,0.616587454733797,0.616899617861273,0.611186570875993,0.616587454733797,0.604382416207545,0.616416334092558,0.60786363351483,0.59871484138502,0.644652867278501,0.644652867278501,0.617844009216422,0.60149049101231,0.590502702105549,0.601260129813568,0.604297878334491,0.609193267389914,0.576067675905687
"flags",0.705204228,0.712082508,0.703213507252981,0.703365022404496,0.726176470215944,0.704393952051847,0.704817928660034,0.719844276094276,0.64,0.70421012126275,0.697434520645047,0.725439058504848,0.711232114376851,0.711547549429128,0.710267328675223,0.694305061897167,0.682745607706134,0.693804359383307,0.668469076732235
"GnegativeGO",0.958336013,0.9598760809,0.961324670759846,0.961205623140798,0.964789898577592,0.961912273625881,0.961912273625881,0.959317955969571,NA,NA,NA,NA,0.95673514076277,0.957094852992985,0.960483285104439,0.962263969979032,0.95999769789032,0.961534268026309,0.959638439197983
"GnegativePseAAC",0.53747047,0.55857244,0.581087743786733,0.590347003045993,0.568770722699112,0.547406316081886,0.548317927218509,0.550255234515529,NA,NA,NA,NA,0.565390935478568,0.569651587747026,0.572331443862134,0.578432137775089,0.578862079535966,0.575898926249072,0.553953318263997
"GpositiveGO",0.944152507,0.9469987046,0.943152551296281,0.941191766982555,0.945075628219357,0.942191012834742,0.942191012834742,0.945075628219357,0.94411480121802,0.94507633967956,0.947960955064174,0.950882566379237,0.946074874071544,0.946074874071544,0.946056731836421,0.943171404991605,0.943171404991605,0.945056774524033,0.938325293833063
"GpositivePseAAC",0.57621303,0.54679487,0.537502845840804,0.540387461225419,0.541330857451834,0.549100002845841,0.558715387461225,0.560600756993654,0.53039642562395,0.55400125216995,0.57883512621304,0.57883512621304,0.557476023791229,0.560360639175844,0.551870073138109,0.550926676911694,0.560542061527078,0.553629869945075,0.534957241241925
"scene",0.61652109,0.59425988,0.585541594127831,0.586732070318308,0.60098737232152,0.597749506726133,0.596912686642451,0.608871510648567,0.59208116076245,0.59572232239262,0.615003896230209,0.615003896230209,0.588601454815827,0.588601454815827,0.588377498639292,0.59780277671865,0.603011110051983,0.603768202170474,0.58199595793667
"VirusGO",0.8959523816,0.9031349232,0.915833333333333,0.915833333333333,0.915833333333333,0.897619047619048,0.897619047619048,0.897619047619048,0.91761904761905,0.91761904761905,0.920039682539682,0.920039682539682,0.910436507936508,0.907936507936508,0.902142857142857,0.911825396825397,0.911825396825397,0.902261904761905,0.9175
"VirusPseAAC",0.2338095236,0.36700397,0.356547619047619,0.351785714285714,0.373452380952381,0.415238095238095,0.434285714285714,0.422857142857143,0.36172619047619,0.42238095238095,0.410357142857143,0.466547619047619,0.40718253968254,0.404285714285714,0.301785714285714,0.36015873015873,0.336785714285714,0.275,0.382896825396825
"Yelp",0.71203173,0.764256351,0.760246082782944,0.760246082782944,0.744697518013797,0.743854707241235,0.743882666234711,0.734789655322815,0.75954882807459,0.76141961769045,0.764256349135257,0.764256349135257,0.742681552568032,0.742681552568032,0.725092706330347,0.755358407115975,0.754104925221825,0.746255279373102,0.759741577543878
