"Dataset", "G-C", "L-C", "H-JmaC", "H-JmiC", "H-JSC", "H-KmaC", "H-KmiC", "H-KSC", "E-MaC", "E-MiC", "O-MaC", "O-MiC", "R1-MaC", "R1-MiC", "R1-SC", "R2-MaC", "R2-MiC", "R2-SC", "R3-C"
"emotions",0.03333334,0,0,0,0.0166666666666667,0,0.0166666666666667,0.0166666666666667,0,0.01666666666667,0,0,0,0,0,0,0.0166666666666667,0,0
"flags",0.071428564,0.114285688,0.114285714285714,0.114285714285714,0.114285714285714,0.128571428571429,0.128571428571429,0.114285714285714,0.14285714285714,0.08571428571429,0.0285714285714286,0.0428571428571429,0.128571428571429,0.128571428571429,0.142857142857143,0.1,0.1,0.157142857142857,0.0428571428571429
"GnegativeGO",0.1375,0.25,0.05,0.05,0.1125,0.25,0.25,0.05,NA,NA,NA,NA,0.25,0.25,0.0375,0.25,0.25,0.25,0.25
"GnegativePseAAC",0.6875,0.3125,0.3125,0.325,0.5125,0.35,0.3625,0.5125,NA,NA,NA,NA,0.3,0.425,0.4875,0.3125,0.375,0.5125,0.3
"GpositiveGO",0.25,0.25,0.25,0.05,0.25,0.05,0.05,0.25,0.025,0.025,0.025,0.025,0.25,0.25,0.25,0.25,0.25,0.05,0.05
"GpositivePseAAC",0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.225,0.225,0.175,0.175,0.2,0.225,0.225,0.25,0.25,0.25,0.2
"scene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VirusGO",0.100000007,0.0500000037,0.1,0.0833333333333334,0.0666666666666668,0.15,0.166666666666667,0.133333333333333,0.06666666666667,0.06666666666667,0.0500000000000001,0.0500000000000001,0.0833333333333335,0.1,0.15,0.0500000000000001,0.0500000000000001,0.0666666666666668,0.0666666666666668
"VirusPseAAC",0.7000000069,0.34999999,0.45,0.483333333333333,0.416666666666667,0.566666666666667,0.533333333333333,0.583333333333333,0.38333333333333,0.41666666666667,0.266666666666667,0.483333333333333,0.4,0.416666666666667,0.583333333333333,0.4,0.45,0.5,0.283333333333333
"Yelp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
